date,time,flow
2022-03-01,0,19
2022-03-01,1,2
2022-03-01,2,9
2022-03-01,3,4
2022-03-01,4,5
2022-03-01,5,18
2022-03-01,6,53
2022-03-01,7,133
2022-03-01,8,185
2022-03-01,9,156
2022-03-01,10,143
2022-03-01,11,125
2022-03-01,12,146
2022-03-01,13,136
2022-03-01,14,156
2022-03-01,15,148
2022-03-01,16,174
2022-03-01,17,177
2022-03-01,18,165
2022-03-01,19,141
2022-03-01,20,94
2022-03-01,21,62
2022-03-01,22,48
2022-03-01,23,26
2022-03-02,0,18
2022-03-02,1,16
2022-03-02,2,10
2022-03-02,3,6
2022-03-02,4,10
2022-03-02,5,16
2022-03-02,6,48
2022-03-02,7,121
2022-03-02,8,198
2022-03-02,9,190
2022-03-02,10,158
2022-03-02,11,173
2022-03-02,12,167
2022-03-02,13,154
2022-03-02,14,149
2022-03-02,15,205
2022-03-02,16,175
2022-03-02,17,196
2022-03-02,18,199
2022-03-02,19,150
2022-03-02,20,101
2022-03-02,21,72
2022-03-02,22,54
2022-03-02,23,31
2022-03-03,0,22
2022-03-03,1,30
2022-03-03,2,7
2022-03-03,3,5
2022-03-03,4,9
2022-03-03,5,19
2022-03-03,6,41
2022-03-03,7,122
2022-03-03,8,195
2022-03-03,9,184
2022-03-03,10,156
2022-03-03,11,131
2022-03-03,12,162
2022-03-03,13,160
2022-03-03,14,187
2022-03-03,15,179
2022-03-03,16,151
2022-03-03,17,196
2022-03-03,18,186
2022-03-03,19,140
2022-03-03,20,109
2022-03-03,21,83
2022-03-03,22,57
2022-03-03,23,40
2022-03-04,0,34
2022-03-04,1,27
2022-03-04,2,10
2022-03-04,3,10
2022-03-04,4,5
2022-03-04,5,18
2022-03-04,6,37
2022-03-04,7,105
2022-03-04,8,209
2022-03-04,9,206
2022-03-04,10,162
2022-03-04,11,187
2022-03-04,12,205
2022-03-04,13,179
2022-03-04,14,208
2022-03-04,15,187
2022-03-04,16,191
2022-03-04,17,207
2022-03-04,18,182
2022-03-04,19,175
2022-03-04,20,94
2022-03-04,21,75
2022-03-04,22,80
2022-03-04,23,55
2022-03-05,0,49
2022-03-05,1,31
2022-03-05,2,18
2022-03-05,3,13
2022-03-05,4,12
2022-03-05,5,11
2022-03-05,6,24
2022-03-05,7,44
2022-03-05,8,66
2022-03-05,9,116
2022-03-05,10,181
2022-03-05,11,143
2022-03-05,12,219
2022-03-05,13,203
2022-03-05,14,187
2022-03-05,15,152
2022-03-05,16,155
2022-03-05,17,160
2022-03-05,18,199
2022-03-05,19,116
2022-03-05,20,91
2022-03-05,21,71
2022-03-05,22,78
2022-03-05,23,47
2022-03-06,0,31
2022-03-06,1,31
2022-03-06,2,17
2022-03-06,3,17
2022-03-06,4,17
2022-03-06,5,20
2022-03-06,6,15
2022-03-06,7,18
2022-03-06,8,36
2022-03-06,9,69
2022-03-06,10,107
2022-03-06,11,130
2022-03-06,12,113
2022-03-06,13,159
2022-03-06,14,150
2022-03-06,15,166
2022-03-06,16,170
2022-03-06,17,128
2022-03-06,18,152
2022-03-06,19,99
2022-03-06,20,94
2022-03-06,21,54
2022-03-06,22,38
2022-03-06,23,39
2022-03-07,0,20
2022-03-07,1,23
2022-03-07,2,9
2022-03-07,3,0
2022-03-07,4,6
2022-03-07,5,23
2022-03-07,6,41
2022-03-07,7,109
2022-03-07,8,205
2022-03-07,9,178
2022-03-07,10,133
2022-03-07,11,136
2022-03-07,12,145
2022-03-07,13,168
2022-03-07,14,166
2022-03-07,15,148
2022-03-07,16,194
2022-03-07,17,162
2022-03-07,18,133
2022-03-07,19,120
2022-03-07,20,97
2022-03-07,21,84
2022-03-07,22,55
2022-03-07,23,29
2022-03-08,0,23
2022-03-08,1,12
2022-03-08,2,7
2022-03-08,3,4
2022-03-08,4,9
2022-03-08,5,18
2022-03-08,6,50
2022-03-08,7,124
2022-03-08,8,178
2022-03-08,9,165
2022-03-08,10,166
2022-03-08,11,119
2022-03-08,12,163
2022-03-08,13,167
2022-03-08,14,108
2022-03-08,15,158
2022-03-08,16,181
2022-03-08,17,182
2022-03-08,18,183
2022-03-08,19,159
2022-03-08,20,96
2022-03-08,21,62
2022-03-08,22,61
2022-03-08,23,31
2022-03-09,0,21
2022-03-09,1,16
2022-03-09,2,12
2022-03-09,3,8
2022-03-09,4,8
2022-03-09,5,21
2022-03-09,6,44
2022-03-09,7,121
2022-03-09,8,228
2022-03-09,9,183
2022-03-09,10,152
2022-03-09,11,147
2022-03-09,12,119
2022-03-09,13,130
2022-03-09,14,154
2022-03-09,15,180
2022-03-09,16,189
2022-03-09,17,158
2022-03-09,18,148
2022-03-09,19,126
2022-03-09,20,74
2022-03-09,21,61
2022-03-09,22,50
2022-03-09,23,28
2022-03-10,0,13
2022-03-10,1,1
2022-03-10,2,3
2022-03-10,3,4
2022-03-10,4,1
2022-03-10,5,19
2022-03-10,6,56
2022-03-10,7,111
2022-03-10,8,180
2022-03-10,9,164
2022-03-10,10,149
2022-03-10,11,150
2022-03-10,12,135
2022-03-10,13,141
2022-03-10,14,198
2022-03-10,15,189
2022-03-10,16,175
2022-03-10,17,165
2022-03-10,18,157
2022-03-10,19,136
2022-03-10,20,94
2022-03-10,21,57
2022-03-10,22,48
2022-03-10,23,38
2022-03-11,0,18
2022-03-11,1,22
2022-03-11,2,6
2022-03-11,3,8
2022-03-11,4,6
2022-03-11,5,15
2022-03-11,6,51
2022-03-11,7,125
2022-03-11,8,163
2022-03-11,9,162
2022-03-11,10,145
2022-03-11,11,171
2022-03-11,12,177
2022-03-11,13,205
2022-03-11,14,218
2022-03-11,15,203
2022-03-11,16,161
2022-03-11,17,188
2022-03-11,18,164
2022-03-11,19,138
2022-03-11,20,108
2022-03-11,21,76
2022-03-11,22,76
2022-03-11,23,38
2022-03-12,0,14
2022-03-12,1,22
2022-03-12,2,19
2022-03-12,3,13
2022-03-12,4,8
2022-03-12,5,14
2022-03-12,6,18
2022-03-12,7,41
2022-03-12,8,83
2022-03-12,9,129
2022-03-12,10,112
2022-03-12,11,164
2022-03-12,12,157
2022-03-12,13,211
2022-03-12,14,188
2022-03-12,15,156
2022-03-12,16,121
2022-03-12,17,113
2022-03-12,18,119
2022-03-12,19,135
2022-03-12,20,77
2022-03-12,21,63
2022-03-12,22,47
2022-03-12,23,51
2022-03-13,0,37
2022-03-13,1,31
2022-03-13,2,15
2022-03-13,3,15
2022-03-13,4,16
2022-03-13,5,16
2022-03-13,6,14
2022-03-13,7,20
2022-03-13,8,24
2022-03-13,9,62
2022-03-13,10,78
2022-03-13,11,129
2022-03-13,12,129
2022-03-13,13,118
2022-03-13,14,137
2022-03-13,15,133
2022-03-13,16,127
2022-03-13,17,121
2022-03-13,18,122
2022-03-13,19,136
2022-03-13,20,61
2022-03-13,21,54
2022-03-13,22,34
2022-03-13,23,29
2022-03-14,0,17
2022-03-14,1,10
2022-03-14,2,4
2022-03-14,3,9
2022-03-14,4,6
2022-03-14,5,16
2022-03-14,6,43
2022-03-14,7,119
2022-03-14,8,207
2022-03-14,9,157
2022-03-14,10,141
2022-03-14,11,154
2022-03-14,12,153
2022-03-14,13,126
2022-03-14,14,164
2022-03-14,15,170
2022-03-14,16,177
2022-03-14,17,175
2022-03-14,18,151
2022-03-14,19,107
2022-03-14,20,81
2022-03-14,21,67
2022-03-14,22,51
2022-03-14,23,21
2022-03-15,0,17
2022-03-15,1,7
2022-03-15,2,5
2022-03-15,3,5
2022-03-15,4,8
2022-03-15,5,13
2022-03-15,6,55
2022-03-15,7,128
2022-03-15,8,198
2022-03-15,9,200
2022-03-15,10,143
2022-03-15,11,122
2022-03-15,12,127
2022-03-15,13,167
2022-03-15,14,166
2022-03-15,15,183
2022-03-15,16,180
2022-03-15,17,167
2022-03-15,18,140
2022-03-15,19,112
2022-03-15,20,69
2022-03-15,21,63
2022-03-15,22,51
2022-03-15,23,27
2022-03-16,0,16
2022-03-16,1,15
2022-03-16,2,6
2022-03-16,3,4
2022-03-16,4,4
2022-03-16,5,17
2022-03-16,6,45
2022-03-16,7,127
2022-03-16,8,226
2022-03-16,9,161
2022-03-16,10,161
2022-03-16,11,132
2022-03-16,12,161
2022-03-16,13,149
2022-03-16,14,168
2022-03-16,15,163
2022-03-16,16,203
2022-03-16,17,194
2022-03-16,18,156
2022-03-16,19,120
2022-03-16,20,92
2022-03-16,21,61
2022-03-16,22,46
2022-03-16,23,35
2022-03-17,0,22
2022-03-17,1,6
2022-03-17,2,4
2022-03-17,3,6
2022-03-17,4,6
2022-03-17,5,15
2022-03-17,6,40
2022-03-17,7,120
2022-03-17,8,180
2022-03-17,9,200
2022-03-17,10,141
2022-03-17,11,119
2022-03-17,12,174
2022-03-17,13,140
2022-03-17,14,168
2022-03-17,15,195
2022-03-17,16,216
2022-03-17,17,185
2022-03-17,18,138
2022-03-17,19,109
2022-03-17,20,86
2022-03-17,21,72
2022-03-17,22,50
2022-03-17,23,31
2022-03-18,0,17
2022-03-18,1,25
2022-03-18,2,9
2022-03-18,3,8
2022-03-18,4,13
2022-03-18,5,15
2022-03-18,6,49
2022-03-18,7,115
2022-03-18,8,165
2022-03-18,9,185
2022-03-18,10,112
2022-03-18,11,152
2022-03-18,12,180
2022-03-18,13,157
2022-03-18,14,160
2022-03-18,15,205
2022-03-18,16,189
2022-03-18,17,179
2022-03-18,18,184
2022-03-18,19,139
2022-03-18,20,113
2022-03-18,21,67
2022-03-18,22,69
2022-03-18,23,34
2022-03-19,0,33
2022-03-19,1,15
2022-03-19,2,16
2022-03-19,3,8
2022-03-19,4,12
2022-03-19,5,16
2022-03-19,6,22
2022-03-19,7,44
2022-03-19,8,70
2022-03-19,9,110
2022-03-19,10,150
2022-03-19,11,185
2022-03-19,12,215
2022-03-19,13,219
2022-03-19,14,218
2022-03-19,15,177
2022-03-19,16,168
2022-03-19,17,160
2022-03-19,18,161
2022-03-19,19,115
2022-03-19,20,74
2022-03-19,21,59
2022-03-19,22,64
2022-03-19,23,45
2022-03-20,0,55
2022-03-20,1,30
2022-03-20,2,18
2022-03-20,3,14
2022-03-20,4,13
2022-03-20,5,12
2022-03-20,6,20
2022-03-20,7,23
2022-03-20,8,35
2022-03-20,9,55
2022-03-20,10,113
2022-03-20,11,134
2022-03-20,12,145
2022-03-20,13,147
2022-03-20,14,141
2022-03-20,15,158
2022-03-20,16,121
2022-03-20,17,139
2022-03-20,18,134
2022-03-20,19,122
2022-03-20,20,75
2022-03-20,21,53
2022-03-20,22,43
2022-03-20,23,27
2022-03-21,0,24
2022-03-21,1,7
2022-03-21,2,7
2022-03-21,3,5
2022-03-21,4,10
2022-03-21,5,14
2022-03-21,6,36
2022-03-21,7,100
2022-03-21,8,217
2022-03-21,9,187
2022-03-21,10,147
2022-03-21,11,117
2022-03-21,12,140
2022-03-21,13,116
2022-03-21,14,142
2022-03-21,15,175
2022-03-21,16,188
2022-03-21,17,187
2022-03-21,18,150
2022-03-21,19,107
2022-03-21,20,91
2022-03-21,21,74
2022-03-21,22,55
2022-03-21,23,28
2022-03-22,0,17
2022-03-22,1,5
2022-03-22,2,9
2022-03-22,3,4
2022-03-22,4,4
2022-03-22,5,15
2022-03-22,6,47
2022-03-22,7,131
2022-03-22,8,217
2022-03-22,9,161
2022-03-22,10,173
2022-03-22,11,104
2022-03-22,12,145
2022-03-22,13,162
2022-03-22,14,146
2022-03-22,15,175
2022-03-22,16,203
2022-03-22,17,175
2022-03-22,18,127
2022-03-22,19,118
2022-03-22,20,87
2022-03-22,21,81
2022-03-22,22,62
2022-03-22,23,32
2022-03-23,0,16
2022-03-23,1,11
2022-03-23,2,2
2022-03-23,3,6
2022-03-23,4,5
2022-03-23,5,18
2022-03-23,6,51
2022-03-23,7,125
2022-03-23,8,174
2022-03-23,9,155
2022-03-23,10,130
2022-03-23,11,139
2022-03-23,12,159
2022-03-23,13,168
2022-03-23,14,166
2022-03-23,15,202
2022-03-23,16,194
2022-03-23,17,175
2022-03-23,18,174
2022-03-23,19,138
2022-03-23,20,79
2022-03-23,21,67
2022-03-23,22,49
2022-03-23,23,36
2022-03-24,0,23
2022-03-24,1,12
2022-03-24,2,10
2022-03-24,3,4
2022-03-24,4,7
2022-03-24,5,14
2022-03-24,6,47
2022-03-24,7,125
2022-03-24,8,215
2022-03-24,9,183
2022-03-24,10,167
2022-03-24,11,145
2022-03-24,12,138
2022-03-24,13,166
2022-03-24,14,175
2022-03-24,15,177
2022-03-24,16,160
2022-03-24,17,177
2022-03-24,18,175
2022-03-24,19,145
2022-03-24,20,96
2022-03-24,21,78
2022-03-24,22,60
2022-03-24,23,42
2022-03-25,0,19
2022-03-25,1,10
2022-03-25,2,6
2022-03-25,3,11
2022-03-25,4,11
2022-03-25,5,17
2022-03-25,6,43
2022-03-25,7,109
2022-03-25,8,221
2022-03-25,9,204
2022-03-25,10,180
2022-03-25,11,155
2022-03-25,12,188
2022-03-25,13,191
2022-03-25,14,188
2022-03-25,15,200
2022-03-25,16,182
2022-03-25,17,178
2022-03-25,18,166
2022-03-25,19,153
2022-03-25,20,93
2022-03-25,21,94
2022-03-25,22,61
2022-03-25,23,48
2022-03-26,0,49
2022-03-26,1,38
2022-03-26,2,16
2022-03-26,3,9
2022-03-26,4,12
2022-03-26,5,11
2022-03-26,6,19
2022-03-26,7,33
2022-03-26,8,86
2022-03-26,9,135
2022-03-26,10,162
2022-03-26,11,184
2022-03-26,12,232
2022-03-26,13,197
2022-03-26,14,181
2022-03-26,15,155
2022-03-26,16,143
2022-03-26,17,161
2022-03-26,18,121
2022-03-26,19,123
2022-03-26,20,85
2022-03-26,21,71
2022-03-26,22,56
2022-03-26,23,38
2022-03-27,0,36
2022-03-27,1,27
2022-03-27,2,17
2022-03-27,3,22
2022-03-27,4,14
2022-03-27,5,15
2022-03-27,6,19
2022-03-27,7,31
2022-03-27,8,94
2022-03-27,9,94
2022-03-27,10,132
2022-03-27,11,162
2022-03-27,12,175
2022-03-27,13,143
2022-03-27,14,188
2022-03-27,15,137
2022-03-27,16,139
2022-03-27,17,133
2022-03-27,18,138
2022-03-27,19,103
2022-03-27,20,65
2022-03-27,21,53
2022-03-27,22,33
2022-03-27,23,23
2022-03-28,0,9
2022-03-28,1,4
2022-03-28,2,8
2022-03-28,3,5
2022-03-28,4,20
2022-03-28,5,52
2022-03-28,6,109
2022-03-28,7,182
2022-03-28,8,193
2022-03-28,9,115
2022-03-28,10,121
2022-03-28,11,140
2022-03-28,12,163
2022-03-28,13,154
2022-03-28,14,175
2022-03-28,15,196
2022-03-28,16,157
2022-03-28,17,112
2022-03-28,18,108
2022-03-28,19,84
2022-03-28,20,74
2022-03-28,21,50
2022-03-28,22,22
2022-03-28,23,9
2022-03-29,0,12
2022-03-29,1,3
2022-03-29,2,1
2022-03-29,3,3
2022-03-29,4,19
2022-03-29,5,47
2022-03-29,6,132
2022-03-29,7,193
2022-03-29,8,180
2022-03-29,9,149
2022-03-29,10,132
2022-03-29,11,165
2022-03-29,12,175
2022-03-29,13,195
2022-03-29,14,197
2022-03-29,15,169
2022-03-29,16,207
2022-03-29,17,193
2022-03-29,18,117
2022-03-29,19,84
2022-03-29,20,62
2022-03-29,21,49
2022-03-29,22,31
2022-03-29,23,21
2022-03-30,0,12
2022-03-30,1,8
2022-03-30,2,8
2022-03-30,3,4
2022-03-30,4,16
2022-03-30,5,44
2022-03-30,6,98
2022-03-30,7,190
2022-03-30,8,214
2022-03-30,9,157
2022-03-30,10,154
2022-03-30,11,123
2022-03-30,12,144
2022-03-30,13,168
2022-03-30,14,148
2022-03-30,15,175
2022-03-30,16,154
2022-03-30,17,147
2022-03-30,18,132
2022-03-30,19,101
2022-03-30,20,73
2022-03-30,21,52
2022-03-30,22,40
2022-03-30,23,15
2022-03-31,0,23
2022-03-31,1,5
2022-03-31,2,8
2022-03-31,3,10
2022-03-31,4,13
2022-03-31,5,45
2022-03-31,6,125
2022-03-31,7,203
2022-03-31,8,171
2022-03-31,9,132
2022-03-31,10,126
2022-03-31,11,114
2022-03-31,12,152
2022-03-31,13,170
2022-03-31,14,166
2022-03-31,15,172
2022-03-31,16,181
2022-03-31,17,168
2022-03-31,18,127
2022-03-31,19,105
2022-03-31,20,72
2022-03-31,21,63
2022-03-31,22,33
2022-03-31,23,32
2022-04-01,0,13
2022-04-01,1,7
2022-04-01,2,8
2022-04-01,3,7
2022-04-01,4,21
2022-04-01,5,43
2022-04-01,6,116
2022-04-01,7,166
2022-04-01,8,155
2022-04-01,9,150
2022-04-01,10,167
2022-04-01,11,191
2022-04-01,12,189
2022-04-01,13,166
2022-04-01,14,169
2022-04-01,15,155
2022-04-01,16,162
2022-04-01,17,155
2022-04-01,18,118
2022-04-01,19,85
2022-04-01,20,110
2022-04-01,21,113
2022-04-01,22,35
2022-04-01,23,41
2022-04-02,0,14
2022-04-02,1,18
2022-04-02,2,14
2022-04-02,3,9
2022-04-02,4,11
2022-04-02,5,21
2022-04-02,6,31
2022-04-02,7,58
2022-04-02,8,92
2022-04-02,9,140
2022-04-02,10,151
2022-04-02,11,210
2022-04-02,12,207
2022-04-02,13,190
2022-04-02,14,144
2022-04-02,15,148
2022-04-02,16,111
2022-04-02,17,101
2022-04-02,18,108
2022-04-02,19,91
2022-04-02,20,70
2022-04-02,21,60
2022-04-02,22,47
2022-04-02,23,31
2022-04-03,0,33
2022-04-03,1,20
2022-04-03,2,18
2022-04-03,3,10
2022-04-03,4,11
2022-04-03,5,8
2022-04-03,6,21
2022-04-03,7,32
2022-04-03,8,59
2022-04-03,9,111
2022-04-03,10,116
2022-04-03,11,119
2022-04-03,12,109
2022-04-03,13,129
2022-04-03,14,135
2022-04-03,15,152
2022-04-03,16,112
2022-04-03,17,118
2022-04-03,18,92
2022-04-03,19,73
2022-04-03,20,59
2022-04-03,21,42
2022-04-03,22,37
2022-04-03,23,32
2022-04-04,0,9
2022-04-04,1,7
2022-04-04,2,7
2022-04-04,3,7
2022-04-04,4,15
2022-04-04,5,37
2022-04-04,6,89
2022-04-04,7,148
2022-04-04,8,111
2022-04-04,9,123
2022-04-04,10,156
2022-04-04,11,134
2022-04-04,12,136
2022-04-04,13,126
2022-04-04,14,153
2022-04-04,15,148
2022-04-04,16,125
2022-04-04,17,100
2022-04-04,18,93
2022-04-04,19,102
2022-04-04,20,55
2022-04-04,21,60
2022-04-04,22,28
2022-04-04,23,32
2022-04-05,0,8
2022-04-05,1,8
2022-04-05,2,8
2022-04-05,3,8
2022-04-05,4,17
2022-04-05,5,44
2022-04-05,6,126
2022-04-05,7,161
2022-04-05,8,149
2022-04-05,9,137
2022-04-05,10,135
2022-04-05,11,137
2022-04-05,12,158
2022-04-05,13,120
2022-04-05,14,150
2022-04-05,15,177
2022-04-05,16,163
2022-04-05,17,129
2022-04-05,18,118
2022-04-05,19,83
2022-04-05,20,49
2022-04-05,21,52
2022-04-05,22,23
2022-04-05,23,18
2022-04-06,0,16
2022-04-06,1,6
2022-04-06,2,7
2022-04-06,3,6
2022-04-06,4,11
2022-04-06,5,54
2022-04-06,6,117
2022-04-06,7,140
2022-04-06,8,145
2022-04-06,9,143
2022-04-06,10,129
2022-04-06,11,169
2022-04-06,12,172
2022-04-06,13,175
2022-04-06,14,189
2022-04-06,15,164
2022-04-06,16,192
2022-04-06,17,163
2022-04-06,18,132
2022-04-06,19,89
2022-04-06,20,66
2022-04-06,21,57
2022-04-06,22,31
2022-04-06,23,26
2022-04-07,0,11
2022-04-07,1,8
2022-04-07,2,6
2022-04-07,3,8
2022-04-07,4,18
2022-04-07,5,50
2022-04-07,6,111
2022-04-07,7,150
2022-04-07,8,140
2022-04-07,9,128
2022-04-07,10,148
2022-04-07,11,141
2022-04-07,12,180
2022-04-07,13,197
2022-04-07,14,164
2022-04-07,15,196
2022-04-07,16,174
2022-04-07,17,148
2022-04-07,18,109
2022-04-07,19,81
2022-04-07,20,71
2022-04-07,21,59
2022-04-07,22,43
2022-04-07,23,26
2022-04-08,0,12
2022-04-08,1,6
2022-04-08,2,4
2022-04-08,3,7
2022-04-08,4,10
2022-04-08,5,39
2022-04-08,6,133
2022-04-08,7,181
2022-04-08,8,143
2022-04-08,9,148
2022-04-08,10,214
2022-04-08,11,183
2022-04-08,12,204
2022-04-08,13,223
2022-04-08,14,176
2022-04-11,7,174
2022-04-11,8,115
2022-04-11,9,107
2022-04-11,10,127
2022-04-11,11,179
2022-04-11,12,157
2022-04-11,13,145
2022-04-11,14,150
2022-04-11,15,173
2022-04-11,16,155
2022-04-11,17,129
2022-04-11,18,121
2022-04-11,19,94
2022-04-11,20,60
2022-04-11,21,47
2022-04-11,22,26
2022-04-11,23,12
2022-04-12,0,11
2022-04-12,1,4
2022-04-12,2,2
2022-04-12,3,7
2022-04-12,4,14
2022-04-12,5,44
2022-04-12,6,116
2022-04-12,7,158
2022-04-12,8,133
2022-04-12,9,121
2022-04-12,10,138
2022-04-12,11,175
2022-04-12,12,165
2022-04-12,13,154
2022-04-12,14,174
2022-04-12,15,233
2022-04-12,16,185
2022-04-12,17,145
2022-04-12,18,154
2022-04-12,19,92
2022-04-12,20,71
2022-04-12,21,49
2022-04-12,22,34
2022-04-12,23,75
2022-04-13,0,103
2022-04-13,1,9
2022-04-13,2,4
2022-04-13,3,7
2022-04-13,4,24
2022-04-13,5,50
2022-04-13,6,131
2022-04-13,7,202
2022-04-13,8,160
2022-04-13,9,126
2022-04-13,10,175
2022-04-13,11,178
2022-04-13,12,140
2022-04-13,13,187
2022-04-13,14,192
2022-04-13,15,196
2022-04-13,16,185
2022-04-13,17,181
2022-04-13,18,108
2022-04-13,19,88
2022-04-13,20,66
2022-04-13,21,50
2022-04-13,22,40
