date,time,flow
2022-03-01,0,20
2022-03-01,1,7
2022-03-01,2,9
2022-03-01,3,7
2022-03-01,4,4
2022-03-01,5,20
2022-03-01,6,63
2022-03-01,7,109
2022-03-01,8,200
2022-03-01,9,161
2022-03-01,10,117
2022-03-01,11,121
2022-03-01,12,131
2022-03-01,13,128
2022-03-01,14,125
2022-03-01,15,140
2022-03-01,16,153
2022-03-01,17,113
2022-03-01,18,128
2022-03-01,19,99
2022-03-01,20,55
2022-03-01,21,59
2022-03-01,22,28
2022-03-01,23,20
2022-03-02,0,31
2022-03-02,1,16
2022-03-02,2,12
2022-03-02,3,12
2022-03-02,4,12
2022-03-02,5,14
2022-03-02,6,53
2022-03-02,7,122
2022-03-02,8,188
2022-03-02,9,173
2022-03-02,10,108
2022-03-02,11,120
2022-03-02,12,103
2022-03-02,13,102
2022-03-02,14,117
2022-03-02,15,124
2022-03-02,16,121
2022-03-02,17,133
2022-03-02,18,131
2022-03-02,19,94
2022-03-02,20,49
2022-03-02,21,55
2022-03-02,22,43
2022-03-02,23,20
2022-03-03,0,10
2022-03-03,1,18
2022-03-03,2,13
2022-03-03,3,10
2022-03-03,4,11
2022-03-03,5,18
2022-03-03,6,61
2022-03-03,7,111
2022-03-03,8,192
2022-03-03,9,132
2022-03-03,10,127
2022-03-03,11,110
2022-03-03,12,121
2022-03-03,13,104
2022-03-03,14,128
2022-03-03,15,128
2022-03-03,16,154
2022-03-03,17,162
2022-03-03,18,125
2022-03-03,19,93
2022-03-03,20,73
2022-03-03,21,54
2022-03-03,22,40
2022-03-03,23,35
2022-03-04,0,7
2022-03-04,1,25
2022-03-04,2,10
2022-03-04,3,11
2022-03-04,4,8
2022-03-04,5,18
2022-03-04,6,46
2022-03-04,7,108
2022-03-04,8,174
2022-03-04,9,162
2022-03-04,10,121
2022-03-04,11,126
2022-03-04,12,135
2022-03-04,13,151
2022-03-04,14,150
2022-03-04,15,129
2022-03-04,16,152
2022-03-04,17,152
2022-03-04,18,124
2022-03-04,19,119
2022-03-04,20,76
2022-03-04,21,49
2022-03-04,22,49
2022-03-04,23,33
