date,time,flow
2022-03-01,0,9
2022-03-01,1,8
2022-03-01,2,6
2022-03-01,3,2
2022-03-01,4,7
2022-03-01,5,11
2022-03-01,6,34
2022-03-01,7,72
2022-03-01,8,98
2022-03-01,9,95
2022-03-01,10,82
2022-03-01,11,93
2022-03-01,12,98
2022-03-01,13,95
2022-03-01,14,93
2022-03-01,15,87
2022-03-01,16,92
2022-03-01,17,80
2022-03-01,18,98
2022-03-01,19,70
2022-03-01,20,58
2022-03-01,21,32
2022-03-01,22,35
2022-03-01,23,16
2022-03-02,0,28
2022-03-02,1,16
2022-03-02,2,2
2022-03-02,3,2
2022-03-02,4,3
2022-03-02,5,10
2022-03-02,6,24
2022-03-02,7,80
2022-03-02,8,100
2022-03-02,9,85
2022-03-02,10,91
2022-03-02,11,89
2022-03-02,12,74
2022-03-02,13,97
2022-03-02,14,93
2022-03-02,15,72
2022-03-02,16,93
2022-03-02,17,84
2022-03-02,18,75
2022-03-02,19,65
2022-03-02,20,40
2022-03-02,21,34
2022-03-02,22,35
2022-03-02,23,20
2022-03-03,0,8
2022-03-03,1,16
2022-03-03,2,2
2022-03-03,3,3
2022-03-03,4,6
2022-03-03,5,6
2022-03-03,6,34
2022-03-03,7,80
2022-03-03,8,103
2022-03-03,9,102
2022-03-03,10,87
2022-03-03,11,84
2022-03-03,12,84
2022-03-03,13,89
2022-03-03,14,103
2022-03-03,15,101
2022-03-03,16,94
2022-03-03,17,93
2022-03-03,18,90
2022-03-03,19,76
2022-03-03,20,50
2022-03-03,21,36
2022-03-03,22,27
2022-03-03,23,17
2022-03-04,0,4
2022-03-04,1,1
2022-03-04,2,5
2022-03-04,3,0
2022-03-04,4,5
2022-03-04,5,16
2022-03-04,6,31
2022-03-04,7,65
2022-03-04,8,93
2022-03-04,9,94
2022-03-04,10,91
2022-03-04,11,93
2022-03-04,12,83
2022-03-04,13,101
2022-03-04,14,95
2022-03-04,15,93
2022-03-04,16,80
2022-03-04,17,96
2022-03-04,18,93
2022-03-04,19,89
2022-03-04,20,58
2022-03-04,21,32
2022-03-04,22,31
2022-03-04,23,20
2022-03-05,0,19
2022-03-05,1,14
2022-03-05,2,4
2022-03-05,3,3
2022-03-05,4,2
2022-03-05,5,5
2022-03-05,6,13
2022-03-05,7,31
2022-03-05,8,41
2022-03-05,9,62
2022-03-05,10,69
2022-03-05,11,87
2022-03-05,12,100
2022-03-05,13,96
2022-03-05,14,95
2022-03-05,15,83
2022-03-05,16,85
2022-03-05,17,75
2022-03-05,18,89
2022-03-05,19,75
2022-03-05,20,49
2022-03-05,21,41
2022-03-05,22,26
2022-03-05,23,18
2022-03-06,0,26
2022-03-06,1,16
2022-03-06,2,4
2022-03-06,3,3
2022-03-06,4,2
2022-03-06,5,10
2022-03-06,6,7
2022-03-06,7,19
2022-03-06,8,21
2022-03-06,9,27
2022-03-06,10,53
2022-03-06,11,55
2022-03-06,12,58
2022-03-06,13,58
2022-03-06,14,82
2022-03-06,15,68
2022-03-06,16,72
2022-03-06,17,70
2022-03-06,18,71
2022-03-06,19,36
2022-03-06,20,40
2022-03-06,21,35
2022-03-06,22,23
2022-03-06,23,20
2022-03-07,0,12
2022-03-07,1,16
2022-03-07,2,4
2022-03-07,3,4
2022-03-07,4,3
2022-03-07,5,11
2022-03-07,6,29
2022-03-07,7,76
2022-03-07,8,97
2022-03-07,9,88
2022-03-07,10,85
2022-03-07,11,105
2022-03-07,12,80
2022-03-07,13,87
2022-03-07,14,87
2022-03-07,15,95
2022-03-07,16,93
2022-03-07,17,93
2022-03-07,18,81
2022-03-07,19,97
2022-03-07,20,48
2022-03-07,21,48
2022-03-07,22,30
2022-03-07,23,18
2022-03-08,0,13
2022-03-08,1,20
2022-03-08,2,4
2022-03-08,3,4
2022-03-08,4,34
2022-03-08,5,7
2022-03-08,6,41
2022-03-08,7,87
2022-03-08,8,91
2022-03-08,9,92
2022-03-08,10,94
2022-03-08,11,89
2022-03-08,12,95
2022-03-08,13,97
2022-03-08,14,90
2022-03-08,15,93
2022-03-08,16,94
2022-03-08,17,95
2022-03-08,18,86
2022-03-08,19,82
2022-03-08,20,53
2022-03-08,21,49
2022-03-08,22,34
2022-03-08,23,21
2022-03-09,0,5
2022-03-09,1,2
2022-03-09,2,4
2022-03-09,3,4
2022-03-09,4,6
2022-03-09,5,14
2022-03-09,6,22
2022-03-09,7,73
2022-03-09,8,94
2022-03-09,9,94
2022-03-09,10,98
2022-03-09,11,90
2022-03-09,12,94
2022-03-09,13,85
2022-03-09,14,100
2022-03-09,15,103
2022-03-09,16,89
2022-03-09,17,87
2022-03-09,18,84
2022-03-09,19,82
2022-03-09,20,55
2022-03-09,21,44
2022-03-09,22,37
2022-03-09,23,22
2022-03-10,0,9
2022-03-10,1,3
2022-03-10,2,6
2022-03-10,3,1
2022-03-10,4,4
2022-03-10,5,15
2022-03-10,6,33
2022-03-10,7,74
2022-03-10,8,88
2022-03-10,9,89
2022-03-10,10,87
2022-03-10,11,79
2022-03-10,12,91
2022-03-10,13,102
2022-03-10,14,91
2022-03-10,15,89
2022-03-10,16,95
2022-03-10,17,89
2022-03-10,18,85
2022-03-10,19,90
2022-03-10,20,53
2022-03-10,21,47
2022-03-10,22,38
2022-03-10,23,30
2022-03-11,0,16
2022-03-11,1,14
2022-03-11,2,4
2022-03-11,3,7
2022-03-11,4,6
2022-03-11,5,7
2022-03-11,6,37
2022-03-11,7,64
2022-03-11,8,86
2022-03-11,9,78
2022-03-11,10,93
2022-03-11,11,84
2022-03-11,12,95
2022-03-11,13,103
2022-03-11,14,97
2022-03-11,15,102
2022-03-11,16,80
2022-03-11,17,88
2022-03-11,18,69
2022-03-11,19,66
2022-03-11,20,49
2022-03-11,21,38
2022-03-11,22,34
2022-03-11,23,22
2022-03-12,0,26
2022-03-12,1,13
2022-03-12,2,8
2022-03-12,3,4
2022-03-12,4,5
2022-03-12,5,6
2022-03-12,6,25
2022-03-12,7,25
2022-03-12,8,55
2022-03-12,9,44
2022-03-12,10,75
2022-03-12,11,78
2022-03-12,12,75
2022-03-12,13,106
2022-03-12,14,89
2022-03-12,15,77
2022-03-12,16,94
2022-03-12,17,59
2022-03-12,18,70
2022-03-12,19,68
2022-03-12,20,58
2022-03-12,21,41
2022-03-12,22,44
2022-03-12,23,24
2022-03-13,0,14
2022-03-13,1,14
2022-03-13,2,8
2022-03-13,3,4
2022-03-13,4,4
2022-03-13,5,6
2022-03-13,6,10
2022-03-13,7,18
2022-03-13,8,18
2022-03-13,9,25
2022-03-13,10,40
2022-03-13,11,66
2022-03-13,12,68
2022-03-13,13,87
2022-03-13,14,77
2022-03-13,15,72
2022-03-13,16,70
2022-03-13,17,53
2022-03-13,18,47
2022-03-13,19,50
2022-03-13,20,46
2022-03-13,21,48
2022-03-13,22,34
2022-03-13,23,19
2022-03-14,0,6
2022-03-14,1,5
2022-03-14,2,3
2022-03-14,3,1
2022-03-14,4,4
2022-03-14,5,12
2022-03-14,6,31
2022-03-14,7,76
2022-03-14,8,97
2022-03-14,9,87
2022-03-14,10,85
2022-03-14,11,79
2022-03-14,12,92
2022-03-14,13,81
2022-03-14,14,82
2022-03-14,15,88
2022-03-14,16,95
2022-03-14,17,59
2022-03-14,18,69
2022-03-14,19,66
2022-03-14,20,52
2022-03-14,21,31
2022-03-14,22,30
2022-03-14,23,17
2022-03-15,0,18
2022-03-15,1,7
2022-03-15,2,6
2022-03-15,3,4
2022-03-15,4,6
2022-03-15,5,9
2022-03-15,6,39
2022-03-15,7,75
2022-03-15,8,101
2022-03-15,9,83
2022-03-15,10,88
2022-03-15,11,87
2022-03-15,12,87
2022-03-15,13,94
2022-03-15,14,86
2022-03-15,15,91
2022-03-15,16,85
2022-03-15,17,83
2022-03-15,18,79
2022-03-15,19,74
2022-03-15,20,47
2022-03-15,21,28
2022-03-15,22,24
2022-03-15,23,14
2022-03-16,0,11
2022-03-16,1,3
2022-03-16,2,2
2022-03-16,3,6
2022-03-16,4,4
2022-03-16,5,5
2022-03-16,6,25
2022-03-16,7,78
2022-03-16,8,85
2022-03-16,9,96
2022-03-16,10,92
2022-03-16,11,87
2022-03-16,12,93
2022-03-16,13,91
2022-03-16,14,88
2022-03-16,15,80
2022-03-16,16,97
2022-03-16,17,77
2022-03-16,18,87
2022-03-16,19,82
2022-03-16,20,53
2022-03-16,21,31
2022-03-16,22,21
2022-03-16,23,14
2022-03-17,0,8
2022-03-17,1,3
2022-03-17,2,2
2022-03-17,3,2
2022-03-17,4,4
2022-03-17,5,5
2022-03-17,6,33
2022-03-17,7,66
2022-03-17,8,84
2022-03-17,9,91
2022-03-17,10,87
2022-03-17,11,97
2022-03-17,12,92
2022-03-17,13,95
2022-03-17,14,89
2022-03-17,15,91
2022-03-17,16,94
2022-03-17,17,91
2022-03-17,18,73
2022-03-17,19,74
2022-03-17,20,48
2022-03-17,21,35
2022-03-17,22,23
2022-03-17,23,23
2022-03-18,0,3
2022-03-18,1,4
2022-03-18,2,1
2022-03-18,3,3
2022-03-18,4,4
2022-03-18,5,9
2022-03-18,6,38
2022-03-18,7,57
2022-03-18,8,98
2022-03-18,9,93
2022-03-18,10,73
2022-03-18,11,85
2022-03-18,12,92
2022-03-18,13,96
2022-03-18,14,86
2022-03-18,15,97
2022-03-18,16,89
2022-03-18,17,84
2022-03-18,18,80
2022-03-18,19,66
2022-03-18,20,48
2022-03-18,21,45
2022-03-18,22,31
2022-03-18,23,22
2022-03-19,0,15
2022-03-19,1,14
2022-03-19,2,5
2022-03-19,3,7
2022-03-19,4,6
2022-03-19,5,12
2022-03-19,6,21
2022-03-19,7,26
2022-03-19,8,48
2022-03-19,9,57
2022-03-19,10,72
2022-03-19,11,80
2022-03-19,12,97
2022-03-19,13,92
2022-03-19,14,97
2022-03-19,15,87
2022-03-19,16,84
2022-03-19,17,81
2022-03-19,18,79
2022-03-19,19,63
2022-03-19,20,47
2022-03-19,21,37
2022-03-19,22,26
2022-03-19,23,24
2022-03-20,0,18
2022-03-20,1,12
2022-03-20,2,12
2022-03-20,3,5
2022-03-20,4,2
2022-03-20,5,4
2022-03-20,6,10
2022-03-20,7,15
2022-03-20,8,26
2022-03-20,9,34
2022-03-20,10,45
2022-03-20,11,53
2022-03-20,12,63
2022-03-20,13,84
2022-03-20,14,75
2022-03-20,15,63
2022-03-20,16,69
2022-03-20,17,68
2022-03-20,18,45
2022-03-20,19,56
2022-03-20,20,49
2022-03-20,21,40
2022-03-20,22,22
2022-03-20,23,16
2022-03-21,0,0
2022-03-21,1,4
2022-03-21,2,1
2022-03-21,3,6
2022-03-21,4,2
2022-03-21,5,5
2022-03-21,6,21
2022-03-21,7,80
2022-03-21,8,79
2022-03-21,9,80
2022-03-21,10,75
2022-03-21,11,90
2022-03-21,12,87
2022-03-21,13,102
2022-03-21,14,81
2022-03-21,15,82
2022-03-21,16,79
2022-03-21,17,76
2022-03-21,18,79
2022-03-21,19,70
2022-03-21,20,47
2022-03-21,21,35
2022-03-21,22,23
2022-03-21,23,15
2022-03-22,0,10
2022-03-22,1,5
2022-03-22,2,1
2022-03-22,3,2
2022-03-22,4,5
2022-03-22,5,6
2022-03-22,6,35
2022-03-22,7,59
2022-03-22,8,85
2022-03-22,9,83
2022-03-22,10,84
2022-03-22,11,99
2022-03-22,12,110
2022-03-22,13,106
2022-03-22,14,90
2022-03-22,15,78
2022-03-22,16,77
2022-03-22,17,85
2022-03-22,18,82
2022-03-22,19,82
2022-03-22,20,52
2022-03-22,21,40
2022-03-22,22,21
2022-03-22,23,9
2022-03-23,0,3
2022-03-23,1,3
2022-03-23,2,2
2022-03-23,3,1
2022-03-23,4,4
2022-03-23,5,12
2022-03-23,6,24
2022-03-23,7,60
2022-03-23,8,85
2022-03-23,9,83
2022-03-23,10,99
2022-03-23,11,75
2022-03-23,12,105
2022-03-23,13,81
2022-03-23,14,94
2022-03-23,15,75
2022-03-23,16,93
2022-03-23,17,107
2022-03-23,18,85
2022-03-23,19,82
2022-03-23,20,52
2022-03-23,21,39
2022-03-23,22,31
2022-03-23,23,20
2022-03-24,0,9
2022-03-24,1,11
2022-03-24,2,3
2022-03-24,3,5
2022-03-24,4,7
2022-03-24,5,9
2022-03-24,6,40
2022-03-24,7,71
2022-03-24,8,93
2022-03-24,9,90
2022-03-24,10,89
2022-03-24,11,96
2022-03-24,12,89
2022-03-24,13,83
2022-03-24,14,82
2022-03-24,15,68
2022-03-24,16,82
2022-03-24,17,94
2022-03-24,18,80
2022-03-24,19,77
2022-03-24,20,44
2022-03-24,21,36
2022-03-24,22,32
2022-03-24,23,14
2022-03-25,0,4
2022-03-25,1,4
2022-03-25,2,3
2022-03-25,3,3
2022-03-25,4,4
2022-03-25,5,13
2022-03-25,6,32
2022-03-25,7,70
2022-03-25,8,72
2022-03-25,9,92
2022-03-25,10,80
2022-03-25,11,88
2022-03-25,12,82
2022-03-25,13,123
2022-03-25,14,101
2022-03-25,15,87
2022-03-25,16,87
2022-03-25,17,91
2022-03-25,18,80
2022-03-25,19,74
2022-03-25,20,68
2022-03-25,21,35
2022-03-25,22,41
2022-03-25,23,21
2022-03-26,0,10
2022-03-26,1,14
2022-03-26,2,5
2022-03-26,3,3
2022-03-26,4,9
2022-03-26,5,9
2022-03-26,6,17
2022-03-26,7,23
2022-03-26,8,45
2022-03-26,9,46
2022-03-26,10,80
2022-03-26,11,89
2022-03-26,12,90
2022-03-26,13,89
2022-03-26,14,80
2022-03-26,15,74
2022-03-26,16,80
2022-03-26,17,74
2022-03-26,18,67
2022-03-26,19,62
2022-03-26,20,52
2022-03-26,21,30
2022-03-26,22,25
2022-03-26,23,25
2022-03-27,0,20
2022-03-27,1,11
2022-03-27,2,7
2022-03-27,3,8
2022-03-27,4,6
2022-03-27,5,8
2022-03-27,6,22
2022-03-27,7,18
2022-03-27,8,28
2022-03-27,9,39
2022-03-27,10,59
2022-03-27,11,73
2022-03-27,12,86
2022-03-27,13,93
2022-03-27,14,64
2022-03-27,15,72
2022-03-27,16,73
2022-03-27,17,61
2022-03-27,18,60
2022-03-27,19,40
2022-03-27,20,39
2022-03-27,21,25
2022-03-27,22,18
2022-03-27,23,12
2022-03-28,0,4
2022-03-28,1,3
2022-03-28,2,2
2022-03-28,3,8
2022-03-28,4,6
2022-03-28,5,30
2022-03-28,6,59
2022-03-28,7,94
2022-03-28,8,81
2022-03-28,9,76
2022-03-28,10,90
2022-03-28,11,69
2022-03-28,12,88
2022-03-28,13,86
2022-03-28,14,92
2022-03-28,15,88
2022-03-28,16,78
2022-03-28,17,94
2022-03-28,18,72
2022-03-28,19,62
2022-03-28,20,38
2022-03-28,21,29
2022-03-28,22,15
2022-03-28,23,5
2022-03-29,0,1
2022-03-29,1,4
2022-03-29,2,5
2022-03-29,3,5
2022-03-29,4,10
2022-03-29,5,41
2022-03-29,6,74
2022-03-29,7,77
2022-03-29,8,84
2022-03-29,9,88
2022-03-29,10,87
2022-03-29,11,95
2022-03-29,12,99
2022-03-29,13,90
2022-03-29,14,81
2022-03-29,15,104
2022-03-29,16,75
2022-03-29,17,74
2022-03-29,18,72
2022-03-29,19,50
2022-03-29,20,37
2022-03-29,21,24
2022-03-29,22,16
2022-03-29,23,7
2022-03-30,0,5
2022-03-30,1,2
2022-03-30,2,4
2022-03-30,3,6
2022-03-30,4,12
2022-03-30,5,30
2022-03-30,6,71
2022-03-30,7,87
2022-03-30,8,88
2022-03-30,9,75
2022-03-30,10,85
2022-03-30,11,96
2022-03-30,12,98
2022-03-30,13,89
2022-03-30,14,86
2022-03-30,15,92
2022-03-30,16,97
2022-03-30,17,92
2022-03-30,18,77
2022-03-30,19,67
2022-03-30,20,46
2022-03-30,21,24
2022-03-30,22,22
2022-03-30,23,10
2022-03-31,0,2
2022-03-31,1,5
2022-03-31,2,1
2022-03-31,3,4
2022-03-31,4,7
2022-03-31,5,27
2022-03-31,6,61
2022-03-31,7,90
2022-03-31,8,93
2022-03-31,9,90
2022-03-31,10,94
2022-03-31,11,98
2022-03-31,12,111
2022-03-31,13,86
2022-03-31,14,102
2022-03-31,15,109
2022-03-31,16,88
2022-03-31,17,98
2022-03-31,18,88
2022-03-31,19,60
2022-03-31,20,42
2022-03-31,21,16
2022-03-31,22,15
2022-03-31,23,9
2022-04-01,0,9
2022-04-01,1,2
2022-04-01,2,1
2022-04-01,3,3
2022-04-01,4,9
2022-04-01,5,31
2022-04-01,6,73
2022-04-01,7,100
2022-04-01,8,96
2022-04-01,9,83
2022-04-01,10,88
2022-04-01,11,96
2022-04-01,12,108
2022-04-01,13,101
2022-04-01,14,83
2022-04-01,15,92
2022-04-01,16,79
2022-04-01,17,85
2022-04-01,18,74
2022-04-01,19,49
2022-04-01,20,45
2022-04-01,21,21
2022-04-01,22,22
2022-04-01,23,20
2022-04-02,0,8
2022-04-02,1,6
2022-04-02,2,5
2022-04-02,3,1
2022-04-02,4,8
2022-04-02,5,17
2022-04-02,6,28
2022-04-02,7,35
2022-04-02,8,55
2022-04-02,9,66
2022-04-02,10,63
2022-04-02,11,85
2022-04-02,12,91
2022-04-02,13,72
2022-04-02,14,72
2022-04-02,15,77
2022-04-02,16,69
2022-04-02,17,70
2022-04-02,18,55
2022-04-02,19,52
2022-04-02,20,38
2022-04-02,21,31
2022-04-02,22,24
2022-04-02,23,19
2022-04-03,0,12
2022-04-03,1,7
2022-04-03,2,12
2022-04-03,3,5
2022-04-03,4,2
2022-04-03,5,6
2022-04-03,6,15
2022-04-03,7,21
2022-04-03,8,34
2022-04-03,9,63
2022-04-03,10,71
2022-04-03,11,57
2022-04-03,12,50
2022-04-03,13,77
2022-04-03,14,54
2022-04-03,15,67
2022-04-03,16,60
2022-04-03,17,42
2022-04-03,18,44
2022-04-03,19,45
2022-04-03,20,42
2022-04-03,21,21
2022-04-03,22,20
2022-04-03,23,15
2022-04-04,0,12
2022-04-04,1,5
2022-04-04,2,6
2022-04-04,3,2
2022-04-04,4,13
2022-04-04,5,18
2022-04-04,6,66
2022-04-04,7,85
2022-04-04,8,104
2022-04-04,9,67
2022-04-04,10,78
2022-04-04,11,94
2022-04-04,12,79
2022-04-04,13,80
2022-04-04,14,76
2022-04-04,15,78
2022-04-04,16,66
2022-04-04,17,65
2022-04-04,18,68
2022-04-04,19,44
2022-04-04,20,37
2022-04-04,21,24
2022-04-04,22,15
2022-04-04,23,3
2022-04-05,0,5
2022-04-05,1,8
2022-04-05,2,5
2022-04-05,3,2
2022-04-05,4,12
2022-04-05,5,28
2022-04-05,6,66
2022-04-05,7,88
2022-04-05,8,100
2022-04-05,9,78
2022-04-05,10,86
2022-04-05,11,94
2022-04-05,12,82
2022-04-05,13,85
2022-04-05,14,85
2022-04-05,15,81
2022-04-05,16,90
2022-04-05,17,72
2022-04-05,18,74
2022-04-05,19,36
2022-04-05,20,37
2022-04-05,21,30
2022-04-05,22,22
2022-04-05,23,5
2022-04-06,0,0
2022-04-06,1,1
2022-04-06,2,4
2022-04-06,3,4
2022-04-06,4,15
2022-04-06,5,33
2022-04-06,6,75
2022-04-06,7,86
2022-04-06,8,75
2022-04-06,9,85
2022-04-06,10,85
2022-04-06,11,102
2022-04-06,12,104
2022-04-06,13,97
2022-04-06,14,84
2022-04-06,15,81
2022-04-06,16,94
2022-04-06,17,83
2022-04-06,18,59
2022-04-06,19,52
2022-04-06,20,32
2022-04-06,21,26
2022-04-06,22,21
2022-04-06,23,16
2022-04-07,0,4
2022-04-07,1,4
2022-04-07,2,2
2022-04-07,3,6
2022-04-07,4,8
2022-04-07,5,43
2022-04-07,6,74
2022-04-07,7,82
2022-04-07,8,91
2022-04-07,9,88
2022-04-07,10,87
2022-04-07,11,91
2022-04-07,12,90
2022-04-07,13,98
2022-04-07,14,80
2022-04-07,15,78
2022-04-07,16,82
2022-04-07,17,84
2022-04-07,18,71
2022-04-07,19,39
2022-04-07,20,35
2022-04-07,21,29
2022-04-07,22,18
2022-04-07,23,11
2022-04-08,0,0
2022-04-08,1,7
2022-04-08,2,5
2022-04-08,3,2
2022-04-08,4,9
2022-04-08,5,41
2022-04-08,6,57
2022-04-08,7,76
2022-04-08,8,73
2022-04-08,9,82
2022-04-08,10,86
2022-04-08,11,93
2022-04-08,12,89
2022-04-08,13,93
2022-04-08,14,68
2022-04-11,7,100
2022-04-11,8,86
2022-04-11,9,82
2022-04-11,10,75
2022-04-11,11,93
2022-04-11,12,87
2022-04-11,13,90
2022-04-11,14,72
2022-04-11,15,98
2022-04-11,16,89
2022-04-11,17,82
2022-04-11,18,63
2022-04-11,19,47
2022-04-11,20,41
2022-04-11,21,14
2022-04-11,22,15
2022-04-11,23,13
2022-04-12,0,3
2022-04-12,1,3
2022-04-12,2,1
2022-04-12,3,4
2022-04-12,4,6
2022-04-12,5,28
2022-04-12,6,74
2022-04-12,7,87
2022-04-12,8,95
2022-04-12,9,83
2022-04-12,10,87
2022-04-12,11,82
2022-04-12,12,87
2022-04-12,13,91
2022-04-12,14,89
2022-04-12,15,81
2022-04-12,16,96
2022-04-12,17,87
2022-04-12,18,83
2022-04-12,19,55
2022-04-12,20,37
2022-04-12,21,36
2022-04-12,22,11
2022-04-12,23,5
2022-04-13,0,0
2022-04-13,1,1
2022-04-13,2,3
2022-04-13,3,3
2022-04-13,4,12
2022-04-13,5,28
2022-04-13,6,81
2022-04-13,7,76
2022-04-13,8,96
2022-04-13,9,113
2022-04-13,10,101
2022-04-13,11,111
2022-04-13,12,108
2022-04-13,13,96
2022-04-13,14,101
2022-04-13,15,97
2022-04-13,16,109
2022-04-13,17,105
2022-04-13,18,76
