date,time,flow
2022-03-01,0,16
2022-03-01,1,21
2022-03-01,2,10
2022-03-01,3,12
2022-03-01,4,14
2022-03-01,5,25
2022-03-01,6,50
2022-03-01,7,78
2022-03-01,8,136
2022-03-01,9,166
2022-03-01,10,143
2022-03-01,11,150
2022-03-01,12,160
2022-03-01,13,167
2022-03-01,14,162
2022-03-01,15,162
2022-03-01,16,170
2022-03-01,17,168
2022-03-01,18,139
2022-03-01,19,133
2022-03-01,20,88
2022-03-01,21,66
2022-03-01,22,50
2022-03-01,23,22
2022-03-02,0,14
2022-03-02,1,25
2022-03-02,2,8
2022-03-02,3,8
2022-03-02,4,13
2022-03-02,5,16
2022-03-02,6,48
2022-03-02,7,101
2022-03-02,8,126
2022-03-02,9,145
2022-03-02,10,156
2022-03-02,11,156
2022-03-02,12,127
2022-03-02,13,137
2022-03-02,14,163
2022-03-02,15,172
2022-03-02,16,164
2022-03-02,17,164
2022-03-02,18,171
2022-03-02,19,147
2022-03-02,20,78
2022-03-02,21,57
2022-03-02,22,69
2022-03-02,23,33
2022-03-03,0,26
2022-03-03,1,16
2022-03-03,2,17
2022-03-03,3,7
2022-03-03,4,13
2022-03-03,5,23
2022-03-03,6,49
2022-03-03,7,84
2022-03-03,8,118
2022-03-03,9,150
2022-03-03,10,119
2022-03-03,11,148
2022-03-03,12,147
2022-03-03,13,166
2022-03-03,14,183
2022-03-03,15,158
2022-03-03,16,180
2022-03-03,17,161
2022-03-03,18,166
2022-03-03,19,143
2022-03-03,20,117
2022-03-03,21,79
2022-03-03,22,61
2022-03-03,23,33
2022-03-04,0,15
2022-03-04,1,10
2022-03-04,2,11
2022-03-04,3,11
2022-03-04,4,17
2022-03-04,5,22
2022-03-04,6,42
2022-03-04,7,93
2022-03-04,8,138
2022-03-04,9,136
2022-03-04,10,148
2022-03-04,11,165
2022-03-04,12,171
2022-03-04,13,163
2022-03-04,14,173
2022-03-04,15,171
2022-03-04,16,160
2022-03-04,17,179
2022-03-04,18,170
2022-03-04,19,148
2022-03-04,20,111
2022-03-04,21,82
2022-03-04,22,81
2022-03-04,23,53
