date,time,flow
2022-03-01,0,4
2022-03-01,1,13
2022-03-01,2,9
2022-03-01,3,18
2022-03-01,4,26
2022-03-01,5,9
2022-03-01,6,48
2022-03-01,7,83
2022-03-01,8,211
2022-03-01,9,155
2022-03-01,10,64
2022-03-01,11,72
2022-03-01,12,76
2022-03-01,13,88
2022-03-01,14,120
2022-03-01,15,102
2022-03-01,16,88
2022-03-01,17,113
2022-03-01,18,76
2022-03-01,19,53
2022-03-01,20,44
2022-03-01,21,26
2022-03-01,22,57
2022-03-01,23,53
2022-03-02,0,18
2022-03-02,1,13
2022-03-02,2,72
2022-03-02,3,22
2022-03-02,4,12
2022-03-02,5,0
2022-03-02,6,26
2022-03-02,7,92
2022-03-02,8,224
2022-03-02,9,145
2022-03-02,10,85
2022-03-02,11,76
2022-03-02,12,101
2022-03-02,13,84
2022-03-02,14,92
2022-03-02,15,103
2022-03-02,16,128
2022-03-02,17,136
2022-03-02,18,109
2022-03-02,19,107
2022-03-02,20,44
2022-03-02,21,58
2022-03-02,22,49
2022-03-02,23,23
2022-03-03,0,8
2022-03-03,1,27
2022-03-03,2,31
2022-03-03,3,22
2022-03-03,4,20
2022-03-03,5,4
2022-03-03,6,44
2022-03-03,7,88
2022-03-03,8,232
2022-03-03,9,137
2022-03-03,10,61
2022-03-03,11,88
2022-03-03,12,80
2022-03-03,13,100
2022-03-03,14,88
2022-03-03,15,97
2022-03-03,16,127
2022-03-03,17,138
2022-03-03,18,88
2022-03-03,19,76
2022-03-03,20,53
2022-03-03,21,31
2022-03-03,22,21
2022-03-03,23,8
2022-03-04,0,0
2022-03-04,1,17
2022-03-04,2,17
2022-03-04,3,31
2022-03-04,4,26
2022-03-04,5,13
2022-03-04,6,39
2022-03-04,7,83
2022-03-04,8,182
2022-03-04,9,124
2022-03-04,10,80
2022-03-04,11,80
2022-03-04,12,93
2022-03-04,13,105
2022-03-04,14,101
2022-03-04,15,120
2022-03-04,16,119
2022-03-04,17,119
2022-03-04,18,97
2022-03-04,19,57
2022-03-04,20,53
2022-03-04,21,41
2022-03-04,22,26
2022-03-04,23,31
2022-03-05,0,17
2022-03-05,1,13
2022-03-05,2,39
2022-03-05,3,21
2022-03-05,4,4
2022-03-05,5,0
2022-03-05,6,34
2022-03-05,7,58
2022-03-05,8,93
2022-03-05,9,75
2022-03-05,10,67
2022-03-05,11,101
2022-03-05,12,92
2022-03-05,13,123
2022-03-05,14,124
2022-03-05,15,70
2022-03-05,16,76
2022-03-05,17,67
2022-03-05,18,58
2022-03-05,19,57
2022-03-05,20,36
2022-03-05,21,31
2022-03-05,22,22
2022-03-05,23,16
2022-03-06,0,8
2022-03-06,1,9
2022-03-06,2,35
2022-03-06,3,40
2022-03-06,4,74
2022-03-06,5,75
2022-03-06,6,89
2022-03-06,7,97
2022-03-06,8,88
2022-03-06,9,53
2022-03-06,10,40
2022-03-06,11,80
2022-03-06,12,66
2022-03-06,13,84
2022-03-06,14,84
2022-03-06,15,52
2022-03-06,16,57
2022-03-06,17,57
2022-03-06,18,48
2022-03-06,19,52
2022-03-06,20,54
2022-03-06,21,48
2022-03-06,22,25
2022-03-06,23,12
2022-03-07,0,13
2022-03-07,1,30
2022-03-07,2,67
2022-03-07,3,27
2022-03-07,4,46
2022-03-07,5,0
2022-03-07,6,39
2022-03-07,7,70
2022-03-07,8,198
2022-03-07,9,137
2022-03-07,10,72
2022-03-07,11,80
2022-03-07,12,80
2022-03-07,13,80
2022-03-07,14,84
2022-03-07,15,92
2022-03-07,16,110
2022-03-07,17,123
2022-03-07,18,83
2022-03-07,19,62
2022-03-07,20,40
2022-03-07,21,48
2022-03-07,22,35
2022-03-07,23,39
2022-03-08,0,17
2022-03-08,1,48
2022-03-08,2,22
2022-03-08,3,35
2022-03-08,4,53
2022-03-08,5,31
2022-03-08,6,61
2022-03-08,7,87
2022-03-08,8,243
2022-03-08,9,159
2022-03-08,10,83
2022-03-08,11,80
2022-03-08,12,101
2022-03-08,13,115
2022-03-08,14,141
2022-03-08,15,137
2022-03-08,16,124
2022-03-08,17,133
2022-03-08,18,80
2022-03-08,19,53
2022-03-08,20,48
2022-03-08,21,45
2022-03-08,22,102
2022-03-08,23,75
2022-03-09,0,26
2022-03-09,1,30
2022-03-09,2,105
2022-03-09,3,41
2022-03-09,4,35
2022-03-09,5,0
2022-03-09,6,43
2022-03-09,7,101
2022-03-09,8,234
2022-03-09,9,155
2022-03-09,10,85
2022-03-09,11,80
2022-03-09,12,101
2022-03-09,13,84
2022-03-09,14,93
2022-03-09,15,114
2022-03-09,16,136
2022-03-09,17,123
2022-03-09,18,106
2022-03-09,19,57
2022-03-09,20,57
2022-03-09,21,102
2022-03-09,22,57
2022-03-09,23,40
2022-03-10,0,12
2022-03-10,1,17
2022-03-10,2,27
2022-03-10,3,35
2022-03-10,4,36
2022-03-10,5,9
2022-03-10,6,53
2022-03-10,7,101
2022-03-10,8,220
2022-03-10,9,115
2022-03-10,10,84
2022-03-10,11,80
2022-03-10,12,96
2022-03-10,13,104
2022-03-10,14,96
2022-03-10,15,110
2022-03-10,16,150
2022-03-10,17,150
2022-03-10,18,97
2022-03-10,19,75
2022-03-10,20,62
2022-03-10,21,58
2022-03-10,22,35
2022-03-10,23,27
2022-03-11,0,16
2022-03-11,1,26
2022-03-11,2,35
2022-03-11,3,53
2022-03-11,4,53
2022-03-11,5,22
2022-03-11,6,53
2022-03-11,7,78
2022-03-11,8,150
2022-03-11,9,132
2022-03-11,10,84
2022-03-11,11,84
2022-03-11,12,100
2022-03-11,13,104
2022-03-11,14,109
2022-03-11,15,111
2022-03-11,16,100
2022-03-11,17,101
2022-03-11,18,84
2022-03-11,19,67
2022-03-11,20,60
2022-03-11,21,62
2022-03-11,22,45
2022-03-11,23,53
2022-03-12,0,27
2022-03-12,1,17
2022-03-12,2,66
2022-03-12,3,39
2022-03-12,4,8
2022-03-12,5,4
2022-03-12,6,53
2022-03-12,7,66
2022-03-12,8,93
2022-03-12,9,71
2022-03-12,10,62
2022-03-12,11,111
2022-03-12,12,105
2022-03-12,13,149
2022-03-12,14,141
2022-03-12,15,96
2022-03-12,16,88
2022-03-12,17,80
2022-03-12,18,67
2022-03-12,19,58
2022-03-12,20,51
2022-03-12,21,49
2022-03-12,22,44
2022-03-12,23,36
2022-03-13,0,16
2022-03-13,1,22
2022-03-13,2,62
2022-03-13,3,62
2022-03-13,4,79
2022-03-13,5,71
2022-03-13,6,72
2022-03-13,7,88
2022-03-13,8,89
2022-03-13,9,52
2022-03-13,10,40
2022-03-13,11,88
2022-03-13,12,71
2022-03-13,13,92
2022-03-13,14,97
2022-03-13,15,72
2022-03-13,16,62
2022-03-13,17,62
2022-03-13,18,62
2022-03-13,19,53
2022-03-13,20,57
2022-03-13,21,62
2022-03-13,22,31
2022-03-13,23,16
2022-03-14,0,13
2022-03-14,1,30
2022-03-14,2,88
2022-03-14,3,49
2022-03-14,4,80
2022-03-14,5,8
2022-03-14,6,43
2022-03-14,7,79
2022-03-14,8,198
2022-03-14,9,129
2022-03-14,10,72
2022-03-14,11,76
2022-03-14,12,84
2022-03-14,13,80
2022-03-14,14,84
2022-03-14,15,92
2022-03-14,16,123
2022-03-14,17,115
2022-03-14,18,96
2022-03-14,19,57
2022-03-14,20,40
2022-03-14,21,40
2022-03-14,22,26
2022-03-14,23,34
2022-03-15,0,9
2022-03-15,1,18
2022-03-15,2,18
2022-03-15,3,22
2022-03-15,4,36
2022-03-15,5,26
2022-03-15,6,57
2022-03-15,7,92
2022-03-15,8,225
2022-03-15,9,167
2022-03-15,10,76
2022-03-15,11,76
2022-03-15,12,88
2022-03-15,13,110
2022-03-15,14,141
2022-03-15,15,123
2022-03-15,16,98
2022-03-15,17,119
2022-03-15,18,80
2022-03-15,19,53
2022-03-15,20,48
2022-03-15,21,27
2022-03-15,22,106
2022-03-15,23,101
2022-03-16,0,26
2022-03-16,1,21
2022-03-16,2,119
2022-03-16,3,48
2022-03-16,4,35
2022-03-16,5,8
2022-03-16,6,35
2022-03-16,7,106
2022-03-16,8,230
2022-03-16,9,143
2022-03-16,10,98
2022-03-16,11,80
2022-03-16,12,92
2022-03-16,13,84
2022-03-16,14,88
2022-03-16,15,115
2022-03-16,16,124
2022-03-16,17,136
2022-03-16,18,105
2022-03-16,19,62
2022-03-16,20,52
2022-03-16,21,89
2022-03-16,22,59
2022-03-16,23,36
2022-03-17,0,8
2022-03-17,1,22
2022-03-17,2,39
2022-03-17,3,31
2022-03-17,4,27
2022-03-17,5,9
2022-03-17,6,48
2022-03-17,7,96
2022-03-17,8,193
2022-03-17,9,128
2022-03-17,10,76
2022-03-17,11,101
2022-03-17,12,92
2022-03-17,13,109
2022-03-17,14,100
2022-03-17,15,101
2022-03-17,16,146
2022-03-17,17,129
2022-03-17,18,106
2022-03-17,19,62
2022-03-17,20,56
2022-03-17,21,31
2022-03-17,22,26
2022-03-17,23,13
2022-03-18,0,0
2022-03-18,1,9
2022-03-18,2,22
2022-03-18,3,32
2022-03-18,4,26
2022-03-18,5,13
2022-03-18,6,57
2022-03-18,7,83
2022-03-18,8,150
2022-03-18,9,132
2022-03-18,10,80
2022-03-18,11,84
2022-03-18,12,92
2022-03-18,13,101
2022-03-18,14,96
2022-03-18,15,98
2022-03-18,16,97
2022-03-18,17,105
2022-03-18,18,84
2022-03-18,19,62
2022-03-18,20,57
2022-03-18,21,45
2022-03-18,22,31
2022-03-18,23,35
2022-03-19,0,21
2022-03-19,1,13
2022-03-19,2,44
2022-03-19,3,31
2022-03-19,4,8
2022-03-19,5,4
2022-03-19,6,57
2022-03-19,7,70
2022-03-19,8,97
2022-03-19,9,71
2022-03-19,10,62
2022-03-19,11,101
2022-03-19,12,100
2022-03-19,13,123
2022-03-19,14,119
2022-03-19,15,84
2022-03-19,16,76
2022-03-19,17,76
2022-03-19,18,83
2022-03-19,19,68
2022-03-19,20,40
2022-03-19,21,31
2022-03-19,22,27
2022-03-19,23,16
2022-03-20,0,4
2022-03-20,1,9
2022-03-20,2,44
2022-03-20,3,44
2022-03-20,4,67
2022-03-20,5,48
2022-03-20,6,80
2022-03-20,7,76
2022-03-20,8,76
2022-03-20,9,58
2022-03-20,10,44
2022-03-20,11,84
2022-03-20,12,70
2022-03-20,13,88
2022-03-20,14,89
2022-03-20,15,57
2022-03-20,16,57
2022-03-20,17,66
2022-03-20,18,56
2022-03-20,19,57
2022-03-20,20,44
2022-03-20,21,40
2022-03-20,22,21
2022-03-20,23,12
2022-03-21,0,13
2022-03-21,1,13
2022-03-21,2,79
2022-03-21,3,26
2022-03-21,4,48
2022-03-21,5,4
2022-03-21,6,35
2022-03-21,7,70
2022-03-21,8,190
2022-03-21,9,133
2022-03-21,10,76
2022-03-21,11,75
2022-03-21,12,76
2022-03-21,13,80
2022-03-21,14,80
2022-03-21,15,92
2022-03-21,16,106
2022-03-21,17,123
2022-03-21,18,79
2022-03-21,19,52
2022-03-21,20,40
2022-03-21,21,26
2022-03-21,22,16
2022-03-21,23,17
2022-03-22,0,9
2022-03-22,1,26
2022-03-22,2,13
2022-03-22,3,18
2022-03-22,4,35
2022-03-22,5,13
2022-03-22,6,61
2022-03-22,7,87
2022-03-22,8,225
2022-03-22,9,172
2022-03-22,10,76
2022-03-22,11,80
2022-03-22,12,92
2022-03-22,13,109
2022-03-22,14,137
2022-03-22,15,120
2022-03-22,16,105
2022-03-22,17,127
2022-03-22,18,88
2022-03-22,19,61
2022-03-22,20,35
2022-03-22,21,26
2022-03-22,22,69
2022-03-22,23,71
2022-03-23,0,13
2022-03-23,1,9
2022-03-23,2,76
2022-03-23,3,32
2022-03-23,4,12
2022-03-23,5,0
2022-03-23,6,39
2022-03-23,7,102
2022-03-23,8,220
2022-03-23,9,134
2022-03-23,10,80
2022-03-23,11,84
2022-03-23,12,97
2022-03-23,13,92
2022-03-23,14,92
2022-03-23,15,105
2022-03-23,16,131
2022-03-23,17,132
2022-03-23,18,105
2022-03-23,19,71
2022-03-23,20,52
2022-03-23,21,85
2022-03-23,22,53
2022-03-23,23,48
2022-03-24,0,13
2022-03-24,1,27
2022-03-24,2,35
2022-03-24,3,31
2022-03-24,4,40
2022-03-24,5,17
2022-03-24,6,56
2022-03-24,7,92
2022-03-24,8,201
2022-03-24,9,146
2022-03-24,10,89
2022-03-24,11,88
2022-03-24,12,88
2022-03-24,13,113
2022-03-24,14,100
2022-03-24,15,114
2022-03-24,16,150
2022-03-24,17,150
2022-03-24,18,111
2022-03-24,19,89
2022-03-24,20,53
2022-03-24,21,57
2022-03-24,22,35
2022-03-24,23,22
2022-03-25,0,8
2022-03-25,1,17
2022-03-25,2,31
2022-03-25,3,62
2022-03-25,4,36
2022-03-25,5,18
2022-03-25,6,61
2022-03-25,7,92
2022-03-25,8,177
2022-03-25,9,133
2022-03-25,10,80
2022-03-25,11,92
2022-03-25,12,102
2022-03-25,13,115
2022-03-25,14,102
2022-03-25,15,123
2022-03-25,16,102
2022-03-25,17,115
2022-03-25,18,92
2022-03-25,19,66
2022-03-25,20,52
2022-03-25,21,44
2022-03-25,22,26
2022-03-25,23,31
2022-03-26,0,17
2022-03-26,1,9
2022-03-26,2,39
2022-03-26,3,27
2022-03-26,4,4
2022-03-26,5,0
2022-03-26,6,49
2022-03-26,7,70
2022-03-26,8,97
2022-03-26,9,83
2022-03-26,10,67
2022-03-26,11,115
2022-03-26,12,129
2022-03-26,13,150
2022-03-26,14,142
2022-03-26,15,89
2022-03-26,16,84
2022-03-26,17,84
2022-03-26,18,72
2022-03-26,19,68
2022-03-26,20,40
2022-03-26,21,30
2022-03-26,22,26
2022-03-26,23,16
2022-03-27,0,4
2022-03-27,1,57
2022-03-27,2,48
2022-03-27,3,79
2022-03-27,4,57
2022-03-27,5,84
2022-03-27,6,88
2022-03-27,7,76
2022-03-27,8,57
2022-03-27,9,48
2022-03-27,10,98
2022-03-27,11,79
2022-03-27,12,110
2022-03-27,13,118
2022-03-27,14,76
2022-03-27,15,72
2022-03-27,16,62
2022-03-27,17,62
2022-03-27,18,80
2022-03-27,19,63
2022-03-27,20,63
2022-03-27,21,25
2022-03-27,22,12
2022-03-27,23,13
2022-03-28,0,17
2022-03-28,1,63
2022-03-28,2,31
2022-03-28,3,48
2022-03-28,4,0
2022-03-28,5,39
2022-03-28,6,70
2022-03-28,7,188
2022-03-28,8,119
2022-03-28,9,76
2022-03-28,10,84
2022-03-28,11,76
2022-03-28,12,84
2022-03-28,13,80
2022-03-28,14,84
