date,time,flow
2022-03-01,0,17
2022-03-01,1,10
2022-03-01,2,5
2022-03-01,3,2
2022-03-01,4,2
2022-03-01,5,3
2022-03-01,6,12
2022-03-01,7,28
2022-03-01,8,28
2022-03-01,9,45
2022-03-01,10,32
2022-03-01,11,29
2022-03-01,12,30
2022-03-01,13,37
2022-03-01,14,33
2022-03-01,15,31
2022-03-01,16,37
2022-03-01,17,41
2022-03-01,18,36
2022-03-01,19,23
2022-03-01,20,41
2022-03-01,21,26
2022-03-01,22,22
2022-03-01,23,25
2022-03-02,0,40
2022-03-02,1,84
2022-03-02,2,7
2022-03-02,3,7
2022-03-02,4,5
2022-03-02,5,3
2022-03-02,6,16
2022-03-02,7,22
2022-03-02,8,48
2022-03-02,9,38
2022-03-02,10,31
2022-03-02,11,26
2022-03-02,12,49
2022-03-02,13,46
2022-03-02,14,39
2022-03-02,15,47
2022-03-02,16,42
2022-03-02,17,67
2022-03-02,18,57
2022-03-02,19,65
2022-03-02,20,32
2022-03-02,21,33
2022-03-02,22,33
2022-03-02,23,26
2022-03-03,0,14
2022-03-03,1,16
2022-03-03,2,3
2022-03-03,3,6
2022-03-03,4,5
2022-03-03,5,1
2022-03-03,6,11
2022-03-03,7,25
2022-03-03,8,40
2022-03-03,9,45
2022-03-03,10,46
2022-03-03,11,27
2022-03-03,12,27
2022-03-03,13,46
2022-03-03,14,43
2022-03-03,15,35
2022-03-03,16,48
2022-03-03,17,67
2022-03-03,18,45
2022-03-03,19,29
2022-03-03,20,35
2022-03-03,21,27
2022-03-03,22,20
2022-03-03,23,23
2022-03-04,0,18
2022-03-04,1,21
2022-03-04,2,12
2022-03-04,3,9
2022-03-04,4,6
2022-03-04,5,12
2022-03-04,6,20
2022-03-04,7,23
2022-03-04,8,42
2022-03-04,9,43
2022-03-04,10,40
2022-03-04,11,30
2022-03-04,12,35
2022-03-04,13,37
2022-03-04,14,55
2022-03-04,15,52
2022-03-04,16,45
2022-03-04,17,45
2022-03-04,18,48
2022-03-04,19,51
2022-03-04,20,46
2022-03-04,21,40
2022-03-04,22,28
2022-03-04,23,33
2022-03-05,0,48
2022-03-05,1,40
2022-03-05,2,20
2022-03-05,3,21
2022-03-05,4,17
2022-03-05,5,6
2022-03-05,6,6
2022-03-05,7,9
2022-03-05,8,17
2022-03-05,9,17
2022-03-05,10,29
2022-03-05,11,37
2022-03-05,12,37
2022-03-05,13,47
2022-03-05,14,46
2022-03-05,15,41
2022-03-05,16,38
2022-03-05,17,40
2022-03-05,18,57
2022-03-05,19,53
2022-03-05,20,57
2022-03-05,21,22
2022-03-05,22,35
2022-03-05,23,35
2022-03-06,0,46
2022-03-06,1,23
2022-03-06,2,36
2022-03-06,3,19
2022-03-06,4,21
2022-03-06,5,15
2022-03-06,6,7
2022-03-06,7,16
2022-03-06,8,16
2022-03-06,9,21
2022-03-06,10,31
2022-03-06,11,35
2022-03-06,12,39
2022-03-06,13,38
2022-03-06,14,34
2022-03-06,15,49
2022-03-06,16,41
2022-03-06,17,39
2022-03-06,18,45
2022-03-06,19,33
2022-03-06,20,32
2022-03-06,21,26
2022-03-06,22,19
2022-03-06,23,22
2022-03-07,0,9
2022-03-07,1,12
2022-03-07,2,3
2022-03-07,3,6
2022-03-07,4,4
2022-03-07,5,7
2022-03-07,6,10
2022-03-07,7,16
2022-03-07,8,38
2022-03-07,9,33
2022-03-07,10,36
2022-03-07,11,37
2022-03-07,12,34
2022-03-07,13,34
2022-03-07,14,31
2022-03-07,15,45
2022-03-07,16,45
2022-03-07,17,36
2022-03-07,18,27
2022-03-07,19,33
2022-03-07,20,43
2022-03-07,21,30
2022-03-07,22,13
2022-03-07,23,17
2022-03-08,0,14
2022-03-08,1,21
2022-03-08,2,11
2022-03-08,3,7
2022-03-08,4,7
2022-03-08,5,5
2022-03-08,6,10
2022-03-08,7,36
2022-03-08,8,46
2022-03-08,9,48
2022-03-08,10,53
2022-03-08,11,28
2022-03-08,12,33
2022-03-08,13,32
2022-03-08,14,39
2022-03-08,15,35
2022-03-08,16,47
2022-03-08,17,43
2022-03-08,18,48
2022-03-08,19,42
2022-03-08,20,35
2022-03-08,21,21
2022-03-08,22,30
2022-03-08,23,16
2022-03-09,0,10
2022-03-09,1,8
2022-03-09,2,6
2022-03-09,3,9
2022-03-09,4,7
2022-03-09,5,5
2022-03-09,6,13
2022-03-09,7,23
2022-03-09,8,38
2022-03-09,9,45
2022-03-09,10,41
2022-03-09,11,28
2022-03-09,12,37
2022-03-09,13,37
2022-03-09,14,39
2022-03-09,15,36
2022-03-09,16,39
2022-03-09,17,67
2022-03-09,18,49
2022-03-09,19,45
2022-03-09,20,32
2022-03-09,21,12
2022-03-09,22,25
2022-03-09,23,18
2022-03-10,0,12
2022-03-10,1,11
2022-03-10,2,4
2022-03-10,3,6
2022-03-10,4,6
2022-03-10,5,4
2022-03-10,6,8
2022-03-10,7,24
2022-03-10,8,32
2022-03-10,9,35
2022-03-10,10,40
2022-03-10,11,32
2022-03-10,12,36
2022-03-10,13,31
2022-03-10,14,42
2022-03-10,15,42
2022-03-10,16,39
2022-03-10,17,52
2022-03-10,18,53
2022-03-10,19,34
2022-03-10,20,30
2022-03-10,21,36
2022-03-10,22,35
2022-03-10,23,27
2022-03-11,0,15
2022-03-11,1,11
2022-03-11,2,7
2022-03-11,3,10
2022-03-11,4,6
2022-03-11,5,12
2022-03-11,6,16
2022-03-11,7,19
2022-03-11,8,32
2022-03-11,9,45
2022-03-11,10,37
2022-03-11,11,35
2022-03-11,12,45
2022-03-11,13,37
2022-03-11,14,42
2022-03-11,15,43
2022-03-11,16,48
2022-03-11,17,47
2022-03-11,18,46
2022-03-11,19,60
2022-03-11,20,46
2022-03-11,21,38
2022-03-11,22,31
2022-03-11,23,38
2022-03-12,0,13
2022-03-12,1,22
2022-03-12,2,25
2022-03-12,3,12
2022-03-12,4,17
2022-03-12,5,3
2022-03-12,6,9
2022-03-12,7,13
2022-03-12,8,19
2022-03-12,9,18
2022-03-12,10,25
2022-03-12,11,39
2022-03-12,12,29
2022-03-12,13,36
2022-03-12,14,47
2022-03-12,15,53
2022-03-12,16,34
2022-03-12,17,47
2022-03-12,18,47
2022-03-12,19,51
2022-03-12,20,46
2022-03-12,21,42
2022-03-12,22,31
2022-03-12,23,41
2022-03-13,0,17
2022-03-13,1,24
2022-03-13,2,21
2022-03-13,3,30
2022-03-13,4,15
2022-03-13,5,12
2022-03-13,6,7
2022-03-13,7,11
2022-03-13,8,9
2022-03-13,9,16
2022-03-13,10,30
2022-03-13,11,21
2022-03-13,12,29
2022-03-13,13,45
2022-03-13,14,38
2022-03-13,15,45
2022-03-13,16,41
2022-03-13,17,36
2022-03-13,18,36
2022-03-13,19,37
2022-03-13,20,30
2022-03-13,21,16
2022-03-13,22,24
2022-03-13,23,20
2022-03-14,0,19
2022-03-14,1,16
2022-03-14,2,3
2022-03-14,3,7
2022-03-14,4,4
2022-03-14,5,6
2022-03-14,6,9
2022-03-14,7,16
2022-03-14,8,29
2022-03-14,9,34
2022-03-14,10,40
2022-03-14,11,37
2022-03-14,12,36
2022-03-14,13,51
2022-03-14,14,41
2022-03-14,15,34
2022-03-14,16,51
2022-03-14,17,44
2022-03-14,18,42
2022-03-14,19,35
2022-03-14,20,27
2022-03-14,21,20
2022-03-14,22,17
2022-03-14,23,14
2022-03-15,0,10
2022-03-15,1,8
2022-03-15,2,4
2022-03-15,3,3
2022-03-15,4,0
2022-03-15,5,3
2022-03-15,6,10
2022-03-15,7,21
2022-03-15,8,42
2022-03-15,9,44
2022-03-15,10,36
2022-03-15,11,26
2022-03-15,12,47
2022-03-15,13,48
2022-03-15,14,39
2022-03-15,15,33
2022-03-15,16,53
2022-03-15,17,35
2022-03-15,18,37
2022-03-15,19,37
2022-03-15,20,25
2022-03-15,21,28
2022-03-15,22,19
2022-03-15,23,19
2022-03-16,0,11
2022-03-16,1,21
2022-03-16,2,5
2022-03-16,3,10
2022-03-16,4,3
2022-03-16,5,7
2022-03-16,6,11
2022-03-16,7,20
2022-03-16,8,44
2022-03-16,9,49
2022-03-16,10,47
2022-03-16,11,25
2022-03-16,12,46
2022-03-16,13,30
2022-03-16,14,31
2022-03-16,15,18
2022-03-16,16,53
2022-03-16,17,48
2022-03-16,18,40
2022-03-16,19,30
2022-03-16,20,30
2022-03-16,21,33
2022-03-16,22,23
2022-03-16,23,27
2022-03-17,0,11
2022-03-17,1,13
2022-03-17,2,8
2022-03-17,3,8
2022-03-17,4,10
2022-03-17,5,9
2022-03-17,6,9
2022-03-17,7,19
2022-03-17,8,39
2022-03-17,9,48
2022-03-17,10,36
2022-03-17,11,32
2022-03-17,12,48
2022-03-17,13,26
2022-03-17,14,32
2022-03-17,15,27
2022-03-17,16,43
2022-03-17,17,49
2022-03-17,18,50
2022-03-17,19,44
2022-03-17,20,42
2022-03-17,21,21
2022-03-17,22,30
2022-03-17,23,21
2022-03-18,0,15
2022-03-18,1,17
2022-03-18,2,15
2022-03-18,3,10
2022-03-18,4,8
2022-03-18,5,12
2022-03-18,6,8
2022-03-18,7,17
2022-03-18,8,24
2022-03-18,9,38
2022-03-18,10,39
2022-03-18,11,36
2022-03-18,12,41
2022-03-18,13,47
2022-03-18,14,42
2022-03-18,15,53
2022-03-18,16,50
2022-03-18,17,51
2022-03-18,18,45
2022-03-18,19,31
2022-03-18,20,51
2022-03-18,21,39
2022-03-18,22,24
2022-03-18,23,31
2022-03-19,0,28
2022-03-19,1,36
2022-03-19,2,21
2022-03-19,3,19
2022-03-19,4,17
2022-03-19,5,14
2022-03-19,6,12
2022-03-19,7,16
2022-03-19,8,21
2022-03-19,9,26
2022-03-19,10,31
2022-03-19,11,36
2022-03-19,12,36
2022-03-19,13,40
2022-03-19,14,48
2022-03-19,15,48
2022-03-19,16,44
2022-03-19,17,49
2022-03-19,18,65
2022-03-19,19,51
2022-03-19,20,42
2022-03-19,21,38
2022-03-19,22,37
2022-03-19,23,41
2022-03-20,0,30
2022-03-20,1,31
2022-03-20,2,26
2022-03-20,3,23
2022-03-20,4,19
2022-03-20,5,8
2022-03-20,6,5
2022-03-20,7,16
2022-03-20,8,14
2022-03-20,9,15
2022-03-20,10,31
2022-03-20,11,21
2022-03-20,12,28
2022-03-20,13,20
2022-03-20,14,44
2022-03-20,15,34
2022-03-20,16,38
2022-03-20,17,28
2022-03-20,18,40
2022-03-20,19,38
2022-03-20,20,33
2022-03-20,21,34
2022-03-20,22,30
2022-03-20,23,22
2022-03-21,0,5
2022-03-21,1,13
2022-03-21,2,6
2022-03-21,3,7
2022-03-21,4,7
2022-03-21,5,8
