date,time,flow
2022-03-01,0,1
2022-03-01,1,12
2022-03-01,2,0
2022-03-01,3,0
2022-03-01,4,1
2022-03-01,5,4
2022-03-01,6,10
2022-03-01,7,29
2022-03-01,8,55
2022-03-01,9,77
2022-03-01,10,74
2022-03-01,11,64
2022-03-01,12,60
2022-03-01,13,68
2022-03-01,14,89
2022-03-01,15,87
2022-03-01,16,86
2022-03-01,17,84
2022-03-01,18,55
2022-03-01,19,43
2022-03-01,20,23
2022-03-01,21,24
2022-03-01,22,13
2022-03-01,23,7
2022-03-02,0,4
2022-03-02,1,2
2022-03-02,2,0
2022-03-02,3,1
2022-03-02,4,0
2022-03-02,5,2
2022-03-02,6,8
2022-03-02,7,33
2022-03-02,8,64
2022-03-02,9,77
2022-03-02,10,39
2022-03-02,11,62
2022-03-02,12,72
2022-03-02,13,63
2022-03-02,14,70
2022-03-02,15,84
2022-03-02,16,79
2022-03-02,17,68
2022-03-02,18,70
2022-03-02,19,104
2022-03-02,20,32
2022-03-02,21,17
2022-03-02,22,18
2022-03-02,23,7
2022-03-03,0,1
2022-03-03,1,0
2022-03-03,2,1
2022-03-03,3,0
2022-03-03,4,1
2022-03-03,5,3
2022-03-03,6,16
2022-03-03,7,30
2022-03-03,8,54
2022-03-03,9,88
2022-03-03,10,55
2022-03-03,11,70
2022-03-03,12,64
2022-03-03,13,79
2022-03-03,14,68
2022-03-03,15,84
2022-03-03,16,84
2022-03-03,17,95
2022-03-03,18,73
2022-03-03,19,42
2022-03-03,20,23
2022-03-03,21,29
2022-03-03,22,14
2022-03-03,23,11
2022-03-04,0,0
2022-03-04,1,4
2022-03-04,2,1
2022-03-04,3,0
2022-03-04,4,2
2022-03-04,5,7
2022-03-04,6,12
2022-03-04,7,32
2022-03-04,8,80
2022-03-04,9,88
2022-03-04,10,70
2022-03-04,11,59
2022-03-04,12,68
2022-03-04,13,89
2022-03-04,14,101
2022-03-04,15,116
2022-03-04,16,76
2022-03-04,17,81
2022-03-04,18,84
2022-03-04,19,74
2022-03-04,20,36
2022-03-04,21,34
2022-03-04,22,15
2022-03-04,23,12
2022-03-05,0,11
2022-03-05,1,9
2022-03-05,2,0
2022-03-05,3,0
2022-03-05,4,1
2022-03-05,5,4
2022-03-05,6,8
2022-03-05,7,16
2022-03-05,8,24
2022-03-05,9,35
2022-03-05,10,41
2022-03-05,11,54
2022-03-05,12,65
2022-03-05,13,62
2022-03-05,14,57
2022-03-05,15,54
2022-03-05,16,42
2022-03-05,17,44
2022-03-05,18,47
2022-03-05,19,35
2022-03-05,20,33
2022-03-05,21,15
2022-03-05,22,21
2022-03-05,23,17
2022-03-06,0,9
2022-03-06,1,4
2022-03-06,2,2
2022-03-06,3,1
2022-03-06,4,2
2022-03-06,5,3
2022-03-06,6,8
2022-03-06,7,3
2022-03-06,8,10
2022-03-06,9,28
2022-03-06,10,42
2022-03-06,11,27
2022-03-06,12,41
2022-03-06,13,39
2022-03-06,14,41
2022-03-06,15,44
2022-03-06,16,49
2022-03-06,17,38
2022-03-06,18,44
2022-03-06,19,42
2022-03-06,20,28
2022-03-06,21,18
2022-03-06,22,13
2022-03-06,23,10
2022-03-07,0,11
2022-03-07,1,7
2022-03-07,2,1
2022-03-07,3,0
2022-03-07,4,0
2022-03-07,5,3
2022-03-07,6,8
2022-03-07,7,21
2022-03-07,8,58
2022-03-07,9,64
2022-03-07,10,56
2022-03-07,11,76
2022-03-07,12,60
2022-03-07,13,68
2022-03-07,14,71
2022-03-07,15,74
2022-03-07,16,75
2022-03-07,17,67
2022-03-07,18,52
2022-03-07,19,48
2022-03-07,20,33
2022-03-07,21,14
2022-03-07,22,15
2022-03-07,23,11
2022-03-08,0,7
2022-03-08,1,3
2022-03-08,2,1
2022-03-08,3,1
2022-03-08,4,3
2022-03-08,5,4
2022-03-08,6,11
2022-03-08,7,21
2022-03-08,8,63
2022-03-08,9,67
2022-03-08,10,54
2022-03-08,11,69
2022-03-08,12,63
2022-03-08,13,74
2022-03-08,14,80
2022-03-08,15,77
2022-03-08,16,87
2022-03-08,17,69
2022-03-08,18,54
2022-03-08,19,39
2022-03-08,20,22
2022-03-08,21,18
2022-03-08,22,16
2022-03-08,23,5
2022-03-09,0,6
2022-03-09,1,0
2022-03-09,2,6
2022-03-09,3,1
2022-03-09,4,0
2022-03-09,5,5
2022-03-09,6,17
2022-03-09,7,29
2022-03-09,8,55
2022-03-09,9,81
2022-03-09,10,63
2022-03-09,11,50
2022-03-09,12,77
2022-03-09,13,62
2022-03-09,14,63
2022-03-09,15,98
2022-03-09,16,69
2022-03-09,17,78
2022-03-09,18,68
2022-03-09,19,38
2022-03-09,20,28
2022-03-09,21,16
2022-03-09,22,16
