date,time,flow
2022-03-01,0,2
2022-03-01,1,3
2022-03-01,2,2
2022-03-01,3,2
2022-03-01,4,5
2022-03-01,5,7
2022-03-01,6,17
2022-03-01,7,36
2022-03-01,8,76
2022-03-01,9,96
2022-03-01,10,65
2022-03-01,11,82
2022-03-01,12,68
2022-03-01,13,54
2022-03-01,14,82
2022-03-01,15,60
2022-03-01,16,102
2022-03-01,17,49
2022-03-01,18,54
2022-03-01,19,56
2022-03-01,20,35
2022-03-01,21,22
2022-03-01,22,10
2022-03-01,23,10
2022-03-02,0,5
2022-03-02,1,4
2022-03-02,2,1
2022-03-02,3,3
2022-03-02,4,4
2022-03-02,5,9
2022-03-02,6,15
2022-03-02,7,34
2022-03-02,8,70
2022-03-02,9,92
2022-03-02,10,67
2022-03-02,11,68
2022-03-02,12,59
2022-03-02,13,70
2022-03-02,14,78
2022-03-02,15,113
2022-03-02,16,168
2022-03-02,17,55
2022-03-02,18,86
2022-03-02,19,95
2022-03-02,20,24
2022-03-02,21,21
2022-03-02,22,16
2022-03-02,23,12
2022-03-03,0,4
2022-03-03,1,2
2022-03-03,2,0
2022-03-03,3,2
2022-03-03,4,5
2022-03-03,5,7
2022-03-03,6,17
2022-03-03,7,27
2022-03-03,8,66
2022-03-03,9,85
2022-03-03,10,65
2022-03-03,11,68
2022-03-03,12,73
2022-03-03,13,65
2022-03-03,14,52
2022-03-03,15,76
2022-03-03,16,72
2022-03-03,17,67
2022-03-03,18,58
2022-03-03,19,40
2022-03-03,20,25
2022-03-03,21,23
2022-03-03,22,11
2022-03-03,23,10
2022-03-04,0,4
2022-03-04,1,17
2022-03-04,2,8
2022-03-04,3,2
2022-03-04,4,1
2022-03-04,5,6
2022-03-04,6,18
2022-03-04,7,25
2022-03-04,8,59
2022-03-04,9,97
2022-03-04,10,63
2022-03-04,11,76
2022-03-04,12,72
2022-03-04,13,86
2022-03-04,14,56
2022-03-04,15,55
2022-03-04,16,62
2022-03-04,17,69
2022-03-04,18,63
2022-03-04,19,60
2022-03-04,20,48
2022-03-04,21,31
2022-03-04,22,18
2022-03-04,23,21
2022-03-05,0,8
2022-03-05,1,10
2022-03-05,2,2
2022-03-05,3,2
2022-03-05,4,3
2022-03-05,5,5
2022-03-05,6,6
2022-03-05,7,19
2022-03-05,8,29
2022-03-05,9,73
2022-03-05,10,53
2022-03-05,11,76
2022-03-05,12,64
2022-03-05,13,61
2022-03-05,14,65
2022-03-05,15,67
2022-03-05,16,43
2022-03-05,17,60
2022-03-05,18,56
2022-03-05,19,55
2022-03-05,20,30
2022-03-05,21,31
2022-03-05,22,21
2022-03-05,23,16
2022-03-06,0,8
2022-03-06,1,9
2022-03-06,2,9
2022-03-06,3,3
2022-03-06,4,4
2022-03-06,5,2
2022-03-06,6,6
2022-03-06,7,19
2022-03-06,8,29
2022-03-06,9,29
2022-03-06,10,58
2022-03-06,11,57
2022-03-06,12,37
2022-03-06,13,45
2022-03-06,14,58
2022-03-06,15,49
2022-03-06,16,43
2022-03-06,17,42
2022-03-06,18,36
2022-03-06,19,48
2022-03-06,20,24
2022-03-06,21,17
2022-03-06,22,16
2022-03-06,23,10
2022-03-07,0,9
2022-03-07,1,0
2022-03-07,2,0
2022-03-07,3,3
2022-03-07,4,4
2022-03-07,5,3
2022-03-07,6,17
2022-03-07,7,33
2022-03-07,8,69
2022-03-07,9,84
2022-03-07,10,73
2022-03-07,11,70
2022-03-07,12,92
2022-03-07,13,68
2022-03-07,14,59
2022-03-07,15,94
2022-03-07,16,71
2022-03-07,17,56
2022-03-07,18,43
2022-03-07,19,38
2022-03-07,20,22
2022-03-07,21,20
2022-03-07,22,12
2022-03-07,23,7
2022-03-08,0,6
2022-03-08,1,0
2022-03-08,2,0
2022-03-08,3,1
2022-03-08,4,4
2022-03-08,5,7
2022-03-08,6,16
2022-03-08,7,33
2022-03-08,8,54
2022-03-08,9,84
2022-03-08,10,42
2022-03-08,11,68
2022-03-08,12,57
2022-03-08,13,173
2022-03-08,14,48
2022-03-08,15,65
2022-03-08,16,92
2022-03-08,17,54
2022-03-08,18,58
2022-03-08,19,48
2022-03-08,20,27
2022-03-08,21,24
2022-03-08,22,22
2022-03-08,23,8
2022-03-09,0,1
2022-03-09,1,15
2022-03-09,2,1
2022-03-09,3,0
2022-03-09,4,2
2022-03-09,5,10
2022-03-09,6,12
