date,time,flow
2022-03-01,0,9
2022-03-01,1,16
2022-03-01,2,3
2022-03-01,3,2
2022-03-01,4,1
2022-03-01,5,7
2022-03-01,6,11
2022-03-01,7,11
2022-03-01,8,34
2022-03-01,9,37
2022-03-01,10,52
2022-03-01,11,63
2022-03-01,12,56
2022-03-01,13,73
2022-03-01,14,59
2022-03-01,15,71
2022-03-01,16,65
2022-03-01,17,74
2022-03-01,18,69
2022-03-01,19,52
2022-03-01,20,48
2022-03-01,21,21
2022-03-01,22,24
2022-03-01,23,29
2022-03-02,0,6
2022-03-02,1,7
2022-03-02,2,3
2022-03-02,3,2
2022-03-02,4,0
2022-03-02,5,4
2022-03-02,6,6
2022-03-02,7,17
2022-03-02,8,20
2022-03-02,9,50
2022-03-02,10,49
2022-03-02,11,65
2022-03-02,12,71
2022-03-02,13,70
2022-03-02,14,62
2022-03-02,15,72
2022-03-02,16,83
2022-03-02,17,83
2022-03-02,18,96
2022-03-02,19,110
2022-03-02,20,31
2022-03-02,21,27
2022-03-02,22,28
2022-03-02,23,27
2022-03-03,0,12
2022-03-03,1,8
2022-03-03,2,5
2022-03-03,3,0
2022-03-03,4,3
2022-03-03,5,3
2022-03-03,6,11
2022-03-03,7,18
2022-03-03,8,30
2022-03-03,9,39
2022-03-03,10,60
2022-03-03,11,61
2022-03-03,12,72
2022-03-03,13,93
2022-03-03,14,67
2022-03-03,15,63
2022-03-03,16,81
2022-03-03,17,99
2022-03-03,18,63
2022-03-03,19,42
2022-03-03,20,35
2022-03-03,21,24
2022-03-03,22,22
2022-03-03,23,22
2022-03-04,0,7
2022-03-04,1,6
2022-03-04,2,5
2022-03-04,3,5
2022-03-04,4,3
2022-03-04,5,3
2022-03-04,6,8
2022-03-04,7,21
2022-03-04,8,29
2022-03-04,9,41
2022-03-04,10,53
2022-03-04,11,50
2022-03-04,12,68
2022-03-04,13,59
2022-03-04,14,67
2022-03-04,15,72
2022-03-04,16,68
2022-03-04,17,70
2022-03-04,18,61
2022-03-04,19,43
2022-03-04,20,38
2022-03-04,21,32
2022-03-04,22,24
2022-03-04,23,24
2022-03-05,0,15
2022-03-05,1,18
2022-03-05,2,8
2022-03-05,3,5
2022-03-05,4,6
2022-03-05,5,3
2022-03-05,6,4
2022-03-05,7,16
2022-03-05,8,21
2022-03-05,9,34
2022-03-05,10,52
2022-03-05,11,56
2022-03-05,12,68
2022-03-05,13,82
2022-03-05,14,85
2022-03-05,15,92
2022-03-05,16,83
2022-03-05,17,52
2022-03-05,18,55
2022-03-05,19,48
2022-03-05,20,40
2022-03-05,21,21
2022-03-05,22,38
2022-03-05,23,39
2022-03-06,0,23
2022-03-06,1,29
2022-03-06,2,9
2022-03-06,3,7
2022-03-06,4,10
2022-03-06,5,4
2022-03-06,6,7
2022-03-06,7,7
2022-03-06,8,10
2022-03-06,9,20
2022-03-06,10,53
2022-03-06,11,53
2022-03-06,12,60
2022-03-06,13,71
2022-03-06,14,62
2022-03-06,15,78
2022-03-06,16,63
2022-03-06,17,57
2022-03-06,18,40
2022-03-06,19,53
2022-03-06,20,41
2022-03-06,21,25
2022-03-06,22,24
2022-03-06,23,21
2022-03-07,0,6
2022-03-07,1,2
2022-03-07,2,1
2022-03-07,3,2
2022-03-07,4,0
2022-03-07,5,1
2022-03-07,6,11
2022-03-07,7,15
2022-03-07,8,39
2022-03-07,9,28
2022-03-07,10,49
2022-03-07,11,53
2022-03-07,12,57
2022-03-07,13,76
2022-03-07,14,62
2022-03-07,15,69
2022-03-07,16,66
2022-03-07,17,69
2022-03-07,18,60
2022-03-07,19,54
2022-03-07,20,39
2022-03-07,21,19
2022-03-07,22,26
2022-03-07,23,36
2022-03-08,0,8
2022-03-08,1,7
2022-03-08,2,3
2022-03-08,3,2
2022-03-08,4,4
2022-03-08,5,6
2022-03-08,6,11
2022-03-08,7,19
2022-03-08,8,31
2022-03-08,9,37
2022-03-08,10,51
2022-03-08,11,75
2022-03-08,12,62
2022-03-08,13,50
2022-03-08,14,81
2022-03-08,15,60
2022-03-08,16,72
2022-03-08,17,79
2022-03-08,18,51
2022-03-08,19,49
2022-03-08,20,21
2022-03-08,21,28
2022-03-08,22,14
2022-03-08,23,12
2022-03-09,0,8
2022-03-09,1,6
2022-03-09,2,1
2022-03-09,3,4
2022-03-09,4,1
2022-03-09,5,2
2022-03-09,6,6
2022-03-09,7,18
2022-03-09,8,28
2022-03-09,9,42
2022-03-09,10,48
2022-03-09,11,62
2022-03-09,12,65
2022-03-09,13,65
2022-03-09,14,63
2022-03-09,15,45
2022-03-09,16,89
2022-03-09,17,85
2022-03-09,18,47
2022-03-09,19,40
2022-03-09,20,33
2022-03-09,21,25
2022-03-09,22,18
2022-03-09,23,12
2022-03-10,0,6
2022-03-10,1,134
2022-03-10,2,4
2022-03-10,3,6
2022-03-10,4,4
2022-03-10,5,6
2022-03-10,6,9
