date,time,flow
2022-03-01,0,14
2022-03-01,1,12
2022-03-01,2,1
2022-03-01,3,1
2022-03-01,4,0
2022-03-01,5,7
2022-03-01,6,7
2022-03-01,7,11
2022-03-01,8,22
2022-03-01,9,41
2022-03-01,10,64
2022-03-01,11,58
2022-03-01,12,64
2022-03-01,13,95
2022-03-01,14,66
2022-03-01,15,62
2022-03-01,16,69
2022-03-01,17,78
2022-03-01,18,70
2022-03-01,19,47
2022-03-01,20,36
2022-03-01,21,30
2022-03-01,22,27
2022-03-01,23,37
2022-03-02,0,5
2022-03-02,1,10
2022-03-02,2,2
2022-03-02,3,2
2022-03-02,4,0
2022-03-02,5,4
2022-03-02,6,7
2022-03-02,7,15
2022-03-02,8,26
2022-03-02,9,51
2022-03-02,10,54
2022-03-02,11,67
2022-03-02,12,75
2022-03-02,13,87
2022-03-02,14,64
2022-03-02,15,62
2022-03-02,16,66
2022-03-02,17,82
2022-03-02,18,97
2022-03-02,19,106
2022-03-02,20,31
2022-03-02,21,28
2022-03-02,22,29
2022-03-02,23,23
2022-03-03,0,10
2022-03-03,1,2
2022-03-03,2,3
2022-03-03,3,0
2022-03-03,4,2
2022-03-03,5,4
2022-03-03,6,8
2022-03-03,7,11
2022-03-03,8,31
2022-03-03,9,44
2022-03-03,10,60
2022-03-03,11,63
2022-03-03,12,76
2022-03-03,13,78
2022-03-03,14,73
2022-03-03,15,75
2022-03-03,16,89
2022-03-03,17,88
2022-03-03,18,74
2022-03-03,19,49
2022-03-03,20,43
2022-03-03,21,34
2022-03-03,22,28
2022-03-03,23,18
2022-03-04,0,4
2022-03-04,1,4
2022-03-04,2,4
2022-03-04,3,4
2022-03-04,4,2
2022-03-04,5,5
2022-03-04,6,7
2022-03-04,7,22
2022-03-04,8,35
2022-03-04,9,41
2022-03-04,10,75
2022-03-04,11,55
2022-03-04,12,74
2022-03-04,13,77
2022-03-04,14,91
2022-03-04,15,76
2022-03-04,16,75
2022-03-04,17,77
2022-03-04,18,71
2022-03-04,19,41
2022-03-04,20,37
2022-03-04,21,37
2022-03-04,22,27
2022-03-04,23,27
2022-03-05,0,17
2022-03-05,1,19
2022-03-05,2,9
2022-03-05,3,4
2022-03-05,4,2
2022-03-05,5,2
2022-03-05,6,7
2022-03-05,7,17
2022-03-05,8,23
2022-03-05,9,23
2022-03-05,10,62
2022-03-05,11,68
2022-03-05,12,82
2022-03-05,13,76
2022-03-05,14,93
2022-03-05,15,104
2022-03-05,16,82
2022-03-05,17,65
2022-03-05,18,52
2022-03-05,19,44
2022-03-05,20,39
2022-03-05,21,20
2022-03-05,22,39
2022-03-05,23,32
2022-03-06,0,25
2022-03-06,1,21
2022-03-06,2,7
2022-03-06,3,8
2022-03-06,4,6
2022-03-06,5,5
2022-03-06,6,6
2022-03-06,7,21
2022-03-06,8,31
2022-03-06,9,26
2022-03-06,10,43
2022-03-06,11,53
2022-03-06,12,54
2022-03-06,13,67
2022-03-06,14,68
2022-03-06,15,85
2022-03-06,16,77
2022-03-06,17,66
2022-03-06,18,41
2022-03-06,19,43
2022-03-06,20,33
2022-03-06,21,28
2022-03-06,22,23
2022-03-06,23,17
2022-03-07,0,9
2022-03-07,1,13
2022-03-07,2,1
2022-03-07,3,2
2022-03-07,4,1
2022-03-07,5,1
2022-03-07,6,11
2022-03-07,7,13
2022-03-07,8,42
2022-03-07,9,38
2022-03-07,10,58
2022-03-07,11,67
2022-03-07,12,66
2022-03-07,13,109
2022-03-07,14,97
2022-03-07,15,92
2022-03-07,16,133
2022-03-07,17,134
2022-03-07,18,74
2022-03-07,19,67
2022-03-07,20,49
2022-03-07,21,34
2022-03-07,22,41
2022-03-07,23,46
2022-03-08,0,11
2022-03-08,1,21
2022-03-08,2,6
2022-03-08,3,4
2022-03-08,4,4
2022-03-08,5,6
2022-03-08,6,13
2022-03-08,7,19
2022-03-08,8,39
2022-03-08,9,54
2022-03-08,10,72
2022-03-08,11,93
2022-03-08,12,90
2022-03-08,13,81
2022-03-08,14,113
2022-03-08,15,93
2022-03-08,16,130
2022-03-08,17,127
2022-03-08,18,84
2022-03-08,19,47
2022-03-08,20,40
2022-03-08,21,42
2022-03-08,22,23
2022-03-08,23,18
2022-03-09,0,10
2022-03-09,1,9
2022-03-09,2,8
2022-03-09,3,4
2022-03-09,4,1
2022-03-09,5,4
2022-03-09,6,12
