date,time,flow
2022-03-01,0,2
2022-03-01,1,6
2022-03-01,2,3
2022-03-01,3,4
2022-03-01,4,1
2022-03-01,5,5
2022-03-01,6,14
2022-03-01,7,43
2022-03-01,8,120
2022-03-01,9,103
2022-03-01,10,82
2022-03-01,11,89
2022-03-01,12,92
2022-03-01,13,65
2022-03-01,14,73
2022-03-01,15,79
2022-03-01,16,78
2022-03-01,17,89
2022-03-01,18,61
2022-03-01,19,66
2022-03-01,20,37
2022-03-01,21,24
2022-03-01,22,19
2022-03-01,23,11
2022-03-02,0,10
2022-03-02,1,16
2022-03-02,2,2
2022-03-02,3,4
2022-03-02,4,1
2022-03-02,5,3
2022-03-02,6,18
2022-03-02,7,41
2022-03-02,8,86
2022-03-02,9,83
2022-03-02,10,77
2022-03-02,11,75
2022-03-02,12,107
2022-03-02,13,73
2022-03-02,14,90
2022-03-02,15,81
2022-03-02,16,105
2022-03-02,17,89
2022-03-02,18,98
2022-03-02,19,94
2022-03-02,20,34
2022-03-02,21,27
2022-03-02,22,49
2022-03-02,23,24
2022-03-03,0,10
2022-03-03,1,8
2022-03-03,2,1
2022-03-03,3,1
2022-03-03,4,3
2022-03-03,5,6
2022-03-03,6,14
2022-03-03,7,49
2022-03-03,8,100
2022-03-03,9,101
2022-03-03,10,61
2022-03-03,11,76
2022-03-03,12,93
2022-03-03,13,92
2022-03-03,14,76
2022-03-03,15,70
2022-03-03,16,72
2022-03-03,17,97
2022-03-03,18,61
2022-03-03,19,60
2022-03-03,20,42
2022-03-03,21,27
2022-03-03,22,25
2022-03-03,23,12
2022-03-04,0,5
2022-03-04,1,5
2022-03-04,2,5
2022-03-04,3,0
2022-03-04,4,1
2022-03-04,5,4
2022-03-04,6,18
2022-03-04,7,45
2022-03-04,8,74
2022-03-04,9,86
2022-03-04,10,78
2022-03-04,11,83
2022-03-04,12,91
2022-03-04,13,81
2022-03-04,14,84
2022-03-04,15,98
2022-03-04,16,86
2022-03-04,17,100
2022-03-04,18,71
2022-03-04,19,65
2022-03-04,20,48
2022-03-04,21,27
2022-03-04,22,28
2022-03-04,23,13
2022-03-05,0,8
2022-03-05,1,16
2022-03-05,2,8
2022-03-05,3,5
2022-03-05,4,4
2022-03-05,5,2
2022-03-05,6,12
2022-03-05,7,19
2022-03-05,8,37
2022-03-05,9,71
2022-03-05,10,73
2022-03-05,11,77
2022-03-05,12,110
2022-03-05,13,97
2022-03-05,14,88
2022-03-05,15,95
2022-03-05,16,77
2022-03-05,17,85
2022-03-05,18,53
2022-03-05,19,47
2022-03-05,20,44
2022-03-05,21,27
2022-03-05,22,26
2022-03-05,23,17
2022-03-06,0,16
2022-03-06,1,14
2022-03-06,2,11
2022-03-06,3,4
2022-03-06,4,3
2022-03-06,5,1
2022-03-06,6,4
2022-03-06,7,10
2022-03-06,8,18
2022-03-06,9,29
2022-03-06,10,52
2022-03-06,11,65
2022-03-06,12,71
2022-03-06,13,68
2022-03-06,14,86
2022-03-06,15,71
2022-03-06,16,67
2022-03-06,17,51
2022-03-06,18,40
2022-03-06,19,38
2022-03-06,20,35
2022-03-06,21,24
2022-03-06,22,16
2022-03-06,23,17
2022-03-07,0,4
2022-03-07,1,4
2022-03-07,2,3
2022-03-07,3,2
2022-03-07,4,2
2022-03-07,5,3
2022-03-07,6,18
2022-03-07,7,38
2022-03-07,8,67
2022-03-07,9,85
2022-03-07,10,87
2022-03-07,11,73
2022-03-07,12,81
2022-03-07,13,100
2022-03-07,14,76
2022-03-07,15,76
2022-03-07,16,78
2022-03-07,17,73
2022-03-07,18,56
2022-03-07,19,43
2022-03-07,20,44
2022-03-07,21,23
2022-03-07,22,16
2022-03-07,23,12
2022-03-08,0,10
2022-03-08,1,8
2022-03-08,2,0
2022-03-08,3,2
2022-03-08,4,1
2022-03-08,5,3
2022-03-08,6,21
2022-03-08,7,44
2022-03-08,8,86
2022-03-08,9,94
2022-03-08,10,71
2022-03-08,11,74
2022-03-08,12,87
2022-03-08,13,84
2022-03-08,14,78
2022-03-08,15,86
2022-03-08,16,84
2022-03-08,17,68
2022-03-08,18,66
2022-03-08,19,48
2022-03-08,20,32
2022-03-08,21,21
2022-03-08,22,14
2022-03-08,23,7
2022-03-09,0,16
2022-03-09,1,13
2022-03-09,2,11
2022-03-09,3,1
2022-03-09,4,0
2022-03-09,5,3
2022-03-09,6,15
2022-03-09,7,47
2022-03-09,8,68
2022-03-09,9,70
2022-03-09,10,67
2022-03-09,11,80
2022-03-09,12,86
2022-03-09,13,95
2022-03-09,14,88
2022-03-09,15,67
2022-03-09,16,73
2022-03-09,17,96
2022-03-09,18,79
2022-03-09,19,52
2022-03-09,20,30
2022-03-09,21,31
2022-03-09,22,13
2022-03-09,23,9
2022-03-10,0,12
2022-03-10,1,5
2022-03-10,2,2
2022-03-10,3,2
2022-03-10,4,6
2022-03-10,5,4
2022-03-10,6,14
2022-03-10,7,43
2022-03-10,8,89
2022-03-10,9,80
2022-03-10,10,71
2022-03-10,11,81
2022-03-10,12,110
2022-03-10,13,68
2022-03-10,14,84
2022-03-10,15,78
2022-03-10,16,65
2022-03-10,17,79
2022-03-10,18,77
2022-03-10,19,53
2022-03-10,20,30
2022-03-10,21,28
2022-03-10,22,18
2022-03-10,23,12
2022-03-11,0,9
2022-03-11,1,4
2022-03-11,2,3
2022-03-11,3,1
2022-03-11,4,1
2022-03-11,5,2
2022-03-11,6,12
2022-03-11,7,39
2022-03-11,8,80
2022-03-11,9,97
2022-03-11,10,84
2022-03-11,11,91
2022-03-11,12,102
2022-03-11,13,82
2022-03-11,14,89
2022-03-11,15,75
2022-03-11,16,92
2022-03-11,17,81
2022-03-11,18,80
2022-03-11,19,63
2022-03-11,20,37
2022-03-11,21,28
2022-03-11,22,18
2022-03-11,23,18
2022-03-12,0,9
2022-03-12,1,15
2022-03-12,2,6
2022-03-12,3,9
2022-03-12,4,3
2022-03-12,5,4
2022-03-12,6,14
2022-03-12,7,13
2022-03-12,8,30
2022-03-12,9,74
2022-03-12,10,84
2022-03-12,11,81
2022-03-12,12,97
2022-03-12,13,84
2022-03-12,14,75
2022-03-12,15,91
2022-03-12,16,85
2022-03-12,17,71
2022-03-12,18,63
2022-03-12,19,55
2022-03-12,20,38
2022-03-12,21,46
2022-03-12,22,26
2022-03-12,23,21
2022-03-13,0,19
2022-03-13,1,24
2022-03-13,2,5
2022-03-13,3,9
2022-03-13,4,6
2022-03-13,5,3
2022-03-13,6,5
2022-03-13,7,12
2022-03-13,8,26
2022-03-13,9,36
2022-03-13,10,66
2022-03-13,11,72
2022-03-13,12,104
2022-03-13,13,89
2022-03-13,14,84
2022-03-13,15,56
2022-03-13,16,56
2022-03-13,17,46
2022-03-13,18,45
2022-03-13,19,52
2022-03-13,20,30
2022-03-13,21,23
2022-03-13,22,11
2022-03-13,23,12
2022-03-14,0,12
2022-03-14,1,1
2022-03-14,2,1
2022-03-14,3,1
2022-03-14,4,1
2022-03-14,5,10
2022-03-14,6,19
2022-03-14,7,43
2022-03-14,8,85
2022-03-14,9,75
2022-03-14,10,72
2022-03-14,11,81
2022-03-14,12,86
2022-03-14,13,86
2022-03-14,14,73
2022-03-14,15,79
2022-03-14,16,64
2022-03-14,17,58
2022-03-14,18,51
2022-03-14,19,45
2022-03-14,20,41
2022-03-14,21,20
2022-03-14,22,23
2022-03-14,23,12
2022-03-15,0,9
2022-03-15,1,0
2022-03-15,2,2
2022-03-15,3,1
2022-03-15,4,3
2022-03-15,5,8
2022-03-15,6,20
2022-03-15,7,51
2022-03-15,8,109
2022-03-15,9,93
2022-03-15,10,72
2022-03-15,11,67
2022-03-15,12,85
2022-03-15,13,73
2022-03-15,14,70
2022-03-15,15,65
2022-03-15,16,66
2022-03-15,17,75
2022-03-15,18,55
2022-03-15,19,43
2022-03-15,20,37
2022-03-15,21,19
2022-03-15,22,17
2022-03-15,23,7
2022-03-16,0,0
2022-03-16,1,2
2022-03-16,2,1
2022-03-16,3,0
2022-03-16,4,4
2022-03-16,5,7
2022-03-16,6,20
2022-03-16,7,42
2022-03-16,8,105
2022-03-16,9,93
2022-03-16,10,59
2022-03-16,11,73
2022-03-16,12,89
2022-03-16,13,88
2022-03-16,14,68
2022-03-16,15,70
2022-03-16,16,65
2022-03-16,17,73
2022-03-16,18,70
2022-03-16,19,67
2022-03-16,20,38
2022-03-16,21,21
2022-03-16,22,26
2022-03-16,23,13
2022-03-17,0,9
2022-03-17,1,4
2022-03-17,2,0
2022-03-17,3,2
2022-03-17,4,0
2022-03-17,5,9
2022-03-17,6,20
2022-03-17,7,49
2022-03-17,8,97
2022-03-17,9,110
2022-03-17,10,65
2022-03-17,11,72
2022-03-17,12,85
2022-03-17,13,83
2022-03-17,14,72
2022-03-17,15,91
2022-03-17,16,61
2022-03-17,17,90
2022-03-17,18,57
2022-03-17,19,45
2022-03-17,20,44
2022-03-17,21,27
2022-03-17,22,17
2022-03-17,23,14
