date,time,flow
2022-03-01,0,11
2022-03-01,1,4
2022-03-01,2,0
2022-03-01,3,0
2022-03-01,4,3
2022-03-01,5,8
2022-03-01,6,28
2022-03-01,7,89
2022-03-01,8,127
2022-03-01,9,87
2022-03-01,10,76
2022-03-01,11,60
2022-03-01,12,80
2022-03-01,13,100
2022-03-01,14,71
2022-03-01,15,80
2022-03-01,16,69
2022-03-01,17,75
2022-03-01,18,73
2022-03-01,19,59
2022-03-01,20,32
2022-03-01,21,26
2022-03-01,22,23
2022-03-01,23,16
2022-03-02,0,8
2022-03-02,1,16
2022-03-02,2,0
2022-03-02,3,1
2022-03-02,4,1
2022-03-02,5,6
2022-03-02,6,26
2022-03-02,7,78
2022-03-02,8,94
2022-03-02,9,90
2022-03-02,10,72
2022-03-02,11,79
2022-03-02,12,72
2022-03-02,13,80
2022-03-02,14,83
2022-03-02,15,75
2022-03-02,16,80
2022-03-02,17,82
2022-03-02,18,102
2022-03-02,19,186
2022-03-02,20,31
2022-03-02,21,35
2022-03-02,22,25
2022-03-02,23,13
2022-03-03,0,8
2022-03-03,1,1
2022-03-03,2,3
2022-03-03,3,0
2022-03-03,4,4
2022-03-03,5,7
2022-03-03,6,74
2022-03-03,7,79
2022-03-03,8,114
2022-03-03,9,104
2022-03-03,10,84
2022-03-03,11,62
2022-03-03,12,88
2022-03-03,13,79
2022-03-03,14,76
2022-03-03,15,90
2022-03-03,16,69
2022-03-03,17,80
2022-03-03,18,83
2022-03-03,19,59
2022-03-03,20,49
2022-03-03,21,34
2022-03-03,22,21
2022-03-03,23,15
2022-03-04,0,7
2022-03-04,1,34
2022-03-04,2,2
2022-03-04,3,5
2022-03-04,4,5
2022-03-04,5,7
2022-03-04,6,27
2022-03-04,7,84
2022-03-04,8,128
2022-03-04,9,84
2022-03-04,10,84
2022-03-04,11,94
2022-03-04,12,87
2022-03-04,13,89
2022-03-04,14,109
2022-03-04,15,85
2022-03-04,16,103
2022-03-04,17,99
2022-03-04,18,95
2022-03-04,19,72
2022-03-04,20,44
2022-03-04,21,40
2022-03-04,22,24
2022-03-04,23,15
2022-03-05,0,20
2022-03-05,1,11
2022-03-05,2,8
2022-03-05,3,2
2022-03-05,4,4
2022-03-05,5,2
2022-03-05,6,17
2022-03-05,7,23
2022-03-05,8,46
2022-03-05,9,55
2022-03-05,10,70
2022-03-05,11,80
2022-03-05,12,79
2022-03-05,13,90
2022-03-05,14,90
2022-03-05,15,70
2022-03-05,16,58
2022-03-05,17,55
2022-03-05,18,57
2022-03-05,19,56
2022-03-05,20,37
2022-03-05,21,27
2022-03-05,22,22
2022-03-05,23,13
2022-03-06,0,31
2022-03-06,1,29
2022-03-06,2,10
2022-03-06,3,6
2022-03-06,4,4
2022-03-06,5,6
2022-03-06,6,8
2022-03-06,7,11
2022-03-06,8,22
2022-03-06,9,35
2022-03-06,10,55
2022-03-06,11,69
2022-03-06,12,66
2022-03-06,13,67
2022-03-06,14,76
2022-03-06,15,72
2022-03-06,16,67
2022-03-06,17,56
2022-03-06,18,61
2022-03-06,19,41
2022-03-06,20,32
2022-03-06,21,23
2022-03-06,22,21
2022-03-06,23,11
2022-03-07,0,4
2022-03-07,1,15
2022-03-07,2,0
2022-03-07,3,1
2022-03-07,4,6
2022-03-07,5,8
2022-03-07,6,26
2022-03-07,7,87
2022-03-07,8,108
2022-03-07,9,94
2022-03-07,10,64
2022-03-07,11,78
2022-03-07,12,85
2022-03-07,13,92
2022-03-07,14,80
2022-03-07,15,84
2022-03-07,16,78
2022-03-07,17,80
2022-03-07,18,61
2022-03-07,19,48
2022-03-07,20,38
2022-03-07,21,31
2022-03-07,22,13
2022-03-07,23,10
2022-03-08,0,15
2022-03-08,1,3
2022-03-08,2,1
2022-03-08,3,2
2022-03-08,4,3
2022-03-08,5,5
2022-03-08,6,23
2022-03-08,7,103
2022-03-08,8,120
2022-03-08,9,92
2022-03-08,10,68
2022-03-08,11,79
2022-03-08,12,71
2022-03-08,13,83
2022-03-08,14,78
2022-03-08,15,77
2022-03-08,16,69
2022-03-08,17,80
2022-03-08,18,80
2022-03-08,19,74
2022-03-08,20,46
2022-03-08,21,20
2022-03-08,22,18
2022-03-08,23,11
2022-03-09,0,8
2022-03-09,1,27
2022-03-09,2,0
2022-03-09,3,1
2022-03-09,4,4
2022-03-09,5,5
2022-03-09,6,28
2022-03-09,7,79
2022-03-09,8,109
2022-03-09,9,101
2022-03-09,10,71
2022-03-09,11,84
2022-03-09,12,74
2022-03-09,13,82
2022-03-09,14,76
2022-03-09,15,65
2022-03-09,16,78
2022-03-09,17,80
2022-03-09,18,72
2022-03-09,19,56
2022-03-09,20,38
2022-03-09,21,29
2022-03-09,22,22
2022-03-09,23,12
2022-03-10,0,10
2022-03-10,1,4
2022-03-10,2,2
2022-03-10,3,1
2022-03-10,4,4
2022-03-10,5,8
2022-03-10,6,26
2022-03-10,7,100
2022-03-10,8,113
2022-03-10,9,108
2022-03-10,10,83
2022-03-10,11,72
2022-03-10,12,92
2022-03-10,13,77
2022-03-10,14,71
2022-03-10,15,81
2022-03-10,16,94
2022-03-10,17,90
2022-03-10,18,104
2022-03-10,19,47
2022-03-10,20,41
2022-03-10,21,21
2022-03-10,22,28
2022-03-10,23,17
2022-03-11,0,4
2022-03-11,1,25
2022-03-11,2,1
2022-03-11,3,3
2022-03-11,4,2
2022-03-11,5,7
2022-03-11,6,30
2022-03-11,7,92
2022-03-11,8,96
2022-03-11,9,132
2022-03-11,10,73
2022-03-11,11,167
2022-03-11,12,81
2022-03-11,13,116
2022-03-11,14,127
2022-03-11,15,99
2022-03-11,16,115
2022-03-11,17,96
2022-03-11,18,96
2022-03-11,19,94
2022-03-11,20,69
2022-03-11,21,39
2022-03-11,22,32
2022-03-11,23,28
2022-03-12,0,6
2022-03-12,1,8
2022-03-12,2,8
2022-03-12,3,6
2022-03-12,4,3
2022-03-12,5,3
2022-03-12,6,10
2022-03-12,7,24
2022-03-12,8,28
2022-03-12,9,51
2022-03-12,10,61
2022-03-12,11,71
2022-03-12,12,83
2022-03-12,13,78
2022-03-12,14,76
2022-03-12,15,72
2022-03-12,16,63
2022-03-12,17,67
2022-03-12,18,60
2022-03-12,19,42
2022-03-12,20,32
2022-03-12,21,29
2022-03-12,22,14
2022-03-12,23,18
2022-03-13,0,30
2022-03-13,1,10
2022-03-13,2,7
2022-03-13,3,10
2022-03-13,4,8
2022-03-13,5,4
2022-03-13,6,7
2022-03-13,7,19
2022-03-13,8,27
2022-03-13,9,38
2022-03-13,10,62
2022-03-13,11,62
2022-03-13,12,89
2022-03-13,13,76
2022-03-13,14,83
2022-03-13,15,97
2022-03-13,16,60
2022-03-13,17,62
2022-03-13,18,55
2022-03-13,19,36
2022-03-13,20,34
2022-03-13,21,26
2022-03-13,22,24
2022-03-13,23,11
2022-03-14,0,14
2022-03-14,1,4
2022-03-14,2,3
2022-03-14,3,1
2022-03-14,4,3
2022-03-14,5,5
2022-03-14,6,31
2022-03-14,7,85
2022-03-14,8,130
2022-03-14,9,102
2022-03-14,10,87
2022-03-14,11,65
2022-03-14,12,100
2022-03-14,13,82
2022-03-14,14,79
2022-03-14,15,98
2022-03-14,16,85
2022-03-14,17,87
2022-03-14,18,63
2022-03-14,19,51
2022-03-14,20,31
2022-03-14,21,25
2022-03-14,22,20
2022-03-14,23,16
2022-03-15,0,12
2022-03-15,1,4
2022-03-15,2,0
2022-03-15,3,2
2022-03-15,4,6
2022-03-15,5,5
2022-03-15,6,39
2022-03-15,7,154
2022-03-15,8,114
2022-03-15,9,119
2022-03-15,10,93
2022-03-15,11,64
2022-03-15,12,92
2022-03-15,13,94
2022-03-15,14,82
2022-03-15,15,89
2022-03-15,16,76
2022-03-15,17,89
2022-03-15,18,80
2022-03-15,19,72
2022-03-15,20,37
2022-03-15,21,42
2022-03-15,22,22
2022-03-15,23,11
2022-03-16,0,15
2022-03-16,1,0
2022-03-16,2,2
2022-03-16,3,2
2022-03-16,4,2
2022-03-16,5,8
2022-03-16,6,38
2022-03-16,7,94
2022-03-16,8,124
2022-03-16,9,96
2022-03-16,10,81
2022-03-16,11,77
2022-03-16,12,73
2022-03-16,13,86
2022-03-16,14,77
2022-03-16,15,79
2022-03-16,16,83
2022-03-16,17,88
2022-03-16,18,81
2022-03-16,19,49
2022-03-16,20,45
2022-03-16,21,25
2022-03-16,22,23
2022-03-16,23,12
2022-03-17,0,6
2022-03-17,1,2
2022-03-17,2,5
2022-03-17,3,5
2022-03-17,4,2
2022-03-17,5,8
2022-03-17,6,39
2022-03-17,7,103
2022-03-17,8,113
2022-03-17,9,91
2022-03-17,10,82
2022-03-17,11,81
2022-03-17,12,87
2022-03-17,13,93
2022-03-17,14,90
2022-03-17,15,93
2022-03-17,16,76
2022-03-17,17,80
2022-03-17,18,74
2022-03-17,19,69
2022-03-17,20,43
2022-03-17,21,34
2022-03-17,22,27
2022-03-17,23,19
2022-03-18,0,18
2022-03-18,1,4
2022-03-18,2,3
2022-03-18,3,7
2022-03-18,4,6
2022-03-18,5,5
2022-03-18,6,28
2022-03-18,7,87
2022-03-18,8,122
2022-03-18,9,71
2022-03-18,10,103
2022-03-18,11,99
2022-03-18,12,104
2022-03-18,13,103
2022-03-18,14,103
2022-03-18,15,84
2022-03-18,16,95
2022-03-18,17,102
2022-03-18,18,76
2022-03-18,19,82
2022-03-18,20,54
2022-03-18,21,37
2022-03-18,22,25
2022-03-18,23,21
2022-03-19,0,12
2022-03-19,1,10
2022-03-19,2,7
2022-03-19,3,5
2022-03-19,4,5
2022-03-19,5,13
2022-03-19,6,16
2022-03-19,7,27
2022-03-19,8,44
2022-03-19,9,52
2022-03-19,10,67
2022-03-19,11,80
2022-03-19,12,80
2022-03-19,13,80
2022-03-19,14,89
2022-03-19,15,72
2022-03-19,16,68
2022-03-19,17,55
2022-03-19,18,53
2022-03-19,19,64
2022-03-19,20,48
2022-03-19,21,33
2022-03-19,22,33
2022-03-19,23,22
2022-03-20,0,29
2022-03-20,1,29
2022-03-20,2,7
2022-03-20,3,5
2022-03-20,4,5
2022-03-20,5,2
2022-03-20,6,12
2022-03-20,7,13
2022-03-20,8,18
2022-03-20,9,40
2022-03-20,10,61
2022-03-20,11,65
2022-03-20,12,80
2022-03-20,13,71
2022-03-20,14,73
2022-03-20,15,75
2022-03-20,16,65
2022-03-20,17,45
2022-03-20,18,62
2022-03-20,19,51
2022-03-20,20,42
2022-03-20,21,33
2022-03-20,22,19
2022-03-20,23,16
2022-03-21,0,6
2022-03-21,1,8
2022-03-21,2,1
2022-03-21,3,2
2022-03-21,4,4
2022-03-21,5,7
2022-03-21,6,26
2022-03-21,7,97
2022-03-21,8,125
2022-03-21,9,104
2022-03-21,10,84
2022-03-21,11,92
2022-03-21,12,96
2022-03-21,13,95
2022-03-21,14,99
2022-03-21,15,64
2022-03-21,16,103
2022-03-21,17,72
2022-03-21,18,76
2022-03-21,19,57
2022-03-21,20,38
2022-03-21,21,24
2022-03-21,22,21
2022-03-21,23,17
2022-03-22,0,8
2022-03-22,1,5
2022-03-22,2,5
2022-03-22,3,4
2022-03-22,4,3
2022-03-22,5,2
2022-03-22,6,39
2022-03-22,7,93
2022-03-22,8,145
2022-03-22,9,123
2022-03-22,10,71
2022-03-22,11,80
2022-03-22,12,88
2022-03-22,13,94
2022-03-22,14,63
2022-03-22,15,73
2022-03-22,16,78
2022-03-22,17,97
2022-03-22,18,75
2022-03-22,19,69
2022-03-22,20,42
2022-03-22,21,36
2022-03-22,22,24
2022-03-22,23,13
2022-03-23,0,9
2022-03-23,1,12
2022-03-23,2,0
2022-03-23,3,2
2022-03-23,4,4
2022-03-23,5,7
2022-03-23,6,30
2022-03-23,7,84
2022-03-23,8,129
2022-03-23,9,91
2022-03-23,10,65
2022-03-23,11,83
2022-03-23,12,88
2022-03-23,13,93
2022-03-23,14,105
2022-03-23,15,85
2022-03-23,16,73
2022-03-23,17,89
2022-03-23,18,71
2022-03-23,19,68
2022-03-23,20,41
2022-03-23,21,30
2022-03-23,22,22
2022-03-23,23,20
2022-03-24,0,7
2022-03-24,1,8
2022-03-24,2,1
2022-03-24,3,1
2022-03-24,4,4
2022-03-24,5,5
2022-03-24,6,31
2022-03-24,7,105
2022-03-24,8,158
2022-03-24,9,109
2022-03-24,10,79
2022-03-24,11,77
2022-03-24,12,87
2022-03-24,13,100
2022-03-24,14,94
2022-03-24,15,80
2022-03-24,16,79
2022-03-24,17,96
2022-03-24,18,114
2022-03-24,19,98
2022-03-24,20,46
2022-03-24,21,39
2022-03-24,22,28
2022-03-24,23,16
2022-03-25,0,3
2022-03-25,1,1
2022-03-25,2,7
2022-03-25,3,3
2022-03-25,4,2
2022-03-25,5,2
2022-03-25,6,31
2022-03-25,7,94
2022-03-25,8,108
2022-03-25,9,85
2022-03-25,10,90
2022-03-25,11,107
2022-03-25,12,92
2022-03-25,13,97
2022-03-25,14,111
2022-03-25,15,103
2022-03-25,16,91
2022-03-25,17,86
2022-03-25,18,76
2022-03-25,19,73
2022-03-25,20,51
2022-03-25,21,34
2022-03-25,22,33
2022-03-25,23,25
2022-03-26,0,21
2022-03-26,1,9
2022-03-26,2,6
2022-03-26,3,5
2022-03-26,4,5
2022-03-26,5,5
2022-03-26,6,11
2022-03-26,7,36
2022-03-26,8,45
2022-03-26,9,59
2022-03-26,10,75
2022-03-26,11,93
2022-03-26,12,120
2022-03-26,13,133
2022-03-26,14,121
2022-03-26,15,79
2022-03-26,16,58
2022-03-26,17,70
2022-03-26,18,73
2022-03-26,19,59
2022-03-26,20,48
2022-03-26,21,42
2022-03-26,22,35
2022-03-26,23,27
2022-03-27,0,10
2022-03-27,1,13
2022-03-27,2,6
2022-03-27,3,3
2022-03-27,4,3
2022-03-27,5,11
2022-03-27,6,16
2022-03-27,7,21
2022-03-27,8,41
2022-03-27,9,50
2022-03-27,10,65
2022-03-27,11,76
2022-03-27,12,87
2022-03-27,13,85
2022-03-27,14,73
2022-03-27,15,52
2022-03-27,16,66
2022-03-27,17,67
2022-03-27,18,43
2022-03-27,19,45
2022-03-27,20,32
2022-03-27,21,26
2022-03-27,22,12
2022-03-27,23,14
2022-03-28,0,8
2022-03-28,1,4
2022-03-28,2,4
2022-03-28,3,2
2022-03-28,4,3
2022-03-28,5,30
2022-03-28,6,89
2022-03-28,7,117
2022-03-28,8,89
2022-03-28,9,82
2022-03-28,10,70
2022-03-28,11,82
2022-03-28,12,98
2022-03-28,13,75
2022-03-28,14,69
2022-03-28,15,94
2022-03-28,16,77
2022-03-28,17,60
2022-03-28,18,68
2022-03-28,19,42
2022-03-28,20,36
2022-03-28,21,23
2022-03-28,22,14
2022-03-28,23,15
2022-03-29,0,10
2022-03-29,1,5
2022-03-29,2,5
2022-03-29,3,4
2022-03-29,4,8
2022-03-29,5,34
2022-03-29,6,75
2022-03-29,7,114
2022-03-29,8,86
2022-03-29,9,80
2022-03-29,10,82
2022-03-29,11,75
2022-03-29,12,89
2022-03-29,13,83
2022-03-29,14,75
2022-03-29,15,68
2022-03-29,16,100
2022-03-29,17,76
2022-03-29,18,57
2022-03-29,19,57
2022-03-29,20,37
2022-03-29,21,22
2022-03-29,22,37
2022-03-29,23,8
2022-03-30,0,3
2022-03-30,1,11
2022-03-30,2,2
2022-03-30,3,3
2022-03-30,4,5
2022-03-30,5,27
2022-03-30,6,62
2022-03-30,7,152
2022-03-30,8,97
2022-03-30,9,75
2022-03-30,10,77
2022-03-30,11,90
2022-03-30,12,78
2022-03-30,13,96
2022-03-30,14,85
2022-03-30,15,80
2022-03-30,16,76
2022-03-30,17,74
2022-03-30,18,66
2022-03-30,19,41
2022-03-30,20,40
2022-03-30,21,20
2022-03-30,22,13
2022-03-30,23,11
2022-03-31,0,6
2022-03-31,1,6
2022-03-31,2,4
2022-03-31,3,4
2022-03-31,4,6
2022-03-31,5,32
2022-03-31,6,71
2022-03-31,7,106
2022-03-31,8,112
2022-03-31,9,100
2022-03-31,10,124
2022-03-31,11,79
2022-03-31,12,94
2022-03-31,13,76
2022-03-31,14,80
2022-03-31,15,74
2022-03-31,16,103
2022-03-31,17,77
2022-03-31,18,76
2022-03-31,19,39
2022-03-31,20,40
2022-03-31,21,34
2022-03-31,22,24
2022-03-31,23,5
2022-04-01,0,5
2022-04-01,1,0
2022-04-01,2,3
2022-04-01,3,3
2022-04-01,4,4
2022-04-01,5,24
2022-04-01,6,85
2022-04-01,7,99
2022-04-01,8,99
2022-04-01,9,114
2022-04-01,10,86
2022-04-01,11,95
2022-04-01,12,92
2022-04-01,13,111
2022-04-01,14,106
2022-04-01,15,102
2022-04-01,16,70
2022-04-01,17,61
2022-04-01,18,80
2022-04-01,19,54
2022-04-01,20,43
2022-04-01,21,28
2022-04-01,22,29
2022-04-01,23,16
2022-04-02,0,27
2022-04-02,1,7
2022-04-02,2,4
2022-04-02,3,2
2022-04-02,4,5
2022-04-02,5,14
2022-04-02,6,22
2022-04-02,7,40
2022-04-02,8,65
2022-04-02,9,53
2022-04-02,10,76
2022-04-02,11,90
2022-04-02,12,106
2022-04-02,13,86
2022-04-02,14,71
2022-04-02,15,68
2022-04-02,16,63
2022-04-02,17,45
2022-04-02,18,52
2022-04-02,19,33
2022-04-02,20,34
2022-04-02,21,33
2022-04-02,22,22
2022-04-02,23,18
2022-04-03,0,9
2022-04-03,1,8
2022-04-03,2,8
2022-04-03,3,6
2022-04-03,4,8
2022-04-03,5,9
2022-04-03,6,9
2022-04-03,7,26
2022-04-03,8,27
2022-04-03,9,63
2022-04-03,10,69
2022-04-03,11,57
2022-04-03,12,60
2022-04-03,13,60
2022-04-03,14,57
2022-04-03,15,57
2022-04-03,16,50
2022-04-03,17,48
2022-04-03,18,40
2022-04-03,19,35
2022-04-03,20,21
2022-04-03,21,20
2022-04-03,22,11
2022-04-03,23,9
2022-04-04,0,3
2022-04-04,1,5
2022-04-04,2,3
2022-04-04,3,9
2022-04-04,4,4
2022-04-04,5,26
2022-04-04,6,83
2022-04-04,7,112
2022-04-04,8,75
2022-04-04,9,77
2022-04-04,10,97
2022-04-04,11,79
2022-04-04,12,97
2022-04-04,13,73
2022-04-04,14,85
2022-04-04,15,79
2022-04-04,16,76
2022-04-04,17,56
2022-04-04,18,53
2022-04-04,19,33
2022-04-04,20,38
2022-04-04,21,26
2022-04-04,22,12
2022-04-04,23,4
2022-04-05,0,7
2022-04-05,1,4
2022-04-05,2,2
2022-04-05,3,4
2022-04-05,4,3
2022-04-05,5,27
2022-04-05,6,93
2022-04-05,7,117
2022-04-05,8,92
2022-04-05,9,97
2022-04-05,10,75
2022-04-05,11,79
2022-04-05,12,108
2022-04-05,13,109
2022-04-05,14,72
2022-04-05,15,95
2022-04-05,16,91
2022-04-05,17,78
2022-04-05,18,58
2022-04-05,19,52
2022-04-05,20,34
2022-04-05,21,27
2022-04-05,22,16
2022-04-05,23,10
2022-04-06,0,2
2022-04-06,1,3
2022-04-06,2,0
2022-04-06,3,1
2022-04-06,4,6
2022-04-06,5,28
2022-04-06,6,94
2022-04-06,7,102
2022-04-06,8,74
2022-04-06,9,67
2022-04-06,10,74
2022-04-06,11,88
2022-04-06,12,84
2022-04-06,13,89
2022-04-06,14,77
2022-04-06,15,79
2022-04-06,16,80
2022-04-06,17,92
2022-04-06,18,56
2022-04-06,19,38
2022-04-06,20,32
2022-04-06,21,30
2022-04-06,22,62
2022-04-06,23,7
2022-04-07,0,7
2022-04-07,1,2
2022-04-07,2,1
2022-04-07,3,3
2022-04-07,4,7
2022-04-07,5,29
2022-04-07,6,94
2022-04-07,7,113
2022-04-07,8,89
2022-04-07,9,89
2022-04-07,10,91
2022-04-07,11,85
2022-04-07,12,103
2022-04-07,13,95
2022-04-07,14,86
2022-04-07,15,85
2022-04-07,16,82
2022-04-07,17,69
2022-04-07,18,52
2022-04-07,19,40
2022-04-07,20,35
2022-04-07,21,27
2022-04-07,22,24
2022-04-07,23,14
2022-04-08,0,7
2022-04-08,1,14
2022-04-08,2,4
2022-04-08,3,5
2022-04-08,4,6
2022-04-08,5,30
2022-04-08,6,76
2022-04-08,7,89
2022-04-08,8,71
2022-04-08,9,75
2022-04-08,10,76
2022-04-08,11,104
2022-04-08,12,96
2022-04-08,13,109
2022-04-08,14,108
2022-04-11,7,87
2022-04-11,8,85
2022-04-11,9,91
2022-04-11,10,71
2022-04-11,11,103
2022-04-11,12,163
2022-04-11,13,85
2022-04-11,14,142
2022-04-11,15,161
2022-04-11,16,74
2022-04-11,17,63
2022-04-11,18,52
2022-04-11,19,43
2022-04-11,20,36
2022-04-11,21,27
2022-04-11,22,10
2022-04-11,23,14
2022-04-12,0,3
2022-04-12,1,2
2022-04-12,2,2
2022-04-12,3,4
2022-04-12,4,7
2022-04-12,5,21
2022-04-12,6,100
2022-04-12,7,120
2022-04-12,8,82
2022-04-12,9,78
2022-04-12,10,88
2022-04-12,11,74
2022-04-12,12,106
2022-04-12,13,123
2022-04-12,14,90
2022-04-12,15,98
2022-04-12,16,91
2022-04-12,17,103
2022-04-12,18,79
2022-04-12,19,42
2022-04-12,20,38
2022-04-12,21,38
2022-04-12,22,14
2022-04-12,23,8
2022-04-13,0,4
2022-04-13,1,1
2022-04-13,2,0
2022-04-13,3,5
2022-04-13,4,7
2022-04-13,5,30
2022-04-13,6,86
2022-04-13,7,112
2022-04-13,8,96
2022-04-13,9,68
2022-04-13,10,78
2022-04-13,11,78
2022-04-13,12,110
2022-04-13,13,101
2022-04-13,14,87
2022-04-13,15,86
2022-04-13,16,90
2022-04-13,17,79
2022-04-13,18,62
2022-04-13,19,48
2022-04-13,20,40
2022-04-13,21,27
2022-04-13,22,19
2022-04-13,23,11
2022-04-14,0,0
2022-04-14,1,2
2022-04-14,2,3
2022-04-14,3,3
2022-04-14,4,8
2022-04-14,5,26
2022-04-14,6,104
2022-04-14,7,104
2022-04-14,8,89
2022-04-14,9,88
2022-04-14,10,96
2022-04-14,11,140
2022-04-14,12,98
2022-04-14,13,106
2022-04-14,14,106
2022-04-14,15,86
2022-04-14,16,86
2022-04-14,17,106
2022-04-14,18,76
2022-04-14,19,43
2022-04-14,20,32
2022-04-14,21,32
2022-04-14,22,29
2022-04-14,23,11
2022-04-15,0,6
2022-04-15,1,6
2022-04-15,2,3
2022-04-15,3,3
2022-04-15,4,8
2022-04-15,5,30
2022-04-15,6,51
2022-04-15,7,55
2022-04-15,8,74
2022-04-15,9,69
2022-04-15,10,112
2022-04-15,11,114
2022-04-15,12,107
2022-04-15,13,102
2022-04-15,14,110
2022-04-15,15,73
2022-04-15,16,75
2022-04-15,17,77
2022-04-15,18,65
2022-04-15,19,50
2022-04-15,20,44
2022-04-15,21,33
2022-04-15,22,30
2022-04-15,23,15
2022-04-16,0,8
2022-04-16,1,7
2022-04-16,2,2
2022-04-16,3,0
2022-04-16,4,4
2022-04-16,5,18
2022-04-16,6,27
2022-04-16,7,35
2022-04-16,8,53
2022-04-16,9,89
2022-04-16,10,132
2022-04-16,11,80
2022-04-16,12,88
2022-04-16,13,70
2022-04-16,14,63
2022-04-16,15,59
2022-04-16,16,67
2022-04-16,17,59
2022-04-16,18,46
2022-04-16,19,41
2022-04-16,20,35
2022-04-16,21,42
2022-04-16,22,33
2022-04-16,23,15
2022-04-17,0,12
2022-04-17,1,8
2022-04-17,2,3
2022-04-17,3,1
2022-04-17,4,5
2022-04-17,5,7
2022-04-17,6,13
2022-04-17,7,18
2022-04-17,8,36
2022-04-17,9,62
2022-04-17,10,52
2022-04-17,11,91
2022-04-17,12,57
2022-04-17,13,51
2022-04-17,14,34
2022-04-17,15,35
2022-04-17,16,65
2022-04-17,17,54
2022-04-17,18,35
2022-04-17,19,39
2022-04-17,20,30
2022-04-17,21,27
2022-04-17,22,17
2022-04-17,23,12
2022-04-18,0,3
2022-04-18,1,5
2022-04-18,2,2
2022-04-18,3,1
2022-04-18,4,4
2022-04-18,5,16
2022-04-18,6,39
2022-04-18,7,31
2022-04-18,8,32
2022-04-18,9,57
2022-04-18,10,57
2022-04-18,11,76
2022-04-18,12,88
2022-04-18,13,67
2022-04-18,14,86
2022-04-18,15,73
2022-04-18,16,59
2022-04-18,17,85
2022-04-18,18,53
2022-04-18,19,44
2022-04-18,20,34
2022-04-18,21,24
2022-04-18,22,19
2022-04-18,23,11
2022-04-19,0,23
2022-04-19,1,7
2022-04-19,2,3
2022-04-19,3,5
2022-04-19,4,5
2022-04-19,5,32
2022-04-19,6,90
2022-04-19,7,123
2022-04-19,8,94
2022-04-19,9,75
2022-04-19,10,70
2022-04-19,11,79
2022-04-19,12,100
2022-04-19,13,81
2022-04-19,14,94
2022-04-19,15,80
2022-04-19,16,78
2022-04-19,17,68
2022-04-19,18,66
2022-04-19,19,32
2022-04-19,20,40
2022-04-19,21,33
2022-04-19,22,22
2022-04-19,23,8
2022-04-20,0,5
2022-04-20,1,2
2022-04-20,2,0
2022-04-20,3,2
2022-04-20,4,5
2022-04-20,5,33
2022-04-20,6,93
2022-04-20,7,110
2022-04-20,8,132
2022-04-20,9,61
2022-04-20,10,71
2022-04-20,11,74
2022-04-20,12,80
2022-04-20,13,83
2022-04-20,14,85
2022-04-20,15,72
2022-04-20,16,78
2022-04-20,17,93
2022-04-20,18,44
2022-04-20,19,45
2022-04-20,20,32
2022-04-20,21,30
2022-04-20,22,14
2022-04-20,23,11
