date,time,flow
2022-03-01,0,8
2022-03-01,1,16
2022-03-01,2,8
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,2
2022-03-01,6,5
2022-03-01,7,21
2022-03-01,8,37
2022-03-01,9,27
2022-03-01,10,24
2022-03-01,11,30
2022-03-01,12,28
2022-03-01,13,31
2022-03-01,14,45
2022-03-01,15,27
2022-03-01,16,43
2022-03-01,17,33
2022-03-01,18,42
2022-03-01,19,24
2022-03-01,20,24
2022-03-01,21,17
2022-03-01,22,12
2022-03-01,23,4
2022-03-02,0,10
2022-03-02,1,9
2022-03-02,2,9
2022-03-02,3,0
2022-03-02,4,1
2022-03-02,5,2
2022-03-02,6,4
2022-03-02,7,23
2022-03-02,8,37
2022-03-02,9,29
2022-03-02,10,27
2022-03-02,11,24
2022-03-02,12,28
2022-03-02,13,40
2022-03-02,14,36
2022-03-02,15,31
2022-03-02,16,53
2022-03-02,17,37
2022-03-02,18,40
2022-03-02,19,42
2022-03-02,20,27
2022-03-02,21,60
2022-03-02,22,292
2022-03-02,23,17
2022-03-03,0,2
2022-03-03,1,8
2022-03-03,2,4
2022-03-03,3,0
2022-03-03,4,4
2022-03-03,5,2
2022-03-03,6,4
2022-03-03,7,21
2022-03-03,8,41
2022-03-03,9,31
2022-03-03,10,23
2022-03-03,11,28
2022-03-03,12,29
2022-03-03,13,25
2022-03-03,14,36
2022-03-03,15,38
2022-03-03,16,43
2022-03-03,17,36
2022-03-03,18,36
2022-03-03,19,21
2022-03-03,20,20
2022-03-03,21,14
2022-03-03,22,17
2022-03-03,23,5
2022-03-04,0,13
2022-03-04,1,12
2022-03-04,2,9
2022-03-04,3,0
2022-03-04,4,1
2022-03-04,5,3
2022-03-04,6,9
2022-03-04,7,21
2022-03-04,8,43
2022-03-04,9,24
2022-03-04,10,30
2022-03-04,11,28
2022-03-04,12,32
2022-03-04,13,38
2022-03-04,14,50
2022-03-04,15,40
2022-03-04,16,46
2022-03-04,17,42
2022-03-04,18,36
2022-03-04,19,26
2022-03-04,20,16
2022-03-04,21,22
2022-03-04,22,12
2022-03-04,23,9
2022-03-05,0,10
2022-03-05,1,4
2022-03-05,2,7
2022-03-05,3,0
2022-03-05,4,3
