date,time,flow
2022-03-01,0,4
2022-03-01,1,4
2022-03-01,2,5
2022-03-01,3,0
2022-03-01,4,4
2022-03-01,5,3
2022-03-01,6,14
2022-03-01,7,58
2022-03-01,8,115
2022-03-01,9,75
2022-03-01,10,39
2022-03-01,11,42
2022-03-01,12,55
2022-03-01,13,43
2022-03-01,14,61
2022-03-01,15,81
2022-03-01,16,76
2022-03-01,17,84
2022-03-01,18,67
2022-03-01,19,48
2022-03-01,20,21
2022-03-01,21,10
2022-03-01,22,9
2022-03-01,23,7
2022-03-02,0,10
2022-03-02,1,12
2022-03-02,2,0
2022-03-02,3,0
2022-03-02,4,2
2022-03-02,5,4
2022-03-02,6,11
2022-03-02,7,44
2022-03-02,8,86
2022-03-02,9,91
2022-03-02,10,37
2022-03-02,11,56
2022-03-02,12,44
2022-03-02,13,54
2022-03-02,14,37
2022-03-02,15,59
2022-03-02,16,86
2022-03-02,17,107
2022-03-02,18,57
2022-03-02,19,48
2022-03-02,20,28
2022-03-02,21,22
2022-03-02,22,44
2022-03-02,23,10
2022-03-03,0,7
2022-03-03,1,8
2022-03-03,2,4
2022-03-03,3,1
2022-03-03,4,1
2022-03-03,5,4
2022-03-03,6,13
2022-03-03,7,44
2022-03-03,8,106
2022-03-03,9,96
2022-03-03,10,39
2022-03-03,11,40
2022-03-03,12,38
2022-03-03,13,51
2022-03-03,14,45
2022-03-03,15,77
2022-03-03,16,56
2022-03-03,17,72
2022-03-03,18,74
2022-03-03,19,49
2022-03-03,20,34
2022-03-03,21,10
2022-03-03,22,12
2022-03-03,23,9
2022-03-04,0,6
2022-03-04,1,4
2022-03-04,2,4
2022-03-04,3,1
2022-03-04,4,0
2022-03-04,5,5
2022-03-04,6,13
2022-03-04,7,55
2022-03-04,8,87
2022-03-04,9,89
2022-03-04,10,45
2022-03-04,11,57
2022-03-04,12,54
2022-03-04,13,57
2022-03-04,14,71
2022-03-04,15,98
2022-03-04,16,83
2022-03-04,17,76
2022-03-04,18,52
2022-03-04,19,42
2022-03-04,20,23
2022-03-04,21,23
2022-03-04,22,16
2022-03-04,23,14
2022-03-05,0,10
2022-03-05,1,4
2022-03-05,2,9
2022-03-05,3,1
2022-03-05,4,1
2022-03-05,5,6
2022-03-05,6,5
2022-03-05,7,24
2022-03-05,8,23
2022-03-05,9,43
2022-03-05,10,49
2022-03-05,11,49
2022-03-05,12,64
2022-03-05,13,62
2022-03-05,14,68
2022-03-05,15,34
2022-03-05,16,45
2022-03-05,17,46
2022-03-05,18,60
2022-03-05,19,36
2022-03-05,20,31
2022-03-05,21,19
2022-03-05,22,17
2022-03-05,23,11
2022-03-06,0,12
2022-03-06,1,12
2022-03-06,2,2
2022-03-06,3,4
2022-03-06,4,1
2022-03-06,5,1
2022-03-06,6,6
2022-03-06,7,9
2022-03-06,8,17
2022-03-06,9,19
2022-03-06,10,35
2022-03-06,11,38
2022-03-06,12,65
2022-03-06,13,56
2022-03-06,14,48
2022-03-06,15,54
2022-03-06,16,47
2022-03-06,17,35
2022-03-06,18,33
2022-03-06,19,21
2022-03-06,20,18
2022-03-06,21,12
2022-03-06,22,7
2022-03-06,23,7
2022-03-07,0,3
2022-03-07,1,16
2022-03-07,2,0
2022-03-07,3,4
2022-03-07,4,0
2022-03-07,5,7
2022-03-07,6,6
2022-03-07,7,38
2022-03-07,8,107
2022-03-07,9,64
2022-03-07,10,45
2022-03-07,11,41
2022-03-07,12,60
2022-03-07,13,55
2022-03-07,14,68
2022-03-07,15,76
2022-03-07,16,78
2022-03-07,17,90
2022-03-07,18,64
2022-03-07,19,43
2022-03-07,20,19
2022-03-07,21,12
2022-03-07,22,11
2022-03-07,23,14
2022-03-08,0,2
2022-03-08,1,4
2022-03-08,2,8
