date,time,flow
2022-03-01,0,11
2022-03-01,1,8
2022-03-01,2,0
2022-03-01,3,2
2022-03-01,4,3
2022-03-01,5,3
2022-03-01,6,2
2022-03-01,7,17
2022-03-01,8,27
2022-03-01,9,35
2022-03-01,10,34
2022-03-01,11,50
2022-03-01,12,48
2022-03-01,13,27
2022-03-01,14,53
2022-03-01,15,56
2022-03-01,16,78
2022-03-01,17,78
2022-03-01,18,62
2022-03-01,19,21
2022-03-01,20,25
2022-03-01,21,19
2022-03-01,22,13
2022-03-01,23,12
2022-03-02,0,5
2022-03-02,1,0
2022-03-02,2,4
2022-03-02,3,2
2022-03-02,4,1
2022-03-02,5,0
2022-03-02,6,3
2022-03-02,7,12
2022-03-02,8,29
2022-03-02,9,38
2022-03-02,10,37
2022-03-02,11,49
2022-03-02,12,36
2022-03-02,13,48
2022-03-02,14,38
2022-03-02,15,69
2022-03-02,16,60
2022-03-02,17,96
2022-03-02,18,49
2022-03-02,19,27
2022-03-02,20,16
2022-03-02,21,30
2022-03-02,22,26
2022-03-02,23,9
2022-03-03,0,10
2022-03-03,1,9
2022-03-03,2,9
2022-03-03,3,1
2022-03-03,4,3
2022-03-03,5,3
2022-03-03,6,4
2022-03-03,7,16
2022-03-03,8,27
2022-03-03,9,32
2022-03-03,10,59
2022-03-03,11,44
2022-03-03,12,67
2022-03-03,13,45
2022-03-03,14,54
2022-03-03,15,47
2022-03-03,16,56
2022-03-03,17,79
2022-03-03,18,53
2022-03-03,19,30
2022-03-03,20,26
2022-03-03,21,14
2022-03-03,22,16
2022-03-03,23,11
2022-03-04,0,16
2022-03-04,1,8
2022-03-04,2,4
2022-03-04,3,2
2022-03-04,4,4
2022-03-04,5,4
2022-03-04,6,3
2022-03-04,7,16
2022-03-04,8,20
2022-03-04,9,26
2022-03-04,10,52
2022-03-04,11,36
2022-03-04,12,41
2022-03-04,13,52
2022-03-04,14,44
2022-03-04,15,65
2022-03-04,16,81
2022-03-04,17,60
2022-03-04,18,37
2022-03-04,19,41
2022-03-04,20,25
2022-03-04,21,20
2022-03-04,22,26
2022-03-04,23,23
2022-03-05,0,21
2022-03-05,1,2
2022-03-05,2,11
2022-03-05,3,1
2022-03-05,4,3
2022-03-05,5,5
2022-03-05,6,1
2022-03-05,7,16
2022-03-05,8,21
2022-03-05,9,18
2022-03-05,10,22
2022-03-05,11,28
2022-03-05,12,50
2022-03-05,13,30
2022-03-05,14,32
2022-03-05,15,18
2022-03-05,16,46
2022-03-05,17,54
2022-03-05,18,37
2022-03-05,19,34
2022-03-05,20,25
2022-03-05,21,18
2022-03-05,22,10
2022-03-05,23,19
2022-03-06,0,13
2022-03-06,1,11
2022-03-06,2,3
2022-03-06,3,11
2022-03-06,4,1
2022-03-06,5,1
2022-03-06,6,2
2022-03-06,7,16
2022-03-06,8,16
2022-03-06,9,16
2022-03-06,10,22
2022-03-06,11,24
2022-03-06,12,21
2022-03-06,13,28
2022-03-06,14,31
2022-03-06,15,28
2022-03-06,16,31
2022-03-06,17,33
2022-03-06,18,22
2022-03-06,19,14
2022-03-06,20,15
2022-03-06,21,16
2022-03-06,22,8
2022-03-06,23,11
2022-03-07,0,3
2022-03-07,1,4
2022-03-07,2,4
2022-03-07,3,0
2022-03-07,4,0
2022-03-07,5,1
2022-03-07,6,3
2022-03-07,7,12
2022-03-07,8,24
2022-03-07,9,37
2022-03-07,10,40
2022-03-07,11,43
2022-03-07,12,46
2022-03-07,13,30
2022-03-07,14,32
2022-03-07,15,40
2022-03-07,16,68
2022-03-07,17,81
2022-03-07,18,34
2022-03-07,19,18
2022-03-07,20,13
2022-03-07,21,23
2022-03-07,22,14
2022-03-07,23,16
2022-03-08,0,8
2022-03-08,1,8
2022-03-08,2,8
2022-03-08,3,0
2022-03-08,4,0
2022-03-08,5,4
2022-03-08,6,8
2022-03-08,7,17
2022-03-08,8,27
2022-03-08,9,37
2022-03-08,10,36
2022-03-08,11,29
2022-03-08,12,64
2022-03-08,13,36
2022-03-08,14,52
2022-03-08,15,49
2022-03-08,16,77
2022-03-08,17,92
2022-03-08,18,56
2022-03-08,19,39
2022-03-08,20,22
2022-03-08,21,22
2022-03-08,22,17
2022-03-08,23,13
2022-03-09,0,5
2022-03-09,1,1
2022-03-09,2,1
2022-03-09,3,1
2022-03-09,4,0
2022-03-09,5,2
2022-03-09,6,4
2022-03-09,7,10
2022-03-09,8,25
2022-03-09,9,38
2022-03-09,10,44
2022-03-09,11,35
2022-03-09,12,54
2022-03-09,13,35
2022-03-09,14,45
2022-03-09,15,53
2022-03-09,16,65
2022-03-09,17,72
2022-03-09,18,49
2022-03-09,19,21
2022-03-09,20,14
2022-03-09,21,16
2022-03-09,22,17
2022-03-09,23,13
2022-03-10,0,15
2022-03-10,1,0
2022-03-10,2,0
2022-03-10,3,1
2022-03-10,4,0
2022-03-10,5,3
2022-03-10,6,6
2022-03-10,7,12
2022-03-10,8,27
2022-03-10,9,23
2022-03-10,10,44
2022-03-10,11,45
2022-03-10,12,40
2022-03-10,13,36
2022-03-10,14,36
2022-03-10,15,43
2022-03-10,16,58
2022-03-10,17,75
2022-03-10,18,37
2022-03-10,19,23
2022-03-10,20,24
2022-03-10,21,23
2022-03-10,22,34
2022-03-10,23,17
2022-03-11,0,7
2022-03-11,1,5
2022-03-11,2,4
2022-03-11,3,2
2022-03-11,4,3
2022-03-11,5,1
2022-03-11,6,7
2022-03-11,7,12
2022-03-11,8,22
2022-03-11,9,29
2022-03-11,10,35
2022-03-11,11,55
2022-03-11,12,40
2022-03-11,13,54
2022-03-11,14,58
2022-03-11,15,36
2022-03-11,16,58
2022-03-11,17,58
2022-03-11,18,34
2022-03-11,19,34
2022-03-11,20,23
2022-03-11,21,18
2022-03-11,22,18
2022-03-11,23,21
2022-03-12,0,22
2022-03-12,1,8
2022-03-12,2,5
2022-03-12,3,3
2022-03-12,4,3
2022-03-12,5,5
2022-03-12,6,1
2022-03-12,7,10
2022-03-12,8,10
2022-03-12,9,20
2022-03-12,10,23
2022-03-12,11,31
2022-03-12,12,28
2022-03-12,13,25
2022-03-12,14,31
2022-03-12,15,26
2022-03-12,16,44
2022-03-12,17,28
2022-03-12,18,40
2022-03-12,19,20
2022-03-12,20,18
2022-03-12,21,17
2022-03-12,22,17
2022-03-12,23,19
2022-03-13,0,27
2022-03-13,1,20
2022-03-13,2,12
2022-03-13,3,6
2022-03-13,4,2
2022-03-13,5,4
2022-03-13,6,2
2022-03-13,7,16
2022-03-13,8,16
2022-03-13,9,19
2022-03-13,10,11
2022-03-13,11,17
2022-03-13,12,26
2022-03-13,13,28
2022-03-13,14,21
2022-03-13,15,26
2022-03-13,16,24
2022-03-13,17,33
2022-03-13,18,20
2022-03-13,19,24
2022-03-13,20,17
2022-03-13,21,14
2022-03-13,22,16
2022-03-13,23,9
2022-03-14,0,5
2022-03-14,1,7
2022-03-14,2,0
2022-03-14,3,1
2022-03-14,4,0
2022-03-14,5,0
2022-03-14,6,2
2022-03-14,7,16
2022-03-14,8,33
2022-03-14,9,38
2022-03-14,10,25
2022-03-14,11,30
2022-03-14,12,38
2022-03-14,13,45
2022-03-14,14,40
2022-03-14,15,37
2022-03-14,16,78
2022-03-14,17,80
2022-03-14,18,42
2022-03-14,19,34
2022-03-14,20,14
2022-03-14,21,16
2022-03-14,22,14
2022-03-14,23,10
2022-03-15,0,5
2022-03-15,1,0
2022-03-15,2,1
2022-03-15,3,1
2022-03-15,4,0
2022-03-15,5,0
2022-03-15,6,7
2022-03-15,7,13
2022-03-15,8,30
2022-03-15,9,38
2022-03-15,10,30
2022-03-15,11,35
2022-03-15,12,42
2022-03-15,13,40
2022-03-15,14,32
2022-03-15,15,33
2022-03-15,16,73
2022-03-15,17,98
2022-03-15,18,49
2022-03-15,19,30
2022-03-15,20,17
2022-03-15,21,15
2022-03-15,22,29
2022-03-15,23,16
2022-03-16,0,12
2022-03-16,1,4
2022-03-16,2,4
2022-03-16,3,1
2022-03-16,4,1
2022-03-16,5,1
2022-03-16,6,9
2022-03-16,7,12
2022-03-16,8,25
2022-03-16,9,30
2022-03-16,10,32
2022-03-16,11,30
2022-03-16,12,40
2022-03-16,13,40
2022-03-16,14,37
2022-03-16,15,48
2022-03-16,16,54
2022-03-16,17,64
2022-03-16,18,50
2022-03-16,19,29
2022-03-16,20,17
2022-03-16,21,22
2022-03-16,22,19
2022-03-16,23,10
2022-03-17,0,3
2022-03-17,1,0
2022-03-17,2,1
2022-03-17,3,1
2022-03-17,4,0
2022-03-17,5,1
2022-03-17,6,4
2022-03-17,7,9
2022-03-17,8,17
2022-03-17,9,33
2022-03-17,10,28
2022-03-17,11,41
2022-03-17,12,37
2022-03-17,13,32
2022-03-17,14,51
2022-03-17,15,43
2022-03-17,16,62
2022-03-17,17,79
2022-03-17,18,50
2022-03-17,19,23
2022-03-17,20,18
2022-03-17,21,22
2022-03-17,22,6
2022-03-17,23,15
2022-03-18,0,12
2022-03-18,1,0
2022-03-18,2,5
2022-03-18,3,3
2022-03-18,4,1
2022-03-18,5,4
2022-03-18,6,9
2022-03-18,7,16
2022-03-18,8,16
2022-03-18,9,22
2022-03-18,10,35
2022-03-18,11,29
2022-03-18,12,42
2022-03-18,13,39
2022-03-18,14,60
2022-03-18,15,58
2022-03-18,16,77
2022-03-18,17,44
2022-03-18,18,49
2022-03-18,19,29
2022-03-18,20,16
2022-03-18,21,13
2022-03-18,22,11
2022-03-18,23,13
2022-03-19,0,15
2022-03-19,1,9
2022-03-19,2,3
2022-03-19,3,3
2022-03-19,4,4
2022-03-19,5,8
2022-03-19,6,4
2022-03-19,7,16
2022-03-19,8,21
2022-03-19,9,21
2022-03-19,10,16
2022-03-19,11,31
2022-03-19,12,36
2022-03-19,13,40
2022-03-19,14,36
2022-03-19,15,36
2022-03-19,16,44
2022-03-19,17,41
2022-03-19,18,23
2022-03-19,19,22
2022-03-19,20,25
2022-03-19,21,10
2022-03-19,22,12
2022-03-19,23,19
2022-03-20,0,10
2022-03-20,1,10
2022-03-20,2,10
2022-03-20,3,7
2022-03-20,4,2
2022-03-20,5,3
2022-03-20,6,4
2022-03-20,7,16
2022-03-20,8,16
2022-03-20,9,16
2022-03-20,10,17
2022-03-20,11,22
2022-03-20,12,21
2022-03-20,13,30
2022-03-20,14,24
2022-03-20,15,15
2022-03-20,16,38
2022-03-20,17,32
2022-03-20,18,25
2022-03-20,19,15
2022-03-20,20,17
2022-03-20,21,11
2022-03-20,22,13
2022-03-20,23,10
2022-03-21,0,14
2022-03-21,1,12
2022-03-21,2,0
2022-03-21,3,1
2022-03-21,4,1
2022-03-21,5,0
2022-03-21,6,6
2022-03-21,7,5
2022-03-21,8,22
2022-03-21,9,32
2022-03-21,10,26
2022-03-21,11,31
2022-03-21,12,40
2022-03-21,13,26
2022-03-21,14,35
2022-03-21,15,32
2022-03-21,16,90
2022-03-21,17,76
2022-03-21,18,36
2022-03-21,19,17
2022-03-21,20,11
2022-03-21,21,20
2022-03-21,22,16
2022-03-21,23,19
2022-03-22,0,4
2022-03-22,1,3
2022-03-22,2,0
2022-03-22,3,0
2022-03-22,4,0
2022-03-22,5,0
2022-03-22,6,7
2022-03-22,7,21
2022-03-22,8,33
2022-03-22,9,27
2022-03-22,10,24
2022-03-22,11,41
2022-03-22,12,49
2022-03-22,13,32
2022-03-22,14,38
2022-03-22,15,56
2022-03-22,16,63
2022-03-22,17,72
2022-03-22,18,43
2022-03-22,19,31
2022-03-22,20,26
2022-03-22,21,21
2022-03-22,22,12
2022-03-22,23,11
2022-03-23,0,5
2022-03-23,1,0
2022-03-23,2,4
2022-03-23,3,0
2022-03-23,4,0
2022-03-23,5,1
2022-03-23,6,0
2022-03-23,7,12
2022-03-23,8,30
2022-03-23,9,29
2022-03-23,10,30
2022-03-23,11,51
2022-03-23,12,46
2022-03-23,13,45
2022-03-23,14,45
2022-03-23,15,58
2022-03-23,16,71
2022-03-23,17,72
2022-03-23,18,46
2022-03-23,19,24
2022-03-23,20,22
2022-03-23,21,11
2022-03-23,22,12
2022-03-23,23,11
2022-03-24,0,6
2022-03-24,1,4
2022-03-24,2,8
2022-03-24,3,0
2022-03-24,4,1
2022-03-24,5,4
2022-03-24,6,5
2022-03-24,7,16
2022-03-24,8,23
2022-03-24,9,36
2022-03-24,10,41
2022-03-24,11,38
2022-03-24,12,40
2022-03-24,13,32
2022-03-24,14,51
2022-03-24,15,48
2022-03-24,16,73
2022-03-24,17,85
2022-03-24,18,64
2022-03-24,19,67
2022-03-24,20,30
2022-03-24,21,39
2022-03-24,22,18
2022-03-24,23,11
2022-03-25,0,3
2022-03-25,1,9
2022-03-25,2,1
2022-03-25,3,1
