date,time,flow
2022-03-01,0,6
2022-03-01,1,12
2022-03-01,2,7
2022-03-01,3,3
2022-03-01,4,1
2022-03-01,5,5
2022-03-01,6,6
2022-03-01,7,26
2022-03-01,8,44
2022-03-01,9,74
2022-03-01,10,48
2022-03-01,11,57
2022-03-01,12,62
2022-03-01,13,57
2022-03-01,14,51
2022-03-01,15,57
2022-03-01,16,71
2022-03-01,17,81
2022-03-01,18,72
2022-03-01,19,57
2022-03-01,20,29
2022-03-01,21,24
2022-03-01,22,22
2022-03-01,23,11
2022-03-02,0,15
2022-03-02,1,2
2022-03-02,2,3
2022-03-02,3,0
2022-03-02,4,3
2022-03-02,5,3
2022-03-02,6,10
2022-03-02,7,31
2022-03-02,8,47
2022-03-02,9,76
2022-03-02,10,59
2022-03-02,11,55
2022-03-02,12,65
2022-03-02,13,47
2022-03-02,14,60
2022-03-02,15,74
2022-03-02,16,71
2022-03-02,17,77
2022-03-02,18,54
2022-03-02,19,35
2022-03-02,20,28
2022-03-02,21,15
2022-03-02,22,29
2022-03-02,23,13
2022-03-03,0,17
2022-03-03,1,8
2022-03-03,2,5
2022-03-03,3,2
2022-03-03,4,1
2022-03-03,5,2
2022-03-03,6,10
2022-03-03,7,27
2022-03-03,8,51
2022-03-03,9,65
2022-03-03,10,55
2022-03-03,11,50
2022-03-03,12,72
2022-03-03,13,58
2022-03-03,14,58
2022-03-03,15,72
2022-03-03,16,75
2022-03-03,17,68
2022-03-03,18,70
2022-03-03,19,39
2022-03-03,20,32
2022-03-03,21,36
2022-03-03,22,11
2022-03-03,23,12
2022-03-04,0,12
2022-03-04,1,12
2022-03-04,2,4
2022-03-04,3,2
2022-03-04,4,1
2022-03-04,5,2
2022-03-04,6,12
2022-03-04,7,32
2022-03-04,8,46
2022-03-04,9,52
2022-03-04,10,40
2022-03-04,11,54
2022-03-04,12,64
2022-03-04,13,63
2022-03-04,14,68
2022-03-04,15,61
2022-03-04,16,68
2022-03-04,17,73
2022-03-04,18,60
2022-03-04,19,57
2022-03-04,20,38
2022-03-04,21,29
2022-03-04,22,16
2022-03-04,23,11
2022-03-05,0,19
2022-03-05,1,8
2022-03-05,2,5
2022-03-05,3,5
2022-03-05,4,1
2022-03-05,5,5
2022-03-05,6,7
2022-03-05,7,7
2022-03-05,8,21
2022-03-05,9,27
2022-03-05,10,41
2022-03-05,11,53
2022-03-05,12,62
2022-03-05,13,73
2022-03-05,14,62
2022-03-05,15,58
2022-03-05,16,47
2022-03-05,17,61
2022-03-05,18,52
2022-03-05,19,50
2022-03-05,20,31
2022-03-05,21,27
2022-03-05,22,21
2022-03-05,23,14
2022-03-06,0,9
2022-03-06,1,11
2022-03-06,2,7
2022-03-06,3,7
2022-03-06,4,5
2022-03-06,5,6
2022-03-06,6,5
2022-03-06,7,16
2022-03-06,8,16
2022-03-06,9,26
2022-03-06,10,30
2022-03-06,11,45
2022-03-06,12,45
2022-03-06,13,42
2022-03-06,14,59
2022-03-06,15,46
2022-03-06,16,52
2022-03-06,17,50
2022-03-06,18,34
2022-03-06,19,30
2022-03-06,20,24
2022-03-06,21,11
2022-03-06,22,9
2022-03-06,23,13
2022-03-07,0,7
2022-03-07,1,25
2022-03-07,2,8
2022-03-07,3,0
2022-03-07,4,0
2022-03-07,5,2
2022-03-07,6,8
2022-03-07,7,21
2022-03-07,8,46
2022-03-07,9,65
2022-03-07,10,59
2022-03-07,11,50
2022-03-07,12,65
2022-03-07,13,46
2022-03-07,14,55
2022-03-07,15,73
2022-03-07,16,62
2022-03-07,17,62
2022-03-07,18,57
2022-03-07,19,36
2022-03-07,20,35
2022-03-07,21,16
2022-03-07,22,17
2022-03-07,23,10
2022-03-08,0,3
2022-03-08,1,9
2022-03-08,2,9
2022-03-08,3,1
2022-03-08,4,0
