date,time,flow
2022-03-01,0,15
2022-03-01,1,8
2022-03-01,2,5
2022-03-01,3,1
2022-03-01,4,1
2022-03-01,5,8
2022-03-01,6,8
2022-03-01,7,47
2022-03-01,8,61
2022-03-01,9,69
2022-03-01,10,58
2022-03-01,11,45
2022-03-01,12,60
2022-03-01,13,81
2022-03-01,14,45
2022-03-01,15,54
2022-03-01,16,78
2022-03-01,17,96
2022-03-01,18,66
2022-03-01,19,53
2022-03-01,20,33
2022-03-01,21,25
2022-03-01,22,22
2022-03-01,23,11
2022-03-02,0,10
2022-03-02,1,16
2022-03-02,2,4
2022-03-02,3,0
2022-03-02,4,4
2022-03-02,5,6
2022-03-02,6,2
2022-03-02,7,36
2022-03-02,8,72
2022-03-02,9,67
2022-03-02,10,46
2022-03-02,11,60
2022-03-02,12,54
2022-03-02,13,49
2022-03-02,14,57
2022-03-02,15,53
2022-03-02,16,62
2022-03-02,17,70
2022-03-02,18,72
2022-03-02,19,42
2022-03-02,20,28
2022-03-02,21,28
2022-03-02,22,53
2022-03-02,23,13
2022-03-03,0,10
2022-03-03,1,16
2022-03-03,2,8
2022-03-03,3,1
2022-03-03,4,1
2022-03-03,5,7
2022-03-03,6,6
2022-03-03,7,45
2022-03-03,8,58
2022-03-03,9,62
2022-03-03,10,47
2022-03-03,11,43
2022-03-03,12,43
2022-03-03,13,53
2022-03-03,14,55
2022-03-03,15,69
2022-03-03,16,59
2022-03-03,17,70
2022-03-03,18,83
2022-03-03,19,59
2022-03-03,20,46
2022-03-03,21,35
2022-03-03,22,19
2022-03-03,23,12
2022-03-04,0,12
2022-03-04,1,8
2022-03-04,2,9
2022-03-04,3,0
2022-03-04,4,0
2022-03-04,5,5
2022-03-04,6,14
2022-03-04,7,47
2022-03-04,8,52
2022-03-04,9,68
2022-03-04,10,52
2022-03-04,11,46
2022-03-04,12,56
2022-03-04,13,54
2022-03-04,14,66
2022-03-04,15,70
2022-03-04,16,53
2022-03-04,17,65
2022-03-04,18,69
2022-03-04,19,54
2022-03-04,20,25
