date,time,flow
2022-03-01,0,46
2022-03-01,1,16
2022-03-01,2,6
2022-03-01,3,4
2022-03-01,4,4
2022-03-01,5,6
2022-03-01,6,24
2022-03-01,7,118
2022-03-01,8,217
2022-03-01,9,196
2022-03-01,10,123
2022-03-01,11,108
2022-03-01,12,126
2022-03-01,13,134
2022-03-01,14,132
2022-03-01,15,149
2022-03-01,16,142
2022-03-01,17,183
2022-03-01,18,188
2022-03-01,19,120
2022-03-01,20,108
2022-03-01,21,74
2022-03-01,22,82
2022-03-01,23,54
2022-03-02,0,49
2022-03-02,1,16
2022-03-02,2,5
2022-03-02,3,7
2022-03-02,4,3
2022-03-02,5,12
2022-03-02,6,34
2022-03-02,7,97
2022-03-02,8,237
2022-03-02,9,177
2022-03-02,10,121
2022-03-02,11,130
2022-03-02,12,142
2022-03-02,13,166
2022-03-02,14,129
2022-03-02,15,134
2022-03-02,16,155
2022-03-02,17,154
2022-03-02,18,172
2022-03-02,19,138
2022-03-02,20,78
2022-03-02,21,92
2022-03-02,22,73
2022-03-02,23,55
2022-03-03,0,35
2022-03-03,1,17
2022-03-03,2,12
2022-03-03,3,8
2022-03-03,4,8
2022-03-03,5,10
2022-03-03,6,28
2022-03-03,7,95
2022-03-03,8,207
2022-03-03,9,187
2022-03-03,10,126
2022-03-03,11,130
2022-03-03,12,129
2022-03-03,13,158
2022-03-03,14,151
2022-03-03,15,208
2022-03-03,16,157
2022-03-03,17,151
2022-03-03,18,164
2022-03-03,19,137
2022-03-03,20,88
2022-03-03,21,87
2022-03-03,22,74
2022-03-03,23,66
2022-03-04,0,52
2022-03-04,1,20
2022-03-04,2,17
2022-03-04,3,5
2022-03-04,4,5
2022-03-04,5,10
2022-03-04,6,30
2022-03-04,7,114
2022-03-04,8,153
2022-03-04,9,143
2022-03-04,10,141
2022-03-04,11,121
2022-03-04,12,153
2022-03-04,13,185
2022-03-04,14,198
2022-03-04,15,165
2022-03-04,16,160
2022-03-04,17,117
2022-03-04,18,187
2022-03-04,19,173
2022-03-04,20,130
2022-03-04,21,128
2022-03-04,22,100
2022-03-04,23,111
2022-03-05,0,74
2022-03-05,1,64
2022-03-05,2,43
2022-03-05,3,27
2022-03-05,4,15
2022-03-05,5,10
2022-03-05,6,17
2022-03-05,7,33
2022-03-05,8,60
2022-03-05,9,77
2022-03-05,10,106
2022-03-05,11,132
2022-03-05,12,154
2022-03-05,13,144
2022-03-05,14,213
2022-03-05,15,175
2022-03-05,16,146
2022-03-05,17,174
2022-03-05,18,128
2022-03-05,19,178
2022-03-05,20,122
2022-03-05,21,83
2022-03-05,22,76
2022-03-05,23,83
2022-03-06,0,60
2022-03-06,1,90
2022-03-06,2,41
2022-03-06,3,25
2022-03-06,4,18
2022-03-06,5,15
2022-03-06,6,10
2022-03-06,7,19
2022-03-06,8,34
2022-03-06,9,60
2022-03-06,10,88
2022-03-06,11,95
2022-03-06,12,138
2022-03-06,13,140
2022-03-06,14,140
2022-03-06,15,151
2022-03-06,16,136
2022-03-06,17,124
2022-03-06,18,103
2022-03-06,19,96
2022-03-06,20,73
2022-03-06,21,66
2022-03-06,22,64
2022-03-06,23,40
2022-03-07,0,24
2022-03-07,1,26
2022-03-07,2,5
2022-03-07,3,2
2022-03-07,4,2
2022-03-07,5,5
2022-03-07,6,28
2022-03-07,7,84
2022-03-07,8,182
2022-03-07,9,140
2022-03-07,10,76
2022-03-07,11,105
2022-03-07,12,110
2022-03-07,13,113
2022-03-07,14,150
2022-03-07,15,120
2022-03-07,16,110
2022-03-07,17,123
2022-03-07,18,137
2022-03-07,19,127
2022-03-07,20,104
2022-03-07,21,65
2022-03-07,22,48
2022-03-07,23,52
2022-03-08,0,22
2022-03-08,1,8
2022-03-08,2,11
2022-03-08,3,7
2022-03-08,4,5
2022-03-08,5,13
2022-03-08,6,25
2022-03-08,7,103
2022-03-08,8,214
2022-03-08,9,151
2022-03-08,10,122
2022-03-08,11,127
2022-03-08,12,156
2022-03-08,13,144
2022-03-08,14,142
2022-03-08,15,144
2022-03-08,16,148
2022-03-08,17,165
2022-03-08,18,162
2022-03-08,19,120
2022-03-08,20,80
2022-03-08,21,77
2022-03-08,22,48
2022-03-08,23,38
2022-03-09,0,46
2022-03-09,1,14
2022-03-09,2,3
2022-03-09,3,7
2022-03-09,4,5
2022-03-09,5,4
2022-03-09,6,24
2022-03-09,7,103
2022-03-09,8,181
2022-03-09,9,145
2022-03-09,10,97
2022-03-09,11,127
2022-03-09,12,130
2022-03-09,13,157
2022-03-09,14,103
2022-03-09,15,158
2022-03-09,16,163
2022-03-09,17,143
2022-03-09,18,177
2022-03-09,19,119
2022-03-09,20,77
2022-03-09,21,60
2022-03-09,22,74
2022-03-09,23,31
2022-03-10,0,30
2022-03-10,1,15
2022-03-10,2,11
2022-03-10,3,8
2022-03-10,4,11
2022-03-10,5,8
2022-03-10,6,27
2022-03-10,7,92
2022-03-10,8,215
2022-03-10,9,144
2022-03-10,10,133
2022-03-10,11,115
2022-03-10,12,143
2022-03-10,13,128
2022-03-10,14,139
2022-03-10,15,158
2022-03-10,16,143
2022-03-10,17,141
2022-03-10,18,173
2022-03-10,19,131
2022-03-10,20,117
2022-03-10,21,79
2022-03-10,22,82
2022-03-10,23,61
2022-03-11,0,45
2022-03-11,1,30
2022-03-11,2,10
2022-03-11,3,12
2022-03-11,4,7
2022-03-11,5,5
2022-03-11,6,16
2022-03-11,7,78
2022-03-11,8,131
2022-03-11,9,140
2022-03-11,10,116
2022-03-11,11,145
2022-03-11,12,152
2022-03-11,13,131
2022-03-11,14,175
2022-03-11,15,193
2022-03-11,16,137
2022-03-11,17,158
2022-03-11,18,149
2022-03-11,19,143
2022-03-11,20,116
2022-03-11,21,81
2022-03-11,22,100
2022-03-11,23,87
2022-03-12,0,95
2022-03-12,1,100
2022-03-12,2,24
2022-03-12,3,20
2022-03-12,4,16
2022-03-12,5,5
2022-03-12,6,17
2022-03-12,7,36
2022-03-12,8,56
2022-03-12,9,95
2022-03-12,10,122
2022-03-12,11,113
2022-03-12,12,169
2022-03-12,13,169
2022-03-12,14,194
2022-03-12,15,126
2022-03-12,16,156
2022-03-12,17,115
2022-03-12,18,129
2022-03-12,19,144
2022-03-12,20,95
2022-03-12,21,107
2022-03-12,22,83
2022-03-12,23,91
2022-03-13,0,35
2022-03-13,1,61
2022-03-13,2,44
2022-03-13,3,29
2022-03-13,4,20
2022-03-13,5,11
2022-03-13,6,11
2022-03-13,7,10
2022-03-13,8,30
2022-03-13,9,45
2022-03-13,10,86
2022-03-13,11,93
2022-03-13,12,160
2022-03-13,13,171
2022-03-13,14,139
2022-03-13,15,121
2022-03-13,16,123
2022-03-13,17,138
2022-03-13,18,113
2022-03-13,19,108
2022-03-13,20,85
2022-03-13,21,68
2022-03-13,22,46
2022-03-13,23,49
2022-03-14,0,37
