date,time,flow
2022-03-01,0,92
2022-03-01,1,24
2022-03-01,2,16
2022-03-01,3,5
2022-03-01,4,8
2022-03-01,5,17
2022-03-01,6,37
2022-03-01,7,176
2022-03-01,8,230
2022-03-01,9,237
2022-03-01,10,198
2022-03-01,11,200
2022-03-01,12,204
2022-03-01,13,206
2022-03-01,14,249
2022-03-01,15,239
2022-03-01,16,234
2022-03-01,17,241
2022-03-01,18,238
2022-03-01,19,203
2022-03-01,20,230
2022-03-01,21,219
2022-03-01,22,190
2022-03-01,23,89
2022-03-02,0,83
2022-03-02,1,33
2022-03-02,2,9
2022-03-02,3,12
2022-03-02,4,9
2022-03-02,5,19
2022-03-02,6,55
2022-03-02,7,167
2022-03-02,8,281
2022-03-02,9,245
2022-03-02,10,204
2022-03-02,11,192
2022-03-02,12,260
2022-03-02,13,206
2022-03-02,14,246
2022-03-02,15,211
2022-03-02,16,286
2022-03-02,17,235
2022-03-02,18,232
2022-03-02,19,241
2022-03-02,20,213
2022-03-02,21,180
2022-03-02,22,142
2022-03-02,23,100
2022-03-03,0,58
2022-03-03,1,29
2022-03-03,2,20
2022-03-03,3,13
2022-03-03,4,16
2022-03-03,5,19
2022-03-03,6,54
2022-03-03,7,168
2022-03-03,8,268
2022-03-03,9,244
2022-03-03,10,189
2022-03-03,11,183
2022-03-03,12,222
2022-03-03,13,248
2022-03-03,14,259
2022-03-03,15,283
2022-03-03,16,248
2022-03-03,17,246
2022-03-03,18,273
2022-03-03,19,246
2022-03-03,20,307
2022-03-03,21,300
2022-03-03,22,161
2022-03-03,23,127
2022-03-04,0,79
2022-03-04,1,29
2022-03-04,2,25
2022-03-04,3,10
2022-03-04,4,9
2022-03-04,5,17
2022-03-04,6,54
2022-03-04,7,177
2022-03-04,8,217
2022-03-04,9,228
2022-03-04,10,233
2022-03-04,11,191
2022-03-04,12,234
2022-03-04,13,247
2022-03-04,14,278
2022-03-04,15,257
2022-03-04,16,215
2022-03-04,17,261
2022-03-04,18,261
2022-03-04,19,299
2022-03-04,20,294
2022-03-04,21,283
2022-03-04,22,206
2022-03-04,23,192
2022-03-05,0,92
2022-03-05,1,115
2022-03-05,2,49
2022-03-05,3,36
2022-03-05,4,27
2022-03-05,5,18
2022-03-05,6,31
2022-03-05,7,81
2022-03-05,8,96
2022-03-05,9,195
2022-03-05,10,245
2022-03-05,11,256
2022-03-05,12,266
2022-03-05,13,253
2022-03-05,14,282
2022-03-05,15,268
2022-03-05,16,212
2022-03-05,17,257
2022-03-05,18,225
2022-03-05,19,272
2022-03-05,20,216
2022-03-05,21,187
2022-03-05,22,177
2022-03-05,23,171
2022-03-06,0,137
2022-03-06,1,134
2022-03-06,2,76
2022-03-06,3,43
2022-03-06,4,34
2022-03-06,5,26
2022-03-06,6,24
2022-03-06,7,25
2022-03-06,8,49
2022-03-06,9,93
2022-03-06,10,185
2022-03-06,11,195
2022-03-06,12,200
2022-03-06,13,258
2022-03-06,14,269
2022-03-06,15,233
2022-03-06,16,244
2022-03-06,17,256
2022-03-06,18,210
2022-03-06,19,197
2022-03-06,20,167
2022-03-06,21,149
2022-03-06,22,130
2022-03-06,23,84
2022-03-07,0,78
2022-03-07,1,26
2022-03-07,2,16
2022-03-07,3,10
2022-03-07,4,8
2022-03-07,5,12
2022-03-07,6,45
2022-03-07,7,153
2022-03-07,8,254
2022-03-07,9,215
2022-03-07,10,177
2022-03-07,11,189
2022-03-07,12,191
2022-03-07,13,213
2022-03-07,14,191
2022-03-07,15,185
2022-03-07,16,221
2022-03-07,17,207
2022-03-07,18,198
2022-03-07,19,196
2022-03-07,20,177
2022-03-07,21,163
2022-03-07,22,104
2022-03-07,23,94
2022-03-08,0,52
2022-03-08,1,30
2022-03-08,2,20
2022-03-08,3,14
2022-03-08,4,12
2022-03-08,5,19
2022-03-08,6,51
2022-03-08,7,155
2022-03-08,8,224
2022-03-08,9,219
2022-03-08,10,214
2022-03-08,11,195
2022-03-08,12,228
