date,time,flow
2022-03-01,0,54
2022-03-01,1,14
2022-03-01,2,14
2022-03-01,3,6
2022-03-01,4,6
2022-03-01,5,15
2022-03-01,6,21
2022-03-01,7,55
2022-03-01,8,118
2022-03-01,9,106
2022-03-01,10,126
2022-03-01,11,124
2022-03-01,12,138
2022-03-01,13,163
2022-03-01,14,160
2022-03-01,15,151
2022-03-01,16,181
2022-03-01,17,190
2022-03-01,18,202
2022-03-01,19,153
2022-03-01,20,138
2022-03-01,21,129
2022-03-01,22,107
2022-03-01,23,64
2022-03-02,0,35
2022-03-02,1,43
2022-03-02,2,9
2022-03-02,3,9
2022-03-02,4,8
2022-03-02,5,6
2022-03-02,6,22
2022-03-02,7,74
2022-03-02,8,139
2022-03-02,9,132
2022-03-02,10,123
2022-03-02,11,138
2022-03-02,12,158
2022-03-02,13,144
2022-03-02,14,151
2022-03-02,15,159
2022-03-02,16,189
2022-03-02,17,194
2022-03-02,18,193
2022-03-02,19,141
2022-03-02,20,123
2022-03-02,21,85
2022-03-02,22,112
2022-03-02,23,69
2022-03-03,0,67
2022-03-03,1,37
2022-03-03,2,14
2022-03-03,3,10
2022-03-03,4,5
2022-03-03,5,10
2022-03-03,6,17
2022-03-03,7,68
2022-03-03,8,131
2022-03-03,9,136
2022-03-03,10,130
2022-03-03,11,132
2022-03-03,12,155
2022-03-03,13,147
2022-03-03,14,155
2022-03-03,15,168
2022-03-03,16,177
2022-03-03,17,194
2022-03-03,18,231
2022-03-03,19,163
2022-03-03,20,159
2022-03-03,21,129
2022-03-03,22,98
2022-03-03,23,78
2022-03-04,0,68
2022-03-04,1,33
2022-03-04,2,17
2022-03-04,3,15
2022-03-04,4,11
2022-03-04,5,7
2022-03-04,6,27
2022-03-04,7,85
2022-03-04,8,126
2022-03-04,9,138
2022-03-04,10,159
2022-03-04,11,148
2022-03-04,12,126
2022-03-04,13,171
2022-03-04,14,161
2022-03-04,15,163
2022-03-04,16,160
2022-03-04,17,226
2022-03-04,18,214
2022-03-04,19,202
2022-03-04,20,177
2022-03-04,21,176
2022-03-04,22,132
2022-03-04,23,116
2022-03-05,0,90
2022-03-05,1,80
2022-03-05,2,35
2022-03-05,3,36
2022-03-05,4,30
2022-03-05,5,22
2022-03-05,6,28
2022-03-05,7,52
2022-03-05,8,63
2022-03-05,9,96
2022-03-05,10,126
2022-03-05,11,154
2022-03-05,12,180
2022-03-05,13,161
2022-03-05,14,188
2022-03-05,15,167
2022-03-05,16,169
2022-03-05,17,189
2022-03-05,18,159
2022-03-05,19,182
2022-03-05,20,153
2022-03-05,21,137
2022-03-05,22,146
2022-03-05,23,121
2022-03-06,0,103
2022-03-06,1,104
2022-03-06,2,74
2022-03-06,3,49
2022-03-06,4,45
2022-03-06,5,24
2022-03-06,6,19
2022-03-06,7,16
2022-03-06,8,37
2022-03-06,9,55
2022-03-06,10,133
2022-03-06,11,151
2022-03-06,12,132
2022-03-06,13,154
2022-03-06,14,166
2022-03-06,15,156
2022-03-06,16,155
2022-03-06,17,140
2022-03-06,18,162
2022-03-06,19,173
2022-03-06,20,108
2022-03-06,21,105
2022-03-06,22,117
2022-03-06,23,83
2022-03-07,0,48
2022-03-07,1,45
2022-03-07,2,18
2022-03-07,3,11
2022-03-07,4,18
2022-03-07,5,11
2022-03-07,6,28
2022-03-07,7,64
2022-03-07,8,125
2022-03-07,9,126
2022-03-07,10,107
2022-03-07,11,120
2022-03-07,12,123
2022-03-07,13,150
2022-03-07,14,161
2022-03-07,15,149
2022-03-07,16,134
2022-03-07,17,171
2022-03-07,18,189
2022-03-07,19,134
2022-03-07,20,123
2022-03-07,21,106
2022-03-07,22,70
2022-03-07,23,77
2022-03-08,0,55
2022-03-08,1,18
2022-03-08,2,20
2022-03-08,3,20
2022-03-08,4,13
2022-03-08,5,14
2022-03-08,6,30
2022-03-08,7,45
2022-03-08,8,129
2022-03-08,9,139
2022-03-08,10,117
2022-03-08,11,140
2022-03-08,12,155
2022-03-08,13,150
2022-03-08,14,143
2022-03-08,15,180
2022-03-08,16,162
2022-03-08,17,197
2022-03-08,18,209
2022-03-08,19,164
2022-03-08,20,141
2022-03-08,21,114
2022-03-08,22,106
2022-03-08,23,77
2022-03-09,0,57
2022-03-09,1,40
2022-03-09,2,21
2022-03-09,3,21
2022-03-09,4,12
2022-03-09,5,10
2022-03-09,6,23
2022-03-09,7,65
2022-03-09,8,110
2022-03-09,9,157
2022-03-09,10,126
2022-03-09,11,136
2022-03-09,12,150
2022-03-09,13,171
2022-03-09,14,154
2022-03-09,15,166
2022-03-09,16,160
2022-03-09,17,202
2022-03-09,18,195
2022-03-09,19,173
2022-03-09,20,130
2022-03-09,21,102
2022-03-09,22,116
2022-03-09,23,74
2022-03-10,0,58
2022-03-10,1,41
2022-03-10,2,15
2022-03-10,3,15
2022-03-10,4,16
2022-03-10,5,15
2022-03-10,6,28
2022-03-10,7,71
2022-03-10,8,120
2022-03-10,9,132
2022-03-10,10,136
2022-03-10,11,128
2022-03-10,12,164
2022-03-10,13,150
2022-03-10,14,139
2022-03-10,15,133
2022-03-10,16,173
2022-03-10,17,203
2022-03-10,18,199
2022-03-10,19,188
2022-03-10,20,146
2022-03-10,21,116
2022-03-10,22,126
2022-03-10,23,157
2022-03-11,0,60
2022-03-11,1,100
2022-03-11,2,20
2022-03-11,3,30
2022-03-11,4,19
2022-03-11,5,19
2022-03-11,6,25
2022-03-11,7,62
2022-03-11,8,103
2022-03-11,9,131
