date,time,flow
2022-03-01,0,42
2022-03-01,1,4
2022-03-01,2,32
2022-03-01,3,40
2022-03-01,4,4
2022-03-01,5,6
2022-03-01,6,21
2022-03-01,7,119
2022-03-01,8,48
2022-03-01,9,135
2022-03-01,10,160
2022-03-01,11,184
2022-03-01,12,174
2022-03-01,13,124
2022-03-01,14,142
2022-03-01,15,94
2022-03-01,16,160
2022-03-01,17,144
2022-03-01,18,166
2022-03-01,19,143
2022-03-01,20,75
2022-03-01,21,42
2022-03-01,22,51
2022-03-01,23,67
2022-03-02,0,65
2022-03-02,1,20
2022-03-02,2,77
2022-03-02,3,92
2022-03-02,4,8
2022-03-02,5,2
2022-03-02,6,44
2022-03-02,7,130
2022-03-02,8,71
2022-03-02,9,158
2022-03-02,10,152
2022-03-02,11,145
2022-03-02,12,162
2022-03-02,13,218
2022-03-02,14,146
2022-03-02,15,135
2022-03-02,16,96
2022-03-02,17,94
2022-03-02,18,129
2022-03-02,19,205
2022-03-02,20,163
2022-03-02,21,77
2022-03-02,22,56
2022-03-02,23,31
2022-03-03,0,44
2022-03-03,1,34
2022-03-03,2,7
2022-03-03,3,52
2022-03-03,4,24
2022-03-03,5,37
2022-03-03,6,28
2022-03-03,7,27
2022-03-03,8,58
2022-03-03,9,98
2022-03-03,10,96
2022-03-03,11,106
2022-03-03,12,155
2022-03-03,13,150
2022-03-03,14,125
2022-03-03,15,152
2022-03-03,16,139
2022-03-03,17,133
2022-03-03,18,147
2022-03-03,19,112
2022-03-03,20,88
2022-03-03,21,61
2022-03-03,22,53
2022-03-03,23,35
2022-03-04,0,16
2022-03-04,1,4
2022-03-04,2,1
2022-03-04,3,4
2022-03-04,4,2
2022-03-04,5,12
2022-03-04,6,16
2022-03-04,7,44
2022-03-04,8,114
2022-03-04,9,126
2022-03-04,10,83
2022-03-04,11,121
2022-03-04,12,159
2022-03-04,13,157
2022-03-04,14,130
2022-03-04,15,200
2022-03-04,16,194
2022-03-04,17,169
2022-03-04,18,182
2022-03-04,19,140
2022-03-04,20,89
2022-03-04,21,121
2022-03-04,22,51
2022-03-04,23,44
2022-03-05,0,62
2022-03-05,1,40
2022-03-05,2,10
2022-03-05,3,11
2022-03-05,4,7
2022-03-05,5,4
2022-03-05,6,11
2022-03-05,7,11
2022-03-05,8,65
2022-03-05,9,125
2022-03-05,10,85
2022-03-05,11,142
2022-03-05,12,153
2022-03-05,13,201
2022-03-05,14,148
2022-03-05,15,179
2022-03-05,16,159
2022-03-05,17,116
2022-03-05,18,112
2022-03-05,19,138
2022-03-05,20,134
2022-03-05,21,98
2022-03-05,22,55
2022-03-05,23,42
2022-03-06,0,45
2022-03-06,1,36
2022-03-06,2,45
2022-03-06,3,58
2022-03-06,4,106
2022-03-06,5,61
2022-03-06,6,39
2022-03-06,7,25
2022-03-06,8,50
2022-03-06,9,75
2022-03-06,10,121
2022-03-06,11,102
2022-03-06,12,98
2022-03-06,13,100
2022-03-06,14,140
2022-03-06,15,154
2022-03-06,16,123
2022-03-06,17,107
2022-03-06,18,99
2022-03-06,19,94
2022-03-06,20,60
2022-03-06,21,59
2022-03-06,22,36
2022-03-06,23,48
2022-03-07,0,12
2022-03-07,1,12
2022-03-07,2,61
2022-03-07,3,52
2022-03-07,4,54
2022-03-07,5,39
2022-03-07,6,37
2022-03-07,7,78
2022-03-07,8,116
2022-03-07,9,103
