date,time,flow
2022-03-01,0,33
2022-03-01,1,16
2022-03-01,2,9
2022-03-01,3,9
2022-03-01,4,7
2022-03-01,5,13
2022-03-01,6,30
2022-03-01,7,43
2022-03-01,8,37
2022-03-01,9,85
2022-03-01,10,81
2022-03-01,11,93
2022-03-01,12,114
2022-03-01,13,116
2022-03-01,14,131
2022-03-01,15,101
2022-03-01,16,82
2022-03-01,17,93
2022-03-01,18,116
2022-03-01,19,135
2022-03-01,20,96
2022-03-01,21,82
2022-03-01,22,73
2022-03-01,23,56
2022-03-02,0,67
2022-03-02,1,31
2022-03-02,2,11
2022-03-02,3,15
2022-03-02,4,12
2022-03-02,5,6
2022-03-02,6,33
2022-03-02,7,56
2022-03-02,8,50
2022-03-02,9,65
2022-03-02,10,103
2022-03-02,11,106
2022-03-02,12,140
2022-03-02,13,146
2022-03-02,14,141
2022-03-02,15,139
2022-03-02,16,102
2022-03-02,17,91
2022-03-02,18,100
2022-03-02,19,103
2022-03-02,20,103
2022-03-02,21,73
2022-03-02,22,72
2022-03-02,23,65
2022-03-03,0,29
2022-03-03,1,38
2022-03-03,2,18
2022-03-03,3,7
2022-03-03,4,8
2022-03-03,5,11
2022-03-03,6,29
2022-03-03,7,43
2022-03-03,8,48
2022-03-03,9,59
2022-03-03,10,102
2022-03-03,11,112
2022-03-03,12,130
2022-03-03,13,134
2022-03-03,14,157
2022-03-03,15,159
2022-03-03,16,122
2022-03-03,17,127
2022-03-03,18,165
2022-03-03,19,161
2022-03-03,20,123
2022-03-03,21,119
2022-03-03,22,84
2022-03-03,23,49
2022-03-04,0,50
2022-03-04,1,37
2022-03-04,2,16
2022-03-04,3,14
2022-03-04,4,8
2022-03-04,5,18
2022-03-04,6,25
2022-03-04,7,47
2022-03-04,8,44
2022-03-04,9,67
2022-03-04,10,84
2022-03-04,11,113
2022-03-04,12,150
2022-03-04,13,128
2022-03-04,14,169
2022-03-04,15,182
2022-03-04,16,122
2022-03-04,17,152
2022-03-04,18,163
2022-03-04,19,187
2022-03-04,20,116
2022-03-04,21,112
2022-03-04,22,73
2022-03-04,23,74
2022-03-05,0,56
2022-03-05,1,22
2022-03-05,2,21
2022-03-05,3,8
2022-03-05,4,5
2022-03-05,5,9
2022-03-05,6,22
2022-03-05,7,35
2022-03-05,8,49
2022-03-05,9,85
2022-03-05,10,120
2022-03-05,11,137
2022-03-05,12,165
2022-03-05,13,133
2022-03-05,14,108
2022-03-05,15,137
2022-03-05,16,155
2022-03-05,17,113
2022-03-05,18,124
2022-03-05,19,148
2022-03-05,20,114
2022-03-05,21,82
2022-03-05,22,80
2022-03-05,23,54
2022-03-06,0,71
2022-03-06,1,25
2022-03-06,2,29
2022-03-06,3,22
2022-03-06,4,24
2022-03-06,5,12
2022-03-06,6,24
2022-03-06,7,31
2022-03-06,8,31
2022-03-06,9,70
2022-03-06,10,99
2022-03-06,11,104
2022-03-06,12,148
2022-03-06,13,124
2022-03-06,14,157
2022-03-06,15,202
2022-03-06,16,177
2022-03-06,17,166
2022-03-06,18,157
2022-03-06,19,89
2022-03-06,20,100
2022-03-06,21,85
2022-03-06,22,53
2022-03-06,23,36
2022-03-07,0,20
2022-03-07,1,17
2022-03-07,2,12
2022-03-07,3,15
2022-03-07,4,4
2022-03-07,5,16
2022-03-07,6,25
2022-03-07,7,46
2022-03-07,8,53
2022-03-07,9,55
2022-03-07,10,84
2022-03-07,11,104
2022-03-07,12,101
2022-03-07,13,109
2022-03-07,14,112
2022-03-07,15,127
2022-03-07,16,133
2022-03-07,17,119
2022-03-07,18,125
2022-03-07,19,130
2022-03-07,20,96
2022-03-07,21,76
2022-03-07,22,66
2022-03-07,23,44
2022-03-08,0,30
2022-03-08,1,16
2022-03-08,2,12
2022-03-08,3,4
2022-03-08,4,4
2022-03-08,5,12
2022-03-08,6,25
2022-03-08,7,44
2022-03-08,8,52
2022-03-08,9,76
2022-03-08,10,92
2022-03-08,11,100
2022-03-08,12,126
2022-03-08,13,130
2022-03-08,14,140
2022-03-08,15,136
2022-03-08,16,140
2022-03-08,17,128
2022-03-08,18,111
2022-03-08,19,108
2022-03-08,20,104
2022-03-08,21,84
2022-03-08,22,57
2022-03-08,23,36
2022-03-09,0,31
2022-03-09,1,16
2022-03-09,2,16
2022-03-09,3,8
2022-03-09,4,0
2022-03-09,5,12
2022-03-09,6,26
2022-03-09,7,44
2022-03-09,8,48
2022-03-09,9,62
2022-03-09,10,92
2022-03-09,11,109
2022-03-09,12,128
2022-03-09,13,133
2022-03-09,14,159
2022-03-09,15,141
2022-03-09,16,155
2022-03-09,17,145
2022-03-09,18,119
2022-03-09,19,116
2022-03-09,20,96
2022-03-09,21,74
2022-03-09,22,66
2022-03-09,23,40
2022-03-10,0,23
2022-03-10,1,38
2022-03-10,2,17
2022-03-10,3,11
2022-03-10,4,11
2022-03-10,5,22
2022-03-10,6,35
2022-03-10,7,51
2022-03-10,8,68
2022-03-10,9,85
2022-03-10,10,101
2022-03-10,11,111
2022-03-10,12,134
2022-03-10,13,148
2022-03-10,14,147
2022-03-10,15,140
2022-03-10,16,147
2022-03-10,17,98
2022-03-10,18,124
2022-03-10,19,116
2022-03-10,20,87
2022-03-10,21,82
2022-03-10,22,130
2022-03-10,23,95
2022-03-11,0,60
2022-03-11,1,14
2022-03-11,2,23
2022-03-11,3,18
2022-03-11,4,6
2022-03-11,5,18
2022-03-11,6,37
2022-03-11,7,47
2022-03-11,8,58
2022-03-11,9,95
2022-03-11,10,109
2022-03-11,11,120
2022-03-11,12,132
2022-03-11,13,151
2022-03-11,14,141
2022-03-11,15,163
2022-03-11,16,164
2022-03-11,17,154
2022-03-11,18,155
2022-03-11,19,142
2022-03-11,20,144
2022-03-11,21,89
2022-03-11,22,73
2022-03-11,23,54
2022-03-12,0,29
2022-03-12,1,35
2022-03-12,2,12
2022-03-12,3,12
2022-03-12,4,17
2022-03-12,5,15
2022-03-12,6,23
2022-03-12,7,37
2022-03-12,8,46
2022-03-12,9,72
2022-03-12,10,98
2022-03-12,11,117
2022-03-12,12,171
2022-03-12,13,168
2022-03-12,14,166
2022-03-12,15,130
2022-03-12,16,170
2022-03-12,17,194
2022-03-12,18,163
2022-03-12,19,124
2022-03-12,20,117
2022-03-12,21,59
2022-03-12,22,59
2022-03-12,23,57
2022-03-13,0,42
2022-03-13,1,33
2022-03-13,2,13
2022-03-13,3,25
2022-03-13,4,10
2022-03-13,5,15
2022-03-13,6,21
2022-03-13,7,16
2022-03-13,8,31
2022-03-13,9,64
2022-03-13,10,106
2022-03-13,11,127
2022-03-13,12,174
2022-03-13,13,174
2022-03-13,14,199
2022-03-13,15,209
2022-03-13,16,164
2022-03-13,17,143
2022-03-13,18,145
2022-03-13,19,133
2022-03-13,20,125
2022-03-13,21,75
2022-03-13,22,66
2022-03-13,23,56
2022-03-14,0,43
2022-03-14,1,19
2022-03-14,2,13
2022-03-14,3,12
2022-03-14,4,8
2022-03-14,5,8
2022-03-14,6,34
2022-03-14,7,53
2022-03-14,8,57
2022-03-14,9,100
2022-03-14,10,107
2022-03-14,11,114
2022-03-14,12,141
2022-03-14,13,152
2022-03-14,14,141
2022-03-14,15,136
2022-03-14,16,71
2022-03-14,17,112
2022-03-14,18,165
2022-03-14,19,104
2022-03-14,20,118
2022-03-14,21,78
2022-03-14,22,72
2022-03-14,23,45
2022-03-15,0,47
2022-03-15,1,25
2022-03-15,2,16
2022-03-15,3,8
2022-03-15,4,12
2022-03-15,5,10
2022-03-15,6,29
2022-03-15,7,39
2022-03-15,8,47
2022-03-15,9,62
2022-03-15,10,84
2022-03-15,11,93
2022-03-15,12,126
2022-03-15,13,127
2022-03-15,14,116
2022-03-15,15,117
2022-03-15,16,129
2022-03-15,17,109
2022-03-15,18,155
2022-03-15,19,146
2022-03-15,20,107
2022-03-15,21,114
2022-03-15,22,81
2022-03-15,23,50
2022-03-16,0,57
2022-03-16,1,55
2022-03-16,2,17
2022-03-16,3,3
2022-03-16,4,4
2022-03-16,5,11
2022-03-16,6,36
2022-03-16,7,32
2022-03-16,8,58
2022-03-16,9,58
2022-03-16,10,83
2022-03-16,11,97
2022-03-16,12,114
2022-03-16,13,125
2022-03-16,14,140
2022-03-16,15,118
2022-03-16,16,132
2022-03-16,17,128
2022-03-16,18,152
2022-03-16,19,133
2022-03-16,20,132
2022-03-16,21,89
2022-03-16,22,83
2022-03-16,23,51
2022-03-17,0,24
2022-03-17,1,15
2022-03-17,2,9
2022-03-17,3,5
2022-03-17,4,12
2022-03-17,5,23
2022-03-17,6,16
2022-03-17,7,46
2022-03-17,8,43
2022-03-17,9,65
2022-03-17,10,80
2022-03-17,11,83
2022-03-17,12,126
2022-03-17,13,151
2022-03-17,14,132
2022-03-17,15,105
2022-03-17,16,100
2022-03-17,17,126
2022-03-17,18,121
2022-03-17,19,114
2022-03-17,20,133
2022-03-17,21,106
2022-03-17,22,83
2022-03-17,23,66
2022-03-18,0,39
2022-03-18,1,17
2022-03-18,2,19
2022-03-18,3,11
2022-03-18,4,13
2022-03-18,5,11
2022-03-18,6,30
2022-03-18,7,67
2022-03-18,8,65
2022-03-18,9,80
2022-03-18,10,103
2022-03-18,11,119
2022-03-18,12,161
2022-03-18,13,163
2022-03-18,14,158
2022-03-18,15,123
2022-03-18,16,154
2022-03-18,17,148
2022-03-18,18,169
2022-03-18,19,170
2022-03-18,20,142
2022-03-18,21,95
2022-03-18,22,85
2022-03-18,23,64
2022-03-19,0,29
2022-03-19,1,32
